GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 1.b
Created: Fri Sep 29 18:38:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
La139,431.53,436.11,35.95,36.04,23.43,<0.0640,<0.0209,<0.0053,<0.0176,<0.0224,0.178,0.0727,0.0163,<0.0131,0.0034,1.594,0.0134,437.41,441.58,36.12,35.88,23.03,0.0037,<0.0222
Ce140,449.23,455.53,38.23,38.57,52.08,0.0021,<0.0193,<0.0073,0.0069,<0.0281,0.532,0.262,0.0377,0.0094,0.0128,4.96,0.0979,459.45,459.60,38.62,38.18,51.17,<0.0153,<0.0177
Gd157,443.04,444.05,37.31,37.28,5.78,0.0185,<0.0571,<0.0500,<0.0745,<0.095,<0.0265,0.0134,<0.0360,0.0163,0.0090,0.070,0.0073,444.59,445.39,37.49,37.12,5.88,0.0214,0.0102
Yb172,468.19,468.70,39.64,38.76,3.11,0.0096,<0.0714,<0.0221,0.0109,<0.122,<0.0370,<0.0176,0.0069,<0.0158,0.0065,<0.0239,<0.0237,463.43,464.83,39.24,39.19,2.75,<0.0700,<0.0664

GLITTER!: 1 sigma error.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,14.37,14.50,1.24,1.24,0.32,0.11,0.090,0.090,0.097,0.100,0.16,0.11,0.092,0.092,0.087,0.084,0.091,14.62,14.67,1.26,1.25,0.31,0.084,0.099
B11,5.91,5.99,1.10,1.10,0.58,0.68,0.65,0.42,0.43,0.41,0.40,0.38,0.37,0.37,0.38,0.40,0.39,7.81,7.94,1.22,1.21,0.56,0.56,0.59
Na23,3103.96,3138.82,3112.87,3102.35,769.62,1.22,3.07,3.59,3.36,3.69,5.38,4.37,3.40,3.44,3.40,4.12,3.17,3205.09,3124.70,3150.82,3137.58,746.93,1.25,3.12
Mg24,16.44,16.23,2.23,2.24,791.48,10959.24,10725.07,10074.48,10129.32,10360.25,9964.55,9914.11,10134.16,10084.02,10278.38,10639.54,10554.91,15.38,16.32,2.30,2.33,808.64,11559.37,11714.87
Mg25,21.42,21.48,2.89,2.79,1020.59,14585.99,14571.58,13706.75,13942.18,14336.13,14156.00,14384.55,14788.63,15193.02,15571.00,16723.60,16558.93,26.54,26.52,3.87,3.85,1395.86,20750.80,21347.83
Mg26,17.61,17.96,2.49,2.49,867.00,12209.69,12138.02,11186.98,11525.99,11510.63,11231.43,11254.36,11424.43,11545.94,11801.22,12492.82,12095.95,18.06,19.30,2.79,2.91,954.90,14315.43,14434.11
Al27,335.91,338.18,359.67,359.92,2552.35,2.13,4.24,2.99,2.50,2.70,2.79,2.55,5.69,2.13,3.21,5.66,3.28,339.60,336.48,362.70,361.81,2601.43,2.22,4.53
Si29,14471.54,14610.39,15124.90,15028.85,12319.11,6114.70,6114.39,5956.92,5970.24,5970.87,5950.29,5952.47,5952.10,5986.28,5977.31,6089.83,5978.77,14714.49,14657.37,15157.69,15203.77,12184.27,6114.81,6114.69
Si30,12779.74,12943.07,13830.26,13781.66,11144.72,6461.25,6267.65,5472.82,5756.73,5685.97,5638.70,5563.54,5561.08,5574.89,5627.54,5679.97,5653.83,13079.77,12932.72,13849.21,13848.34,10879.89,6349.01,6287.39
P31,38.96,40.01,5.50,5.34,152.32,2.96,2.87,5.35,5.74,7.02,11.86,7.62,7.79,7.82,7.86,5.25,8.93,74.15,73.38,8.25,10.50,306.35,4.30,6.62
Ca43,2611.28,2611.08,2717.45,2716.65,1637.82,31.97,28.45,46.72,59.06,51.59,50.09,53.80,48.63,59.65,49.57,37.12,64.91,2614.88,2614.36,2723.72,2724.37,1639.57,26.51,28.97
Ca44,2589.62,2605.78,2687.35,2693.63,1590.55,26.65,27.95,51.31,62.14,52.45,51.73,57.09,55.55,66.46,54.85,42.71,70.50,2632.43,2617.51,2732.10,2718.62,1613.39,23.60,28.72
Sc45,12.28,12.24,1.26,1.26,1.00,0.22,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.17,13.12,13.14,1.27,1.27,0.99,0.18,0.15
Ti47,21.26,21.04,2.07,2.15,647.99,0.61,1.96,6.20,6.03,6.32,6.84,6.78,11.82,6.81,7.92,19.37,10.66,28.71,29.48,2.89,3.12,1013.93,0.60,3.05
Ti49,18.13,17.95,1.92,1.86,550.15,0.80,1.53,4.90,4.70,4.88,5.37,5.05,8.90,5.11,5.68,13.71,7.55,22.38,22.80,2.37,2.36,759.01,0.45,2.10
V51,14.36,14.64,1.22,1.23,14.27,0.11,0.20,0.090,0.065,0.084,0.12,0.089,0.16,0.063,0.094,0.13,0.083,14.84,14.65,1.23,1.24,14.16,0.12,0.21
Cr53,13.10,13.28,1.29,1.28,0.63,4.48,8.24,12.81,7.58,10.17,17.13,9.52,40.18,8.11,17.17,16.64,14.95,12.97,12.88,1.33,1.34,0.66,4.57,8.51
Mn55,13.78,13.81,1.21,1.21,50.21,33.62,29.21,55.64,59.49,58.53,55.03,63.34,60.27,64.27,60.07,44.32,67.01,14.00,14.12,1.23,1.23,49.91,35.44,30.73
Co59,13.21,13.42,1.13,1.13,1.30,4.65,4.78,4.99,4.84,5.01,5.01,5.13,5.01,4.95,4.99,4.94,5.01,13.52,13.48,1.15,1.15,1.29,4.84,4.92
Ni60,14.62,14.97,1.31,1.30,0.48,97.62,100.34,62.09,51.05,61.11,55.41,58.04,54.22,48.38,57.62,93.25,45.51,15.36,15.52,1.36,1.36,0.50,98.62,102.88
Ni62,20.28,20.40,1.97,2.02,1.03,145.64,154.07,99.12,82.34,99.06,94.76,100.32,97.22,90.80,109.30,184.66,94.43,29.31,29.81,2.87,2.82,1.35,252.08,275.79
Cu63,14.90,15.14,1.26,1.28,0.67,0.047,0.17,0.12,0.10,0.11,0.15,0.12,0.11,0.11,0.12,0.17,0.096,16.26,16.48,1.41,1.41,0.73,0.059,0.19
Zn66,16.78,17.07,1.42,1.46,6.97,2.22,2.63,3.69,3.62,3.86,4.40,4.04,3.94,3.96,4.05,3.65,4.23,18.93,18.97,1.66,1.68,7.50,2.67,3.17
Zn67,15.16,15.38,1.58,1.56,7.94,1.97,2.25,3.06,2.93,3.22,3.41,3.18,3.12,3.05,3.15,2.90,3.10,16.18,16.62,1.74,1.73,7.88,2.01,2.40
Ga69,13.88,14.25,1.18,1.20,2.56,0.011,0.0089,0.0092,0.0070,0.014,0.014,0.0097,0.013,0.0065,0.0095,0.036,0.0079,15.14,15.27,1.30,1.30,2.58,0.0078,0.0093
Sr88,15.99,16.18,2.45,2.48,10.37,0.0014,0.0030,0.0043,0.0088,0.0054,0.064,0.033,0.0068,0.0031,0.0034,0.088,0.0035,16.49,16.34,2.55,2.57,10.83,0.00074,0.0024
Y89,15.59,15.68,1.31,1.32,0.99,0.0057,0.0067,0.0039,0.0053,0.0049,0.0049,0.0048,0.0037,0.0050,0.0038,0.0066,0.0046,17.97,18.32,1.55,1.53,1.19,0.0063,0.0059
Zr90,14.59,14.89,1.28,1.30,5.29,0.017,0.0081,0.0063,0.0067,0.0095,0.033,0.018,0.0080,0.0074,0.0078,0.045,0.0063,16.03,16.24,1.43,1.47,5.98,0.013,0.012
Nb93,14.60,14.58,1.24,1.23,0.42,0.0017,0.0027,0.0019,0.0022,0.0080,0.011,0.0078,0.0024,0.0016,0.0019,0.068,0.0022,15.17,15.24,1.29,1.30,0.44,0.0033,0.0024
Ba135,19.21,19.18,1.81,1.78,29.68,0.017,0.010,0.016,0.22,0.22,0.15,0.10,0.018,0.015,0.018,0.54,0.015,24.66,25.35,2.37,2.58,42.02,0.018,0.031
Ba137,14.62,14.78,1.38,1.38,22.80,0.0063,0.0097,0.0081,0.010,0.049,0.11,0.073,0.016,0.0033,0.011,0.36,0.0091,16.28,16.48,1.53,1.59,25.89,0.018,0.021
La139,13.43,13.56,1.13,1.13,0.74,0.0064,0.0023,0.0011,0.0020,0.0025,0.012,0.0059,0.0023,0.0014,0.0010,0.056,0.0021,13.71,13.86,1.15,1.15,0.74,0.0016,0.0028
Ce140,14.10,14.28,1.21,1.22,1.65,0.0010,0.0021,0.0015,0.0015,0.0032,0.024,0.013,0.0032,0.0017,0.0020,0.17,0.0060,14.95,15.03,1.28,1.28,1.71,0.0017,0.0026
Gd157,13.73,13.76,1.22,1.21,0.23,0.0076,0.0077,0.0069,0.0086,0.010,0.0079,0.0051,0.0055,0.0052,0.0037,0.013,0.0033,14.02,14.08,1.26,1.25,0.24,0.0088,0.0059
Yb172,15.34,15.33,1.33,1.30,0.13,0.0043,0.0094,0.0039,0.0037,0.013,0.0059,0.0043,0.0024,0.0034,0.0025,0.0042,0.0039,16.59,16.83,1.48,1.49,0.13,0.0083,0.0089

GLITTER!: Minimum detection limits (99% confidence).
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,0.125,0.130,0.170,0.164,0.149,0.294,0.124,0.0575,0.0804,0.0615,0.0592,0.0625,0.0571,0.0570,0.0621,0.0606,0.0597,0.147,0.143,0.204,0.206,0.157,0.146,0.137
B11,0.137,0.137,0.165,0.177,0.161,0.318,0.139,0.0587,0.0843,0.0610,0.0620,0.0667,0.0577,0.0587,0.0656,0.0631,0.0671,0.166,0.159,0.217,0.238,0.187,0.169,0.170
Na23,0.348,0.373,0.481,0.470,0.429,0.883,0.351,0.162,0.232,0.188,0.167,0.175,0.159,0.159,0.171,0.170,0.168,0.410,0.417,0.584,0.599,0.455,0.411,0.387
Mg24,0.168,0.193,0.247,0.230,0.203,0.493,0.178,0.0757,0.330,0.321,0.188,0.183,0.205,0.317,0.123,0.317,1.27,0.919,0.201,0.294,0.301,0.235,0.226,0.328
Mg25,0.443,0.405,0.680,0.650,0.477,0.903,1.32,0.203,0.649,0.596,0.383,0.517,0.280,0.500,0.409,0.394,0.467,0.839,1.68,0.747,0.665,0.534,0.537,0.751
Mg26,1.27,1.27,1.66,1.64,1.46,3.15,1.42,0.511,0.985,1.34,0.550,0.684,0.718,0.610,0.876,0.723,0.634,2.39,1.26,1.74,1.81,1.44,1.28,1.45
Al27,0.135,0.147,0.200,0.178,0.173,0.602,0.137,0.0622,0.0766,0.0553,0.0491,0.0578,0.0462,0.0546,0.0553,0.0474,0.0580,0.120,0.155,0.216,0.255,0.184,0.293,0.143
Si29,61.58,61.95,78.29,76.43,69.50,134.99,55.20,23.40,32.90,23.83,23.29,24.43,21.37,21.73,23.28,23.14,22.95,53.89,54.63,76.64,76.77,61.58,53.42,51.36
Si30,407.95,405.47,516.39,499.18,459.50,864.96,367.00,161.21,227.97,167.28,162.28,171.31,153.17,153.57,165.71,164.01,163.47,385.57,379.07,531.93,541.67,425.43,372.10,360.34
P31,2.88,3.00,3.90,3.77,3.48,6.91,2.86,1.25,1.72,1.28,1.24,1.32,1.19,1.23,1.31,1.31,1.31,3.13,3.41,4.87,4.82,3.78,3.48,3.29
Ca43,37.20,37.11,51.06,55.70,46.04,73.71,40.12,19.68,19.37,24.93,17.32,17.47,16.53,17.41,16.81,16.76,19.47,42.24,42.11,54.23,67.54,51.24,48.59,42.88
Ca44,19.02,19.18,24.60,23.78,21.64,41.82,17.94,7.77,10.97,9.28,8.01,8.38,7.42,7.47,8.11,7.97,7.88,18.76,18.05,25.75,26.28,20.27,18.27,17.70
Sc45,0.0873,0.0893,0.113,0.117,0.0976,0.231,0.0886,0.0389,0.0572,0.0409,0.0411,0.0439,0.0393,0.0399,0.0397,0.0403,0.0429,0.101,0.0975,0.143,0.152,0.114,0.0982,0.102
Ti47,0.321,0.315,0.411,0.247,0.437,1.55,0.324,0.148,0.182,0.489,0.109,0.190,0.129,0.105,0.123,0.103,0.125,0.326,0.417,0.638,0.545,0.352,0.461,0.412
Ti49,0.667,0.704,0.875,0.681,0.788,2.33,0.598,0.268,0.354,0.862,0.227,0.285,0.254,0.244,0.225,0.219,0.288,0.705,0.442,0.895,0.959,0.443,0.621,0.672
V51,0.0268,0.0296,0.0408,0.0322,0.0293,0.0602,0.0211,0.0140,0.0167,0.0130,0.0142,0.0152,0.0128,0.0135,0.0162,0.0152,0.0167,0.0338,0.0300,0.0406,0.0430,0.0362,0.0305,0.0341
Cr53,0.430,0.444,0.641,0.582,0.542,0.619,0.380,0.189,0.284,0.233,0.210,0.190,0.199,0.196,0.218,0.167,0.211,0.458,0.469,0.642,0.719,0.565,0.494,0.484
Mn55,0.177,0.188,0.234,0.234,0.215,0.430,0.173,0.0758,0.115,0.129,0.0796,0.0859,0.0757,0.0765,0.0814,0.0806,0.0830,0.195,0.202,0.282,0.282,0.223,0.205,0.191
Co59,0.0130,0.00685,0.0179,0.0191,0.0168,0.0246,0.00936,0.00617,0.0107,0.0800,0.00764,0.00746,0.00521,0.00740,0.00928,0.00399,0.00606,0.0195,0.0110,0.0259,0.0276,0.0218,0.00984,0.00938
Ni60,0.0491,0.0424,0.100,0.0593,0.0697,0.266,0.0685,0.0315,0.0305,0.0319,0.0196,0.0481,0.0285,0.0286,0.0388,0.0386,0.0341,0.0757,0.0608,0.0704,0.152,0.0806,0.0728,0.0695
Ni62,0.332,0.322,0.421,0.180,<0.00000,1.28,1.02,0.186,0.279,0.258,0.0670,0.203,0.159,0.160,0.257,0.159,0.283,0.551,0.383,<0.00000,<0.00000,<0.00000,0.437,0.512
Cu63,0.0241,0.0243,0.0284,0.0332,0.0199,0.0392,0.0415,0.0131,0.0184,0.0739,0.0127,0.00845,0.0128,0.00907,0.0182,0.00907,0.0104,0.0271,0.0267,0.0487,0.0481,0.0305,0.0305,0.0124
Zn66,0.0732,0.109,0.135,0.125,0.106,0.259,0.0849,0.0450,0.0670,0.0458,0.0430,0.0432,0.0494,0.0363,0.0331,0.0401,0.0469,0.0901,0.101,0.154,0.148,0.117,0.107,0.0405
Zn67,0.280,0.181,0.136,0.429,0.267,1.17,0.172,0.106,0.112,0.224,0.103,0.209,<0.00000,0.125,0.197,0.125,0.169,0.380,0.251,0.447,0.227,0.220,0.301,0.187
Ga69,0.0182,0.0171,0.0152,0.0145,0.0160,0.0315,0.00945,0.00321,0.00277,0.0341,0.00280,<0.00000,0.00572,0.00573,0.00548,0.00580,0.00456,0.0158,0.0176,0.0259,0.0223,0.0136,0.0123,0.00953
Sr88,0.00873,0.00919,0.0141,<0.00000,0.00814,<0.00000,0.00389,<0.00000,<0.00000,0.00494,<0.00000,<0.00000,<0.00000,0.00346,0.00264,<0.00000,<0.00000,<0.00000,0.00875,0.0138,0.00885,<0.00000,<0.00000,0.00421
Y89,<0.00000,0.0110,0.0101,0.00787,<0.00000,<0.00000,<0.00000,0.00188,0.00484,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00293,<0.00000,<0.00000,0.00703,0.0154,0.0181,<0.00000,0.00778,0.00989,<0.00000
Zr90,0.00892,0.0133,0.0211,0.0259,<0.00000,0.0469,<0.00000,<0.00000,<0.00000,0.00737,0.00823,<0.00000,0.00557,0.00682,0.00951,0.00421,<0.00000,<0.00000,0.0172,0.0343,0.0201,0.0159,0.0174,0.0234
Nb93,<0.00000,0.00756,0.0147,0.00661,0.00968,<0.00000,0.00622,0.00352,0.00469,0.0235,<0.00000,<0.00000,0.00227,0.00227,0.00245,<0.00000,<0.00000,0.00416,0.00814,0.0152,0.0101,0.00651,0.00826,0.00393
Ba135,0.0465,0.0692,<0.00000,0.121,<0.00000,<0.00000,<0.00000,0.0201,0.0423,0.0439,<0.00000,0.0391,<0.00000,0.0452,0.0436,0.0305,0.0369,<0.00000,0.0508,0.0714,0.102,<0.00000,0.0511,0.0970
Ba137,0.0542,0.0494,<0.00000,0.0861,<0.00000,<0.00000,<0.00000,0.0166,<0.00000,0.0944,0.0176,<0.00000,0.0168,<0.00000,0.0181,0.0179,0.0177,<0.00000,0.0789,0.111,0.0852,<0.00000,0.0521,0.0571
La139,0.00561,0.00417,0.00766,0.00514,0.00672,0.0208,0.00681,0.00172,0.00572,0.00728,<0.00000,<0.00000,0.00173,0.00424,<0.00000,<0.00000,<0.00000,0.00773,0.00616,<0.00000,0.00880,0.00490,<0.00000,0.00722
Ce140,0.00549,0.00577,0.00866,0.00712,<0.00000,<0.00000,0.00628,0.00238,<0.00000,0.00913,<0.00000,0.00218,<0.00000,0.00138,0.00211,0.00255,0.00206,<0.00000,0.00696,0.0109,0.00702,<0.00000,0.00496,0.00576
Gd157,0.0185,<0.00000,<0.00000,0.0241,<0.00000,<0.00000,0.0186,0.0163,0.0242,0.0309,0.00863,<0.00000,0.0117,<0.00000,<0.00000,0.0153,<0.00000,<0.00000,0.0420,0.0592,0.0521,<0.00000,<0.00000,<0.00000
Yb172,0.0202,0.0213,0.0226,0.0152,<0.00000,<0.00000,0.0232,0.00718,<0.00000,0.0397,0.0120,0.00572,<0.00000,0.00514,<0.00000,0.00777,0.00769,<0.00000,0.0225,0.0517,0.0322,<0.00000,0.0227,0.0216

GLITTER!: Limit of Quantification.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,0.383,0.401,0.522,0.506,0.459,0.905,0.383,0.177,0.247,0.189,0.182,0.192,0.176,0.175,0.191,0.187,0.184,0.452,0.439,0.627,0.633,0.484,0.450,0.423
B11,0.423,0.423,0.507,0.544,0.496,0.980,0.426,0.181,0.259,0.188,0.191,0.205,0.177,0.181,0.202,0.194,0.206,0.510,0.490,0.668,0.731,0.574,0.520,0.522
Na23,1.07,1.15,1.48,1.45,1.32,2.72,1.08,0.498,0.713,0.578,0.514,0.538,0.490,0.488,0.525,0.522,0.516,1.26,1.28,1.80,1.84,1.40,1.26,1.19
Mg24,0.516,0.595,0.761,0.708,0.625,1.52,0.547,0.233,1.02,0.988,0.579,0.564,0.630,0.974,0.379,0.974,3.89,2.83,0.618,0.903,0.927,0.724,0.695,1.01
Mg25,1.36,1.25,2.09,2.00,1.47,2.78,4.06,0.625,2.00,1.83,1.18,1.59,0.861,1.54,1.26,1.21,1.44,2.58,5.16,2.30,2.05,1.64,1.65,2.31
Mg26,3.90,3.91,5.12,5.03,4.51,9.69,4.37,1.57,3.03,4.14,1.69,2.11,2.21,1.88,2.70,2.23,1.95,7.35,3.87,5.35,5.56,4.42,3.93,4.45
Al27,0.415,0.453,0.616,0.546,0.532,1.85,0.421,0.191,0.236,0.170,0.151,0.178,0.142,0.168,0.170,0.146,0.178,0.368,0.476,0.665,0.786,0.567,0.903,0.441
Si29,189.47,190.60,240.89,235.16,213.85,415.35,169.85,71.99,101.24,73.31,71.67,75.18,65.75,66.86,71.62,71.20,70.60,165.81,168.09,235.80,236.22,189.48,164.37,158.03
Si30,1255.25,1247.60,1588.90,1535.93,1413.84,2661.42,1129.24,496.03,701.44,514.70,499.31,527.09,471.29,472.53,509.86,504.64,502.99,1186.37,1166.38,1636.71,1666.67,1309.02,1144.92,1108.75
P31,8.87,9.22,12.01,11.61,10.71,21.27,8.81,3.84,5.29,3.93,3.81,4.07,3.66,3.80,4.03,4.03,4.03,9.62,10.48,14.99,14.84,11.64,10.70,10.13
Ca43,114.47,114.18,157.12,171.40,141.68,226.79,123.44,60.56,59.59,76.72,53.30,53.75,50.85,53.58,51.72,51.55,59.90,129.97,129.56,166.86,207.81,157.66,149.50,131.93
Ca44,58.53,59.01,75.69,73.17,66.58,128.68,55.19,23.90,33.77,28.57,24.66,25.79,22.83,22.98,24.94,24.53,24.23,57.73,55.55,79.24,80.87,62.37,56.20,54.45
Sc45,0.269,0.275,0.347,0.360,0.300,0.709,0.273,0.120,0.176,0.126,0.126,0.135,0.121,0.123,0.122,0.124,0.132,0.311,0.300,0.440,0.466,0.352,0.302,0.314
Ti47,0.986,0.970,1.26,0.761,1.34,4.77,0.995,0.455,0.560,1.51,0.336,0.585,0.395,0.323,0.378,0.317,0.385,1.00,1.28,1.96,1.68,1.08,1.42,1.27
Ti49,2.05,2.16,2.69,2.10,2.43,7.16,1.84,0.826,1.09,2.65,0.699,0.877,0.780,0.751,0.692,0.672,0.885,2.17,1.36,2.75,2.95,1.36,1.91,2.07
V51,0.0823,0.0911,0.125,0.0990,0.0903,0.185,0.0650,0.0431,0.0513,0.0399,0.0438,0.0467,0.0394,0.0417,0.0499,0.0469,0.0514,0.104,0.0922,0.125,0.132,0.111,0.0940,0.105
Cr53,1.32,1.37,1.97,1.79,1.67,1.90,1.17,0.582,0.873,0.716,0.646,0.585,0.614,0.604,0.672,0.514,0.650,1.41,1.44,1.97,2.21,1.74,1.52,1.49
Mn55,0.545,0.577,0.721,0.720,0.663,1.32,0.533,0.233,0.355,0.396,0.245,0.264,0.233,0.236,0.250,0.248,0.255,0.599,0.620,0.868,0.868,0.687,0.630,0.588
Co59,0.0398,0.0211,0.0550,0.0587,0.0517,0.0758,0.0288,0.0190,0.0328,0.246,0.0235,0.0230,0.0160,0.0228,0.0285,0.0123,0.0186,0.0599,0.0340,0.0797,0.0849,0.0672,0.0303,0.0289
Ni60,0.151,0.131,0.308,0.182,0.215,0.818,0.211,0.0970,0.0937,0.0980,0.0603,0.148,0.0876,0.0881,0.119,0.119,0.105,0.233,0.187,0.216,0.469,0.248,0.224,0.214
Ni62,1.02,0.989,1.29,0.554,<0.00000,3.94,3.12,0.573,0.859,0.793,0.206,0.626,0.490,0.494,0.791,0.488,0.871,1.69,1.18,<0.00000,<0.00000,<0.00000,1.35,1.58
Cu63,0.0742,0.0748,0.0874,0.102,0.0614,0.121,0.128,0.0404,0.0566,0.227,0.0391,0.0260,0.0393,0.0279,0.0561,0.0279,0.0321,0.0835,0.0820,0.150,0.148,0.0940,0.0937,0.0381
Zn66,0.225,0.335,0.415,0.384,0.326,0.798,0.261,0.138,0.206,0.141,0.132,0.133,0.152,0.112,0.102,0.123,0.144,0.277,0.310,0.473,0.456,0.359,0.331,0.125
Zn67,0.862,0.556,0.418,1.32,0.823,3.60,0.529,0.328,0.345,0.688,0.317,0.642,<0.00000,0.385,0.607,0.385,0.520,1.17,0.772,1.38,0.699,0.676,0.927,0.577
Ga69,0.0560,0.0525,0.0467,0.0445,0.0494,0.0969,0.0291,0.00989,0.00852,0.105,0.00862,<0.00000,0.0176,0.0176,0.0168,0.0179,0.0140,0.0486,0.0543,0.0796,0.0685,0.0419,0.0377,0.0293
Sr88,0.0268,0.0283,0.0435,<0.00000,0.0250,<0.00000,0.0120,<0.00000,<0.00000,0.0152,<0.00000,<0.00000,<0.00000,0.0106,0.00813,<0.00000,<0.00000,<0.00000,0.0269,0.0424,0.0272,<0.00000,<0.00000,0.0129
Y89,<0.00000,0.0339,0.0312,0.0242,<0.00000,<0.00000,<0.00000,0.00577,0.0149,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00901,<0.00000,<0.00000,0.0216,0.0473,0.0558,<0.00000,0.0239,0.0304,<0.00000
Zr90,0.0274,0.0408,0.0650,0.0798,<0.00000,0.144,<0.00000,<0.00000,<0.00000,0.0227,0.0253,<0.00000,0.0171,0.0210,0.0293,0.0129,<0.00000,<0.00000,0.0530,0.106,0.0619,0.0488,0.0536,0.0720
Nb93,<0.00000,0.0232,0.0454,0.0203,0.0298,<0.00000,0.0191,0.0108,0.0144,0.0723,<0.00000,<0.00000,0.00697,0.00698,0.00754,<0.00000,<0.00000,0.0128,0.0250,0.0467,0.0311,0.0200,0.0254,0.0121
Ba135,0.143,0.213,<0.00000,0.371,<0.00000,<0.00000,<0.00000,0.0619,0.130,0.135,<0.00000,0.120,<0.00000,0.139,0.134,0.0938,0.114,<0.00000,0.156,0.220,0.315,<0.00000,0.157,0.298
Ba137,0.167,0.152,<0.00000,0.265,<0.00000,<0.00000,<0.00000,0.0511,<0.00000,0.291,0.0540,<0.00000,0.0516,<0.00000,0.0557,0.0550,0.0544,<0.00000,0.243,0.342,0.262,<0.00000,0.160,0.176
La139,0.0173,0.0128,0.0236,0.0158,0.0207,0.0640,0.0209,0.00529,0.0176,0.0224,<0.00000,<0.00000,0.00534,0.0131,<0.00000,<0.00000,<0.00000,0.0238,0.0190,<0.00000,0.0271,0.0151,<0.00000,0.0222
Ce140,0.0169,0.0178,0.0266,0.0219,<0.00000,<0.00000,0.0193,0.00732,<0.00000,0.0281,<0.00000,0.00671,<0.00000,0.00426,0.00650,0.00786,0.00635,<0.00000,0.0214,0.0337,0.0216,<0.00000,0.0153,0.0177
Gd157,0.0570,<0.00000,<0.00000,0.0743,<0.00000,<0.00000,0.0571,0.0500,0.0745,0.0950,0.0265,<0.00000,0.0360,<0.00000,<0.00000,0.0472,<0.00000,<0.00000,0.129,0.182,0.160,<0.00000,<0.00000,<0.00000
Yb172,0.0621,0.0654,0.0694,0.0466,<0.00000,<0.00000,0.0714,0.0221,<0.00000,0.122,0.0370,0.0176,<0.00000,0.0158,<0.00000,0.0239,0.0237,<0.00000,0.0692,0.159,0.0989,<0.00000,0.0700,0.0664

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,196.32,198.12,16.74,16.76,4.20,0.772,0.973,1.131,1.197,1.230,1.999,1.353,1.164,1.162,1.090,1.034,1.138,198.01,198.45,16.81,16.70,3.96,0.729,1.015
B11,98.92,100.18,18.09,18.01,9.38,11.21,10.85,6.88,7.12,6.75,6.40,6.14,6.07,5.97,6.15,6.35,6.20,121.76,122.64,18.19,17.92,7.98,8.08,8.42
Na23,14.02,14.18,14.05,14.00,3.46,0.00539,0.01394,0.01633,0.01526,0.01675,0.02442,0.01981,0.01542,0.01556,0.01533,0.01856,0.01428,14.36,13.99,14.07,13.99,3.32,0.00548,0.01380
Mg24,0.00354,0.00350,0.00047,0.00048,0.1703,2.470,2.414,2.264,2.272,2.318,2.223,2.205,2.246,2.226,2.260,2.329,2.299,0.00324,0.00342,0.00047,0.00048,0.1676,2.431,2.447
Mg25,0.00372,0.00375,0.00048,0.00047,0.1776,2.65,2.62,2.440,2.447,2.48,2.401,2.39,2.41,2.42,2.42,2.54,2.45,0.00360,0.00350,0.00048,0.00047,0.1702,2.63,2.63
Mg26,0.00363,0.00371,0.00048,0.00048,0.1794,2.605,2.580,2.367,2.425,2.405,2.329,2.314,2.327,2.329,2.354,2.464,2.357,0.00335,0.00353,0.00047,0.00048,0.1681,2.57,2.55
Al27,0.779,0.784,0.833,0.833,5.89,0.00531,0.01067,0.00752,0.00627,0.00674,0.00698,0.00637,0.01426,0.00532,0.00802,0.01410,0.00815,0.783,0.775,0.834,0.832,5.97,0.00537,0.01104
Si29,2.023,2.042,2.113,2.100,1.719,1.208,1.208,1.177,1.180,1.180,1.176,1.176,1.176,1.183,1.181,1.203,1.181,2.047,2.038,2.104,2.109,1.688,1.208,1.208
