GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run1.b
Created: Fri Sep 29 17:09:54 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Y89,553.31,557.68,46.20,45.68,35.00,0.0233,0.0599,0.0048,<0.0039,0.0025,0.00223,0.0050,0.00118,<0.0077,0.0029,<0.0080,0.0039,579.77,575.93,47.60,47.25,35.00,0.0457,0.0509
Zr90,502.91,511.92,43.56,44.30,184.00,0.0397,0.056,0.175,0.145,0.153,0.185,0.114,<0.0189,0.023,0.113,0.028,0.116,539.69,533.53,45.32,44.80,184.00,0.051,0.0396
Nb93,449.70,450.22,38.96,38.64,12.50,0.0037,<0.0049,0.310,0.305,0.296,0.332,0.443,<0.0047,<0.0082,0.314,0.1278,0.1095,472.13,469.48,39.36,39.68,12.50,<0.0072,0.0059
Ba135,446.77,450.94,40.90,41.63,683.00,<0.153,<0.102,<0.021,<0.0200,<0.028,0.341,<0.061,<0.045,0.033,0.0148,<0.071,<0.0322,459.81,459.76,41.22,41.22,683.00,<0.123,<0.073
Ba137,445.16,449.32,41.07,40.89,683.00,<0.063,<0.053,<0.0247,0.0168,<0.0161,0.409,<0.0176,0.031,0.0141,0.0085,0.034,<0.0228,454.31,456.32,41.68,42.58,683.00,<0.032,0.0151
La139,447.72,457.76,38.71,37.75,24.70,0.0024,<0.0045,<0.0046,0.00073,<0.00269,0.0086,<0.0050,<0.0052,<0.0065,<0.00208,0.0039,<0.00213,478.76,473.03,38.94,39.36,24.70,<0.0071,<0.0081
Ce140,464.93,469.30,40.95,41.90,53.30,<0.0038,<0.00,<0.00165,<0.00267,<0.00151,0.0338,<0.0033,<0.0024,0.00122,<0.0033,0.0050,0.00056,495.57,493.55,41.62,42.00,53.30,<0.0056,<0.0064
Gd157,534.42,522.09,43.13,43.65,6.71,<0.051,<0.028,<0.0130,<0.0087,0.0092,<0.0150,<0.0133,<0.0139,0.029,0.0118,<0.0224,<0.0145,523.34,523.73,43.91,44.49,6.71,<0.051,<0.042
Yb172,481.59,479.30,40.31,39.92,3.39,0.0207,<0.0163,<0.0093,<0.0072,<0.0101,<0.0051,<0.0111,<0.0200,0.0106,<0.0082,<0.0132,<0.0105,511.63,511.64,43.44,42.56,3.39,0.0302,<0.020

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
