GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 1.b
Created: Fri Sep 29 17:42:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Gd157,521.27,521.96,43.63,43.55,6.71,0.0231,<0.0713,<0.0624,<0.093,<0.118,<0.0329,0.0166,<0.0444,0.0201,0.0110,0.086,0.0090,514.82,515.27,43.15,42.69,6.71,0.026,0.0123
Yb172,500.96,504.99,42.83,42.16,3.39,0.0114,<0.085,<0.0265,0.0132,<0.148,<0.0452,<0.0216,0.0085,<0.0197,0.0081,<0.0301,<0.0300,559.57,565.41,47.89,48.18,3.39,<0.092,<0.088

GLITTER!: 1 sigma error.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,12.71,12.87,1.10,1.10,0.28,0.11,0.087,0.086,0.093,0.096,0.15,0.10,0.088,0.089,0.084,0.081,0.087,13.61,13.69,1.17,1.17,0.29,0.082,0.096
B11,1.89,1.92,0.35,0.35,0.19,0.24,0.23,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,2.68,2.73,0.42,0.42,0.19,0.21,0.22
Na23,2951.90,2992.98,2963.43,2960.83,731.75,1.26,3.15,3.69,3.46,3.80,5.55,4.51,3.51,3.55,3.50,4.24,3.27,3157.91,3083.25,3100.50,3091.68,732.42,1.28,3.20
Mg24,14.23,14.07,1.93,1.94,680.99,10172.53,9940.44,9320.16,9350.14,9538.68,9147.43,9071.14,9238.73,9156.48,9292.73,9574.68,9451.48,13.24,14.02,1.96,1.99,682.66,9985.68,10050.15
Mg25,13.98,14.12,1.95,1.88,664.61,10459.80,10365.62,9648.91,9691.09,9819.61,9536.94,9515.60,9592.20,9650.62,9675.73,10157.30,9823.02,14.16,13.82,2.07,2.01,666.53,10607.98,10642.29
Mg26,13.41,13.76,1.93,1.94,663.54,10180.73,10111.05,9300.15,9553.46,9503.37,9228.06,9194.07,9272.11,9302.52,9432.11,9898.40,9494.98,13.25,14.03,2.08,2.15,665.64,10519.03,10476.80
Al27,314.00,315.84,334.22,334.16,2352.93,2.12,4.22,2.97,2.47,2.66,2.75,2.50,5.56,2.08,3.12,5.47,3.16,312.23,309.01,331.33,330.14,2356.42,2.08,4.23
Si29,12922.02,13067.92,13494.04,13429.72,10958.16,6114.70,6114.39,5956.92,5970.24,5970.88,5950.29,5952.48,5952.10,5986.28,5977.31,6089.83,5978.77,13446.20,13407.35,13820.92,13875.79,11061.45,6114.82,6114.69
