GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 1.b
Created: Fri Sep 29 17:42:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Si30,11678.45,11854.16,12642.11,12625.58,10169.71,6538.01,6344.87,5542.52,5832.29,5762.65,5716.64,5642.15,5641.21,5656.63,5711.32,5765.66,5740.10,12400.52,12286.65,13129.76,13156.10,10293.35,6448.89,6386.20
P31,33.86,34.71,4.91,4.72,126.49,3.04,1.95,2.63,2.75,3.17,5.00,3.10,2.99,2.87,2.74,1.82,2.80,38.94,36.87,4.41,5.20,133.24,1.84,2.06
Ca43,2611.28,2611.08,2706.03,2705.23,1620.82,34.15,30.33,49.60,62.58,54.65,52.97,56.74,51.18,62.65,51.98,38.90,67.74,2614.88,2614.36,2712.27,2712.93,1622.56,27.73,30.18
Ca44,2625.80,2642.40,2713.71,2719.86,1595.88,28.60,29.81,54.51,65.84,55.42,54.50,59.91,58.08,69.21,56.89,44.11,72.44,2646.14,2628.06,2728.36,2711.37,1597.00,23.71,28.60
Sc45,12.97,12.93,1.33,1.33,1.05,0.24,0.20,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.16,0.19,14.05,14.09,1.36,1.36,1.06,0.20,0.17
Ti47,14.82,14.72,1.54,1.58,442.15,0.61,1.44,4.22,4.02,4.14,4.36,4.16,6.97,3.92,4.40,10.32,5.51,14.50,14.42,1.55,1.62,442.08,0.40,1.39
Ti49,14.93,14.79,1.65,1.58,441.96,0.82,1.39,4.24,4.01,4.13,4.47,4.11,7.04,3.99,4.33,10.17,5.49,14.65,14.57,1.64,1.61,441.61,0.40,1.42
V51,13.37,13.65,1.14,1.14,13.20,0.11,0.20,0.090,0.065,0.083,0.11,0.087,0.16,0.062,0.092,0.13,0.081,13.99,13.81,1.16,1.17,13.22,0.11,0.20
Cr53,14.57,14.75,1.42,1.42,0.69,5.19,9.51,14.71,8.68,11.59,19.44,10.74,45.12,9.06,19.07,18.38,16.41,13.98,13.86,1.43,1.43,0.70,4.84,8.91
Mn55,13.22,13.27,1.16,1.16,47.85,34.27,29.75,56.60,60.43,59.36,55.72,64.00,60.76,64.64,60.25,44.33,66.82,13.58,13.71,1.19,1.19,48.00,34.53,29.80
Co59,12.18,12.40,1.04,1.04,1.20,4.61,4.74,4.95,4.80,4.96,4.96,5.07,4.95,4.88,4.92,4.87,4.92,12.71,12.69,1.08,1.08,1.20,4.69,4.76
Ni60,14.59,14.92,1.30,1.29,0.47,104.59,107.31,66.28,54.40,64.99,58.81,61.48,57.31,51.04,60.65,97.95,47.70,14.87,14.98,1.30,1.31,0.48,101.98,106.13
Ni62,10.82,10.94,1.18,1.21,0.64,77.73,81.13,51.33,41.83,49.26,46.00,47.32,44.54,40.40,47.11,77.02,38.17,12.05,11.90,1.39,1.35,0.69,83.45,88.30
Cu63,15.35,15.64,1.30,1.32,0.69,0.052,0.18,0.13,0.11,0.12,0.15,0.12,0.11,0.11,0.13,0.17,0.096,16.14,16.23,1.38,1.37,0.70,0.061,0.17
Zn66,9.28,9.52,0.80,0.83,3.92,1.32,1.56,2.17,2.12,2.25,2.55,2.31,2.24,2.22,2.25,2.00,2.28,10.34,10.27,0.91,0.91,3.94,1.34,1.56
Zn67,7.45,7.61,0.80,0.80,3.97,1.10,1.26,1.71,1.65,1.82,1.93,1.80,1.76,1.72,1.78,1.64,1.75,8.32,8.53,0.93,0.93,4.01,1.15,1.36
Ga69,3.76,3.89,0.32,0.33,0.70,0.0035,0.0028,0.0028,0.0022,0.0044,0.0045,0.0030,0.0038,0.0020,0.0029,0.010,0.0025,4.20,4.22,0.36,0.36,0.70,0.0026,0.0031
Sr88,16.43,16.63,2.51,2.54,10.54,0.0016,0.0033,0.0048,0.0096,0.0060,0.068,0.035,0.0073,0.0035,0.0037,0.089,0.0039,16.48,16.27,2.52,2.53,10.54,0.00081,0.0026
Y89,17.78,17.90,1.49,1.50,1.12,0.0074,0.0087,0.0051,0.0068,0.0063,0.0063,0.0061,0.0047,0.0063,0.0048,0.0082,0.0057,18.05,18.12,1.51,1.47,1.12,0.0080,0.0073
Zr90,16.25,16.61,1.43,1.45,5.85,0.021,0.010,0.0079,0.0084,0.012,0.040,0.021,0.0099,0.0092,0.0097,0.051,0.0078,16.52,16.56,1.45,1.47,5.85,0.016,0.014
Nb93,14.04,14.01,1.19,1.18,0.40,0.0018,0.0028,0.0020,0.0023,0.0083,0.012,0.0081,0.0025,0.0016,0.0019,0.070,0.0023,14.04,14.04,1.18,1.18,0.40,0.0034,0.0025
Ba135,13.63,13.72,1.37,1.34,21.11,0.018,0.011,0.018,0.20,0.20,0.15,0.099,0.019,0.016,0.020,0.39,0.016,13.89,13.91,1.39,1.47,21.12,0.019,0.034
Ba137,13.58,13.76,1.30,1.30,21.05,0.0068,0.010,0.0087,0.011,0.052,0.11,0.076,0.017,0.0036,0.012,0.34,0.0097,13.99,14.01,1.32,1.35,21.06,0.019,0.023
La139,14.20,14.36,1.20,1.20,0.78,0.0073,0.0026,0.0012,0.0023,0.0028,0.014,0.0066,0.0026,0.0015,0.0012,0.061,0.0024,14.64,14.79,1.22,1.22,0.78,0.0019,0.0032
Ce140,14.14,14.35,1.21,1.22,1.64,0.0012,0.0023,0.0017,0.0017,0.0036,0.025,0.013,0.0035,0.0019,0.0022,0.17,0.0064,14.72,14.74,1.25,1.24,1.64,0.0019,0.0029
Gd157,16.06,16.08,1.42,1.41,0.26,0.0095,0.0096,0.0086,0.011,0.013,0.0097,0.0063,0.0068,0.0064,0.0045,0.016,0.0040,15.87,15.88,1.42,1.40,0.27,0.011,0.0071
Yb172,15.31,15.44,1.35,1.33,0.14,0.0051,0.011,0.0047,0.0044,0.016,0.0072,0.0053,0.0030,0.0043,0.0031,0.0053,0.0050,17.16,17.34,1.53,1.54,0.14,0.011,0.012

GLITTER!: Minimum detection limits (99% confidence).
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,0.111,0.116,0.151,0.147,0.133,0.285,0.121,0.0560,0.0784,0.0601,0.0580,0.0614,0.0562,0.0562,0.0614,0.0601,0.0593,0.139,0.135,0.193,0.195,0.149,0.147,0.139
B11,0.0456,0.0458,0.0551,0.0595,0.0543,0.117,0.0511,0.0218,0.0315,0.0230,0.0235,0.0255,0.0222,0.0228,0.0256,0.0249,0.0267,0.0631,0.0614,0.0843,0.0934,0.0739,0.0720,0.0731
Na23,0.333,0.358,0.460,0.451,0.410,0.914,0.364,0.168,0.241,0.196,0.174,0.183,0.167,0.166,0.179,0.178,0.177,0.409,0.418,0.584,0.600,0.453,0.436,0.411
Mg24,0.149,0.172,0.219,0.204,0.179,0.471,0.170,0.0722,0.315,0.306,0.179,0.175,0.195,0.302,0.118,0.302,1.21,0.830,0.182,0.265,0.272,0.211,0.215,0.312
Mg25,0.376,0.344,0.577,0.553,0.404,0.828,1.21,0.187,0.598,0.549,0.354,0.478,0.259,0.464,0.380,0.367,0.434,0.741,1.48,0.660,0.590,0.472,0.504,0.706
Mg26,1.06,1.06,1.39,1.37,1.23,2.86,1.29,0.467,0.903,1.24,0.507,0.632,0.665,0.567,0.816,0.676,0.594,2.13,1.12,1.55,1.62,1.28,1.22,1.38
Al27,0.128,0.139,0.188,0.167,0.161,0.606,0.138,0.0624,0.0767,0.0553,0.0490,0.0576,0.0459,0.0541,0.0548,0.0469,0.0572,0.112,0.144,0.201,0.237,0.170,0.286,0.140
Si29,57.28,57.69,72.68,71.03,64.26,134.99,55.20,23.40,32.90,23.83,23.29,24.43,21.37,21.73,23.28,23.14,22.95,51.06,51.82,72.46,72.67,58.00,53.42,51.36
Si30,383.49,381.75,484.89,469.45,430.13,876.18,371.95,163.46,231.27,169.78,164.79,174.05,155.70,156.18,168.61,166.96,166.50,372.27,366.58,513.06,523.28,409.10,380.13,368.31
P31,3.52,3.65,4.71,4.53,4.13,8.84,3.64,1.58,2.16,1.60,1.54,1.63,1.46,1.51,1.59,1.58,1.57,3.53,3.82,5.42,5.33,4.13,4.01,3.77
Ca43,37.20,37.11,50.85,55.47,45.57,78.81,42.85,21.00,20.64,26.54,18.42,18.56,17.54,18.46,17.80,17.72,20.57,42.24,42.11,54.00,67.25,50.71,51.00,44.96
Ca44,19.36,19.52,24.93,24.10,21.79,45.50,19.50,8.43,11.90,10.06,8.67,9.06,8.01,8.05,8.73,8.58,8.47,19.09,18.37,26.09,26.62,20.40,19.50,18.88
Sc45,0.0919,0.0941,0.119,0.123,0.102,0.261,0.100,0.0439,0.0646,0.0461,0.0464,0.0495,0.0443,0.0450,0.0447,0.0454,0.0483,0.108,0.104,0.152,0.161,0.121,0.110,0.115
Ti47,0.315,0.310,0.402,0.242,0.423,1.62,0.337,0.154,0.189,0.506,0.113,0.196,0.132,0.108,0.126,0.105,0.127,0.314,0.401,0.609,0.520,0.333,0.462,0.412
Ti49,0.646,0.681,0.841,0.653,0.749,2.38,0.611,0.273,0.359,0.871,0.229,0.286,0.253,0.243,0.223,0.216,0.284,0.657,0.411,0.826,0.883,0.404,0.600,0.647
V51,0.0251,0.0278,0.0381,0.0301,0.0273,0.0606,0.0213,0.0141,0.0168,0.0131,0.0143,0.0153,0.0129,0.0136,0.0163,0.0153,0.0168,0.0322,0.0286,0.0386,0.0409,0.0343,0.0307,0.0343
Cr53,0.478,0.492,0.707,0.640,0.592,0.729,0.447,0.222,0.332,0.272,0.244,0.221,0.231,0.227,0.252,0.192,0.242,0.497,0.507,0.690,0.772,0.602,0.558,0.545
Mn55,0.171,0.181,0.225,0.225,0.206,0.444,0.179,0.0784,0.119,0.133,0.0822,0.0888,0.0783,0.0791,0.0840,0.0833,0.0857,0.190,0.197,0.275,0.276,0.217,0.211,0.197
Co59,0.0120,0.00638,0.0166,0.0177,0.0156,0.0247,0.00938,0.00619,0.0107,0.0802,0.00767,0.00749,0.00524,0.00745,0.00933,0.00402,0.00610,0.0186,0.0105,0.0247,0.0263,0.0208,0.00994,0.00948
Ni60,0.0494,0.0427,0.100,0.0593,0.0692,0.285,0.0733,0.0337,0.0325,0.0339,0.0208,0.0510,0.0301,0.0302,0.0409,0.0406,0.0358,0.0752,0.0603,0.0695,0.150,0.0790,0.0756,0.0720
Ni62,0.246,0.238,0.311,0.134,<0.00000,1.03,0.816,0.150,0.225,0.208,0.0544,0.165,0.130,0.131,0.210,0.130,0.233,0.430,0.300,<0.00000,<0.00000,<0.00000,0.365,0.429
Cu63,0.0259,0.0261,0.0305,0.0357,0.0213,0.0454,0.0481,0.0152,0.0213,0.0858,0.0148,0.00982,0.0149,0.0106,0.0213,0.0106,0.0122,0.0301,0.0296,0.0540,0.0534,0.0338,0.0358,0.0146
Zn66,0.0461,0.0690,0.0856,0.0797,0.0676,0.180,0.0591,0.0314,0.0470,0.0323,0.0305,0.0307,0.0353,0.0260,0.0239,0.0290,0.0341,0.0624,0.0701,0.107,0.104,0.0818,0.0804,0.0305
Zn67,0.147,0.0954,0.0718,0.228,0.142,0.678,0.0999,0.0622,0.0659,0.132,0.0612,0.124,<0.00000,0.0755,0.120,0.0764,0.104,0.222,0.147,0.264,0.135,0.130,0.191,0.119
Ga69,0.00519,0.00489,0.00436,0.00418,0.00462,0.00985,0.00297,0.00101,0.00088,0.0108,0.00089,<0.00000,0.00184,0.00185,0.00178,0.00189,0.00149,0.00491,0.00552,0.00811,0.00702,0.00429,0.00412,0.00322
Sr88,0.00912,0.00961,0.0147,<0.00000,0.00842,<0.00000,0.00435,<0.00000,<0.00000,0.00550,<0.00000,<0.00000,<0.00000,0.00383,0.00293,<0.00000,<0.00000,<0.00000,0.00915,0.0144,0.00922,<0.00000,<0.00000,0.00461
Y89,<0.00000,0.0136,0.0124,0.00965,<0.00000,<0.00000,<0.00000,0.00246,0.00634,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00379,<0.00000,<0.00000,0.00859,0.0188,0.0221,<0.00000,0.00939,0.0127,<0.00000
Zr90,0.0105,0.0156,0.0248,0.0305,<0.00000,0.0593,<0.00000,<0.00000,<0.00000,0.00929,0.0104,<0.00000,0.00700,0.00857,0.0119,0.00528,<0.00000,<0.00000,0.0205,0.0406,0.0238,0.0187,0.0218,0.0292
Nb93,<0.00000,0.00743,0.0144,0.00647,0.00940,<0.00000,0.00652,0.00368,0.00490,0.0245,<0.00000,<0.00000,0.00235,0.00235,0.00254,<0.00000,<0.00000,0.00406,0.00795,0.0148,0.00982,0.00628,0.00846,0.00402
Ba135,0.0464,0.0692,<0.00000,0.120,<0.00000,<0.00000,<0.00000,0.0217,0.0456,0.0474,<0.00000,0.0422,<0.00000,0.0489,0.0473,0.0330,0.0400,<0.00000,0.0523,0.0734,0.105,<0.00000,0.0556,0.106
Ba137,0.0543,0.0495,<0.00000,0.0861,<0.00000,<0.00000,<0.00000,0.0179,<0.00000,0.101,0.0189,<0.00000,0.0180,<0.00000,0.0194,0.0192,0.0190,<0.00000,0.0803,0.113,0.0865,<0.00000,0.0559,0.0612
La139,0.00595,0.00443,0.00811,0.00545,0.00709,0.0237,0.00776,0.00196,0.00652,0.00830,<0.00000,<0.00000,0.00198,0.00483,<0.00000,<0.00000,<0.00000,0.00834,0.00666,<0.00000,0.00949,0.00526,<0.00000,0.00822
Ce140,0.00565,0.00595,0.00890,0.00732,<0.00000,<0.00000,0.00695,0.00263,<0.00000,0.0101,<0.00000,0.00241,<0.00000,0.00153,0.00234,0.00283,0.00228,<0.00000,0.00730,0.0115,0.00735,<0.00000,0.00549,0.00637
Gd157,0.0218,<0.00000,<0.00000,0.0282,<0.00000,<0.00000,0.0232,0.0203,0.0301,0.0384,0.0107,<0.00000,0.0144,<0.00000,<0.00000,0.0188,<0.00000,<0.00000,0.0486,0.0682,0.0600,<0.00000,<0.00000,<0.00000
Yb172,0.0216,0.0229,0.0244,0.0165,<0.00000,<0.00000,0.0277,0.00861,<0.00000,0.0482,0.0147,0.00703,<0.00000,0.00639,<0.00000,0.00978,0.00974,<0.00000,0.0273,0.0631,0.0395,<0.00000,0.0299,0.0286

GLITTER!: Limit of Quantification.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,0.341,0.358,0.465,0.453,0.410,0.876,0.372,0.172,0.241,0.185,0.178,0.189,0.173,0.173,0.189,0.185,0.182,0.427,0.416,0.594,0.602,0.459,0.453,0.427
B11,0.140,0.141,0.170,0.183,0.167,0.359,0.157,0.0670,0.0969,0.0707,0.0723,0.0784,0.0683,0.0701,0.0789,0.0766,0.0822,0.194,0.189,0.259,0.287,0.227,0.222,0.225
Na23,1.02,1.10,1.42,1.39,1.26,2.81,1.12,0.517,0.742,0.602,0.536,0.562,0.513,0.511,0.550,0.549,0.543,1.26,1.28,1.80,1.85,1.39,1.34,1.27
Mg24,0.459,0.530,0.675,0.628,0.552,1.45,0.522,0.222,0.969,0.943,0.552,0.538,0.601,0.929,0.362,0.929,3.71,2.55,0.559,0.814,0.836,0.649,0.662,0.960
Mg25,1.16,1.06,1.77,1.70,1.24,2.55,3.73,0.575,1.84,1.69,1.09,1.47,0.797,1.43,1.17,1.13,1.34,2.28,4.57,2.03,1.81,1.45,1.55,2.17
Mg26,3.26,3.27,4.29,4.23,3.78,8.81,3.98,1.44,2.78,3.80,1.56,1.95,2.05,1.75,2.51,2.08,1.83,6.54,3.46,4.78,4.99,3.95,3.74,4.25
Al27,0.393,0.427,0.579,0.513,0.496,1.86,0.423,0.192,0.236,0.170,0.151,0.177,0.141,0.167,0.169,0.144,0.176,0.343,0.444,0.617,0.729,0.522,0.881,0.430
Si29,176.25,177.50,223.63,218.54,197.72,415.35,169.85,71.99,101.24,73.31,71.67,75.18,65.75,66.86,71.62,71.20,70.60,157.10,159.44,222.97,223.61,178.45,164.37,158.03
Si30,1179.97,1174.61,1491.97,1444.47,1323.47,2695.93,1144.45,502.96,711.59,522.41,507.04,535.52,479.06,480.57,518.79,513.73,512.31,1145.43,1127.93,1578.64,1610.11,1258.77,1169.63,1133.25
P31,10.84,11.22,14.49,13.94,12.72,27.19,11.20,4.86,6.65,4.92,4.74,5.03,4.49,4.63,4.88,4.86,4.83,10.85,11.76,16.66,16.41,12.72,12.34,11.61
Ca43,114.47,114.18,156.46,170.68,140.21,242.48,131.84,64.61,63.50,81.67,56.68,57.10,53.96,56.79,54.76,54.53,63.28,129.97,129.56,166.16,206.93,156.02,156.93,138.33
Ca44,59.58,60.06,76.71,74.15,67.05,140.01,59.99,25.94,36.62,30.94,26.68,27.88,24.65,24.78,26.87,26.39,26.05,58.73,56.51,80.27,81.92,62.78,60.01,58.08
Sc45,0.283,0.289,0.365,0.378,0.314,0.802,0.308,0.135,0.199,0.142,0.143,0.152,0.136,0.139,0.137,0.140,0.148,0.332,0.320,0.468,0.497,0.372,0.340,0.353
Ti47,0.971,0.954,1.24,0.743,1.30,4.99,1.04,0.473,0.581,1.56,0.347,0.603,0.406,0.332,0.387,0.323,0.392,0.965,1.23,1.88,1.60,1.02,1.42,1.27
Ti49,1.99,2.09,2.59,2.01,2.31,7.34,1.88,0.840,1.11,2.68,0.704,0.880,0.780,0.749,0.687,0.665,0.873,2.02,1.26,2.54,2.72,1.24,1.85,1.99
V51,0.0772,0.0855,0.117,0.0927,0.0841,0.186,0.0655,0.0434,0.0517,0.0402,0.0440,0.0470,0.0397,0.0419,0.0502,0.0472,0.0517,0.0990,0.0880,0.119,0.126,0.105,0.0944,0.105
Cr53,1.47,1.51,2.17,1.97,1.82,2.24,1.38,0.683,1.02,0.836,0.752,0.679,0.710,0.698,0.774,0.590,0.744,1.53,1.56,2.12,2.37,1.85,1.72,1.68
Mn55,0.525,0.556,0.693,0.692,0.634,1.37,0.551,0.241,0.367,0.409,0.253,0.273,0.241,0.243,0.259,0.256,0.264,0.585,0.607,0.847,0.848,0.667,0.650,0.606
Co59,0.0371,0.0196,0.0511,0.0546,0.0479,0.0759,0.0289,0.0190,0.0329,0.247,0.0236,0.0231,0.0161,0.0229,0.0287,0.0124,0.0188,0.0572,0.0325,0.0760,0.0810,0.0639,0.0306,0.0292
Ni60,0.152,0.131,0.308,0.182,0.213,0.877,0.226,0.104,0.0999,0.104,0.0640,0.157,0.0927,0.0930,0.126,0.125,0.110,0.231,0.186,0.214,0.463,0.243,0.232,0.222
Ni62,0.756,0.733,0.958,0.411,<0.00000,3.16,2.51,0.461,0.693,0.641,0.167,0.508,0.399,0.403,0.647,0.401,0.716,1.32,0.924,<0.00000,<0.00000,<0.00000,1.12,1.32
Cu63,0.0795,0.0804,0.0937,0.110,0.0656,0.140,0.148,0.0468,0.0656,0.264,0.0455,0.0302,0.0457,0.0325,0.0655,0.0326,0.0375,0.0925,0.0911,0.166,0.164,0.104,0.110,0.0449
Zn66,0.142,0.212,0.263,0.245,0.208,0.552,0.182,0.0968,0.145,0.0993,0.0938,0.0945,0.109,0.0801,0.0734,0.0893,0.105,0.192,0.216,0.330,0.320,0.252,0.247,0.0937
Zn67,0.452,0.294,0.221,0.701,0.438,2.08,0.307,0.191,0.203,0.406,0.188,0.383,<0.00000,0.232,0.368,0.235,0.319,0.683,0.454,0.811,0.415,0.401,0.587,0.367
Ga69,0.0160,0.0151,0.0134,0.0128,0.0142,0.0303,0.00913,0.00312,0.00270,0.0333,0.00275,<0.00000,0.00566,0.00570,0.00547,0.00582,0.00459,0.0151,0.0170,0.0249,0.0216,0.0132,0.0127,0.00990
Sr88,0.0281,0.0296,0.0453,<0.00000,0.0259,<0.00000,0.0134,<0.00000,<0.00000,0.0169,<0.00000,<0.00000,<0.00000,0.0118,0.00900,<0.00000,<0.00000,<0.00000,0.0281,0.0442,0.0284,<0.00000,<0.00000,0.0142
Y89,<0.00000,0.0418,0.0383,0.0297,<0.00000,<0.00000,<0.00000,0.00757,0.0195,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0117,<0.00000,<0.00000,0.0264,0.0578,0.0679,<0.00000,0.0289,0.0389,<0.00000
Zr90,0.0323,0.0481,0.0764,0.0937,<0.00000,0.182,<0.00000,<0.00000,<0.00000,0.0286,0.0319,<0.00000,0.0215,0.0264,0.0368,0.0162,<0.00000,<0.00000,0.0630,0.125,0.0733,0.0575,0.0670,0.0900
Nb93,<0.00000,0.0228,0.0444,0.0199,0.0289,<0.00000,0.0201,0.0113,0.0151,0.0754,<0.00000,<0.00000,0.00724,0.00723,0.00781,<0.00000,<0.00000,0.0125,0.0245,0.0454,0.0302,0.0193,0.0260,0.0124
Ba135,0.143,0.213,<0.00000,0.371,<0.00000,<0.00000,<0.00000,0.0667,0.140,0.146,<0.00000,0.130,<0.00000,0.151,0.145,0.102,0.123,<0.00000,0.161,0.226,0.324,<0.00000,0.171,0.325
Ba137,0.167,0.152,<0.00000,0.265,<0.00000,<0.00000,<0.00000,0.0550,<0.00000,0.312,0.0580,<0.00000,0.0554,<0.00000,0.0598,0.0590,0.0584,<0.00000,0.247,0.347,0.266,<0.00000,0.172,0.188
La139,0.0183,0.0136,0.0250,0.0168,0.0218,0.0729,0.0239,0.00603,0.0201,0.0255,<0.00000,<0.00000,0.00608,0.0149,<0.00000,<0.00000,<0.00000,0.0257,0.0205,<0.00000,0.0292,0.0162,<0.00000,0.0253
Ce140,0.0174,0.0183,0.0274,0.0225,<0.00000,<0.00000,0.0214,0.00810,<0.00000,0.0311,<0.00000,0.00743,<0.00000,0.00471,0.00719,0.00870,0.00702,<0.00000,0.0225,0.0352,0.0226,<0.00000,0.0169,0.0196
Gd157,0.0670,<0.00000,<0.00000,0.0868,<0.00000,<0.00000,0.0713,0.0624,0.0928,0.118,0.0329,<0.00000,0.0444,<0.00000,<0.00000,0.0579,<0.00000,<0.00000,0.150,0.210,0.184,<0.00000,<0.00000,<0.00000
Yb172,0.0665,0.0705,0.0750,0.0507,<0.00000,<0.00000,0.0851,0.0265,<0.00000,0.148,0.0452,0.0216,<0.00000,0.0197,<0.00000,0.0301,0.0300,<0.00000,0.0841,0.194,0.122,<0.00000,0.0920,0.0879

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,174.70,176.91,14.93,15.00,3.75,0.747,0.944,1.099,1.167,1.202,1.958,1.328,1.145,1.147,1.078,1.025,1.131,186.85,187.92,15.90,15.85,3.75,0.735,1.026
B11,32.84,33.45,6.05,6.06,3.158,4.11,4.00,2.554,2.661,2.538,2.427,2.344,2.337,2.316,2.407,2.507,2.472,46.34,47.22,7.06,7.04,3.16,3.44,3.63
Na23,13.41,13.60,13.45,13.44,3.31,0.00558,0.01445,0.01695,0.01587,0.01744,0.02546,0.02069,0.01612,0.01630,0.01608,0.01949,0.01502,14.33,14.00,14.05,14.01,3.31,0.00581,0.01466
Mg24,0.00315,0.00311,0.00042,0.00042,0.1503,2.358,2.305,2.161,2.168,2.212,2.121,2.103,2.142,2.123,2.155,2.220,2.192,0.00292,0.00310,0.00043,0.00043,0.1503,2.315,2.330
Mg25,0.00315,0.00319,0.00041,0.00040,0.1503,2.432,2.410,2.243,2.253,2.283,2.217,2.212,2.230,2.244,2.250,2.362,2.284,0.00318,0.00310,0.00043,0.00042,0.1503,2.466,2.474
Mg26,0.00303,0.00311,0.00040,0.00040,0.1503,2.367,2.351,2.163,2.222,2.210,2.146,2.138,2.156,2.163,2.193,2.302,2.208,0.00298,0.00316,0.00042,0.00043,0.1503,2.446,2.436
Al27,0.736,0.740,0.782,0.782,5.50,0.00535,0.01072,0.00755,0.00628,0.00674,0.00696,0.00635,0.01417,0.00528,0.00794,0.01394,0.00804,0.731,0.723,0.774,0.771,5.50,0.00524,0.01076
Si29,1.882,1.902,1.962,1.951,1.589,1.208,1.208,1.177,1.180,1.180,1.176,1.176,1.176,1.183,1.181,1.203,1.181,1.940,1.933,1.990,1.996,1.589,1.208,1.208
Si30,1.834,1.861,1.981,1.978,1.589,1.308,1.271,1.110,1.168,1.154,1.145,1.130,1.130,1.133,1.144,1.155,1.149,1.924,1.905,2.032,2.035,1.589,1.291,1.278
P31,0.188,0.192,0.0250,0.0239,0.696,0.0109,0.01449,0.0282,0.0289,0.0339,0.0548,0.0334,0.0326,0.0310,0.0295,0.01861,0.0301,0.206,0.194,0.0201,0.0247,0.696,0.01001,0.01515
Ca43,6.07,6.07,6.27,6.27,3.74,0.0339,0.0407,0.1031,0.1352,0.1068,0.1031,0.1213,0.1122,0.1382,0.1132,0.0789,0.1519,6.07,6.07,6.27,6.27,3.74,0.0254,0.0370
Ca44,6.18,6.22,6.38,6.39,3.74,0.0584,0.0692,0.1325,0.1602,0.1340,0.1317,0.1458,0.1417,0.1689,0.1386,0.1070,0.1769,6.22,6.18,6.40,6.36,3.74,0.0532,0.0660
Sc45,48.11,47.95,4.85,4.85,3.82,0.825,0.689,0.648,0.695,0.677,0.640,0.659,0.655,0.675,0.668,0.599,0.706,51.82,51.94,4.91,4.92,3.82,0.693,0.573
Ti47,0.717,0.712,0.0644,0.0672,21.56,0.00862,0.0637,0.2082,0.1980,0.2011,0.2122,0.2054,0.349,0.1940,0.2187,0.519,0.2753,0.700,0.696,0.0627,0.0657,21.56,0.01041,0.0603
Ti49,0.720,0.713,0.0656,0.0636,21.56,0.0061,0.0582,0.2071,0.1956,0.1972,0.2144,0.2006,0.352,0.1958,0.2139,0.509,0.2728,0.705,0.701,0.0630,0.0612,21.56,0.00746,0.0586
V51,5.09,5.19,0.426,0.428,5.00,0.0393,0.0749,0.0322,0.02245,0.02836,0.0405,0.0313,0.0600,0.02165,0.0337,0.0467,0.02932,5.31,5.24,0.433,0.435,5.00,0.0381,0.0736
Cr53,0.1171,0.1185,0.01008,0.01010,0.00428,0.0422,0.0784,0.1223,0.0718,0.0958,0.1613,0.0891,0.377,0.0751,0.1588,0.1530,0.1366,0.1121,0.1111,0.00987,0.00981,0.00428,0.0391,0.0733
Mn55,0.1462,0.1467,0.01263,0.01268,0.527,0.388,0.336,0.640,0.683,0.671,0.630,0.724,0.687,0.731,0.681,0.501,0.756,0.1497,0.1511,0.01282,0.01287,0.527,0.390,0.337
Co59,0.514,0.523,0.0432,0.0432,0.0497,0.1999,0.2057,0.2148,0.2082,0.2150,0.2151,0.2202,0.2151,0.2121,0.2135,0.2112,0.2137,0.533,0.532,0.0444,0.0443,0.0497,0.2033,0.2061
Ni60,0.02798,0.02862,0.00236,0.00234,0.00079,0.2101,0.2155,0.1331,0.1092,0.1305,0.1181,0.1235,0.1151,0.1025,0.1218,0.1967,0.0958,0.02833,0.02854,0.00232,0.00232,0.00079,0.2047,0.2130
Ni62,0.02077,0.02101,0.00171,0.00177,0.00079,0.1560,0.1628,0.1030,0.0839,0.0986,0.0920,0.0949,0.0894,0.0810,0.0946,0.1547,0.0765,0.02283,0.02254,0.00189,0.00180,0.00079,0.1672,0.1769
