GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 4.b
Created: Fri Sep 29 17:51:45 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3,6-01,6-02,6-03,6-04,6-05,6-06,6-07,6-08,6-09,6-10,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4
Li7,445.79,437.91,37.07,37.06,9.00,1.637,2.564,6.38,7.64,7.38,7.04,7.10,7.20,7.36,8.28,6.63,7.95,449.34,441.30,36.85,37.53,9.00,1.808,2.295
B11,123.12,121.77,15.88,15.68,6.00,5.80,5.52,4.10,4.08,3.93,3.95,3.87,3.74,3.58,3.77,4.14,3.69,134.97,131.38,16.64,16.44,6.00,5.40,5.28
Na23,100997.11,101044.51,100500.52,99203.42,23999.99,40.39,103.80,46.43,64.00,61.97,59.57,67.79,61.90,61.45,112.57,57.95,68.96,106059.38,101206.02,102536.55,102504.82,23999.99,41.67,106.01
Mg24,435.46,441.04,59.80,59.21,21499.99,335709.53,329989.56,218784.52,209955.94,208358.39,204334.98,207948.31,201994.39,203407.31,208412.27,206410.03,205032.47,453.85,445.51,60.65,61.09,21499.99,331711.59,329481.09
Mg25,447.27,453.94,60.93,57.28,21500.00,349681.41,345335.50,233257.94,214546.56,218057.88,213464.66,218346.98,215576.88,214020.89,212195.02,216066.94,217668.22,455.82,454.38,59.98,56.06,21499.99,350648.97,343584.19
Mg26,453.36,453.83,60.12,58.56,21499.99,345804.53,343186.63,233227.86,213914.22,216338.34,217182.42,215546.98,212862.45,212787.84,211042.47,214701.81,214919.63,451.09,456.76,59.47,59.96,21499.99,345577.75,342884.94
Al27,8871.12,8982.88,9589.90,9579.48,70900.01,68.59,130.13,116.63,129.88,119.36,115.91,153.43,115.03,102.54,320.94,109.33,133.45,9303.05,9127.14,9846.54,9964.87,70899.97,66.87,130.00
Si29,302986.34,306977.38,313778.84,315511.44,254299.81,193286.23,193286.23,179076.06,177253.06,175990.97,175944.23,176832.38,177112.83,175383.30,176177.94,176131.19,177299.80,319228.50,309001.84,322247.63,327082.94,254299.80,193286.22,193286.22
Si30,299140.31,295620.94,315897.72,315652.56,254299.89,200642.97,199716.27,168658.70,171805.27,169506.47,171199.11,168743.13,168945.63,174482.41,176310.39,178057.03,171297.34,306739.78,304640.53,322221.47,323987.97,254299.84,203045.98,201028.38
P31,470.02,447.86,52.89,58.06,1600.00,20.31,28.78,105.01,218.42,193.23,158.69,152.45,175.23,138.62,278.57,132.83,222.77,483.23,457.19,55.68,59.28,1600.00,20.14,33.81
Ca43,81833.27,81833.27,84692.07,84692.06,50499.98,347.49,542.69,1712.36,2085.75,2140.92,2185.96,2171.28,2108.95,1919.13,2190.56,2151.77,2077.31,81833.27,81833.27,84692.07,84692.06,50499.98,295.80,440.41
Ca44,80677.56,81150.84,85233.57,84903.31,50499.98,716.79,848.85,1992.04,2374.14,2363.46,2377.52,2381.66,2335.41,2268.63,2534.96,2486.64,2393.27,81435.55,81056.19,84672.24,85497.80,50499.99,706.26,856.52
Sc45,433.49,436.08,41.70,42.02,33.00,5.76,4.60,7.04,7.23,6.93,6.84,6.89,6.92,6.62,6.97,7.22,7.01,443.52,436.60,41.71,42.30,33.00,5.53,4.56
Ti47,448.42,451.75,42.03,43.09,14099.99,7.57,37.38,110.86,266.10,220.66,223.54,220.15,214.06,160.25,229.58,183.93,226.11,461.30,444.44,40.92,42.01,14099.99,5.59,38.60
Ti49,443.53,446.55,40.28,39.48,14100.00,5.55,37.04,112.43,270.49,217.66,224.87,214.84,216.86,159.44,228.93,183.93,227.03,455.12,453.22,41.15,40.12,14099.99,4.89,37.16
V51,436.46,437.24,36.17,36.14,425.00,3.13,6.12,13.52,15.92,14.19,13.90,14.17,14.19,13.33,14.50,13.25,15.07,458.19,446.44,37.17,37.34,425.00,3.30,6.26
Cr53,495.63,486.45,41.17,41.92,17.00,168.93,321.95,32.90,9.06,8.37,8.52,9.78,8.25,7.97,8.29,6.92,8.37,484.15,470.32,38.76,40.02,17.00,163.72,306.41
Mn55,439.34,433.25,37.45,37.36,1550.00,1133.43,985.34,4007.22,4661.63,4622.55,4591.15,4599.29,4572.72,4631.42,4821.96,4484.91,4722.96,447.85,442.52,37.96,38.15,1550.00,1150.90,986.57
Co59,402.20,399.54,33.72,33.85,38.00,149.83,153.20,207.42,211.21,214.46,219.44,214.30,216.14,214.85,219.91,206.15,219.18,410.84,398.67,33.65,33.79,38.00,152.36,152.19
Ni60,474.39,465.03,38.08,37.64,13.00,3357.35,3393.59,256.28,207.15,213.78,203.63,217.01,214.69,211.17,210.57,204.27,206.30,489.21,479.71,39.37,39.83,13.00,3424.83,3461.45
Ni62,342.93,337.32,26.67,25.81,13.00,2419.04,2456.13,185.75,157.40,154.71,153.94,163.32,153.32,161.42,156.79,152.65,161.54,373.21,366.13,29.10,28.65,13.00,2687.06,2755.90
Cu63,518.50,514.93,41.26,41.80,21.00,0.939,4.88,0.730,0.960,0.894,1.080,0.962,0.835,0.800,0.891,0.983,0.898,517.36,500.34,42.09,42.18,21.00,1.144,4.61
Zn66,332.87,332.17,28.34,26.93,125.00,43.68,49.72,192.23,206.72,202.34,197.07,209.21,202.15,214.68,217.20,204.62,196.10,342.95,329.96,28.17,27.78,125.00,44.25,49.78
Zn67,273.10,277.41,22.29,23.09,125.00,33.85,38.48,148.14,163.59,156.72,152.63,161.32,162.31,160.94,165.71,153.59,154.06,283.27,271.11,23.28,23.06,125.00,33.98,37.44
Ga69,150.21,146.71,12.29,12.09,23.00,<0.0058,0.0276,0.0706,0.0732,0.0753,0.0810,0.0831,0.0828,0.0749,0.1213,0.0626,0.0764,157.99,149.81,12.66,12.49,23.00,0.0087,0.0322
