GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-05-04 EMP UPDATED windows reselected\run3.b
Created: Fri Sep 29 17:35:20 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08,30-01,30-02,30-03,30-04,30-05,30-06,30-07,30-08,30-09,30-10,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09
Li7,460.04,462.04,35.91,36.34,9.00,1.755,2.455,1.975,1.979,2.211,2.142,2.671,1.839,16.81,2.179,1.517,2.235,455.65,464.85,36.32,38.02,9.00,1.812,2.577
B11,73.31,75.60,11.72,11.60,6.00,6.54,6.09,5.25,4.84,4.86,4.64,4.64,4.62,4.51,4.44,4.51,4.68,88.87,91.71,12.88,13.09,6.00,6.10,5.73
Na23,97951.73,98816.04,97416.65,97985.51,24000.00,41.45,107.52,200.55,190.91,180.09,191.55,236.00,239.31,148.70,219.13,148.27,202.13,102462.60,104649.45,101369.32,104238.05,23999.99,42.11,111.83
Mg24,461.58,463.75,61.30,61.49,21499.99,338029.69,338905.22,336872.47,328178.34,336583.91,333980.59,337370.56,333228.94,334058.88,328990.72,335952.16,326102.94,444.49,459.04,61.11,60.47,21499.99,331848.00,329498.88
Mg25,455.86,458.37,57.29,58.58,21499.99,347487.50,342619.16,342329.06,334725.97,340375.91,339649.91,341302.56,337123.88,340686.69,329527.03,337918.94,330883.34,435.45,453.25,56.47,57.28,21499.99,337980.25,332998.41
Mg26,454.12,456.03,58.71,60.38,21499.99,340909.53,340518.28,342905.88,329706.50,335008.41,328255.72,335896.06,335850.72,335885.34,330434.50,337000.81,325621.75,433.90,443.31,56.55,58.55,21499.99,334698.72,329786.09
Al27,9370.29,9454.65,9806.48,9821.39,70899.98,67.19,128.89,100.09,101.91,116.36,115.73,113.56,138.44,121.40,120.44,75.99,75.37,9137.02,9123.26,9572.61,9531.53,70899.97,67.58,124.86
Si29,315922.03,313133.41,319616.66,319560.50,254299.89,193286.27,193286.27,196184.39,192304.64,192444.84,190060.92,191930.69,191369.75,191837.19,191463.23,191743.69,191182.77,312756.13,316655.81,317317.94,320820.91,254299.92,193286.23,193286.20
Si30,309836.50,311349.84,315088.31,315932.13,254299.89,198237.67,196143.72,189223.70,184557.56,189069.39,186124.88,187723.19,186163.95,187626.83,185216.73,185143.53,183562.00,301935.84,308078.78,310016.84,314647.84,254299.81,193467.75,194807.72
P31,419.57,427.95,52.57,53.17,1600.00,19.85,31.15,48.67,49.16,32.52,38.13,60.23,57.00,70.46,40.16,53.19,95.86,422.19,429.83,51.67,54.49,1600.00,16.57,29.70
Ca43,81905.45,81905.45,84692.06,84692.06,50499.98,375.36,559.19,510.68,506.82,433.39,458.44,548.88,558.39,965.11,494.01,693.14,680.72,81905.45,81905.45,84692.06,84692.06,50499.97,369.81,539.66
Ca44,84692.16,85179.93,86984.09,87926.09,50499.99,776.03,898.79,934.14,914.34,844.64,853.88,944.94,952.22,1376.65,872.33,1056.67,1015.31,83176.23,83629.98,86846.63,86595.70,50499.98,734.49,857.03
Sc45,411.17,410.80,40.99,41.50,33.00,7.57,6.32,5.44,5.37,5.37,5.40,5.56,5.47,6.01,5.29,5.43,5.54,414.14,416.82,40.47,40.80,33.00,6.78,5.69
Ti47,478.97,474.27,45.67,46.56,14099.99,8.71,40.69,156.55,147.72,99.98,136.80,92.91,101.93,132.66,133.80,104.17,88.02,463.54,464.27,42.85,42.99,14099.99,7.85,37.90
Ti49,469.58,467.48,42.59,42.18,14100.00,6.50,37.59,153.43,144.95,98.22,137.07,90.27,101.64,131.12,133.00,99.05,85.84,459.65,468.65,42.99,40.10,14099.99,6.88,38.32
V51,450.77,458.21,37.08,37.60,425.00,3.16,6.24,5.98,5.98,7.75,8.31,8.59,9.78,3.092,8.51,2.911,3.64,449.75,459.45,37.08,38.51,425.00,3.22,6.39
Cr53,488.56,489.18,40.27,40.53,17.00,168.83,321.59,774.07,771.39,1008.63,941.64,913.31,792.32,729.43,1037.82,870.23,928.60,478.58,485.89,40.91,42.47,17.00,164.25,325.17
Mn55,450.18,451.14,37.60,38.40,1550.00,1188.52,1042.50,1238.11,1190.31,1241.19,1165.24,1192.23,1164.57,1509.65,1195.60,1204.41,1300.65,437.65,444.69,36.79,37.89,1550.00,1147.63,1021.77
Co59,411.27,417.25,33.63,33.96,38.00,156.29,162.48,184.15,176.80,168.08,165.53,171.26,169.60,163.74,171.13,158.21,159.74,403.77,413.15,33.51,34.62,38.00,154.64,162.32
Ni60,479.42,483.15,39.56,39.56,13.00,3494.40,3683.14,4035.00,3930.73,3750.69,3721.84,3849.45,3738.08,3289.53,3687.52,3964.37,3792.69,465.22,484.65,38.57,40.13,13.00,3433.96,3626.74
Ni62,350.35,360.19,29.61,29.98,13.00,2573.75,2667.85,2980.52,2891.86,2791.39,2782.62,2844.45,2810.54,2413.09,2693.32,2863.05,2655.05,337.53,341.33,26.48,28.93,13.00,2455.58,2560.53
Cu63,666.33,616.23,46.21,43.35,21.00,0.943,4.50,6.32,5.60,6.76,6.24,5.13,5.39,7.17,5.10,2.446,1.940,253.36,253.97,19.49,19.76,21.00,0.456,2.092
Zn66,335.65,342.83,27.14,27.23,125.00,42.42,51.13,63.73,61.61,55.11,53.86,53.64,54.40,56.10,51.43,41.06,47.26,286.54,290.00,22.97,23.12,125.00,35.89,42.70
Zn67,281.46,289.47,23.57,23.20,125.00,33.87,40.28,50.69,49.33,44.79,44.29,43.45,44.63,46.76,42.01,34.69,37.58,248.63,251.46,20.91,21.11,125.00,29.97,35.56
Ga69,149.76,152.10,12.28,12.34,23.00,0.0145,0.0358,0.0672,0.0677,0.0650,0.0660,0.0603,0.0757,0.0670,0.0669,0.0450,0.0360,149.59,154.56,12.33,12.86,23.00,0.0103,0.0365
Sr88,554.86,558.25,84.32,84.53,342.00,<0.0076,0.0053,0.0220,0.0212,0.0218,0.0270,0.0195,0.0254,0.594,0.0230,0.0414,0.0249,537.30,538.07,81.61,82.15,342.00,<0.0037,0.0070
Y89,558.49,560.47,45.84,45.74,35.00,0.0489,0.0530,0.0195,0.0157,0.0128,0.0133,0.0085,0.0116,0.0308,0.0114,0.0249,0.0113,535.11,529.17,43.67,43.43,35.00,0.0376,0.0636
Zr90,496.30,493.45,42.72,43.59,184.00,0.068,0.110,0.286,0.158,0.347,0.1053,0.738,0.0707,0.451,0.1318,0.0875,0.071,498.42,492.29,42.91,42.27,184.00,0.119,0.0327
