GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 5.b
Created: Fri Sep 29 18:43:11 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,10-10,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5
Li7,485.90,476.56,39.81,40.64,9.77,1.895,2.434,4.18,3.66,3.68,3.57,3.50,3.57,3.39,3.65,3.91,4.77,463.87,475.06,40.25,40.14,9.56,1.785,2.44
B11,289.57,277.66,34.71,33.81,12.24,10.46,10.10,31.53,25.75,23.21,23.61,19.50,18.29,16.30,15.77,19.48,15.15,253.12,249.47,35.37,33.48,15.17,14.03,12.76
Na23,105532.26,100463.78,101656.25,101568.52,23885.31,40.16,101.75,49.93,54.26,53.41,48.57,55.20,56.22,54.22,56.64,47.09,54.63,99795.43,102185.12,102336.60,101060.66,23680.94,39.40,101.13
Mg24,508.05,497.19,67.71,68.28,24005.79,354918.38,354912.06,286267.72,296884.63,288160.22,277536.00,285347.09,288871.03,274932.66,279926.44,288384.22,283250.91,496.76,491.93,68.69,67.43,24109.37,352644.50,348347.13
Mg25,532.19,528.86,69.63,66.20,25029.94,391229.28,385818.59,312453.88,317172.75,315155.13,303705.44,308595.13,307512.63,305688.16,307614.84,312061.25,313430.50,523.54,525.85,69.12,67.17,24921.88,386721.41,378303.66
Mg26,520.55,519.82,67.89,68.04,24511.81,377973.59,376860.59,303987.59,309086.03,306867.69,294698.78,303129.53,304435.28,293446.75,297487.03,301502.50,300463.41,504.13,504.02,69.66,66.66,24366.69,374212.25,362850.16
Al27,10181.31,9948.29,10703.81,10784.91,77088.57,69.66,135.89,129.43,128.90,121.50,127.10,119.75,114.35,118.81,124.57,137.91,121.84,10126.19,10079.83,10802.38,10693.12,76197.16,66.35,131.92
Si29,332670.16,321062.31,334987.22,339232.66,264454.28,193286.19,193286.20,182628.58,183329.73,184077.64,182581.83,183750.44,184077.63,183703.67,184124.36,183142.75,183002.52,322619.78,320144.69,339337.28,335052.47,264059.84,193286.16,193286.14
Si30,322209.19,318841.91,336670.00,337249.44,265745.06,203010.42,201386.80,183209.28,184199.11,184568.39,181941.16,178495.58,179687.73,177954.77,179841.02,193970.67,182220.38,314990.78,311127.50,341015.47,333846.09,259358.36,202802.66,198439.44
P31,399.17,375.85,45.38,48.01,1309.64,16.17,26.02,112.68,141.10,136.68,135.19,128.85,126.98,142.40,159.93,105.06,116.13,377.62,376.02,46.76,46.41,1294.00,17.75,26.89
Ca43,81905.44,81905.44,85049.41,85049.41,51029.64,299.53,453.22,1286.62,1165.30,1229.33,1328.85,1192.59,1215.17,1150.00,1192.08,1566.61,1312.25,81905.44,81905.45,85049.41,85049.41,51029.65,353.64,518.26
Ca44,81468.36,80996.15,84775.26,85362.91,50780.26,682.54,827.64,1684.04,1576.31,1561.56,1680.41,1554.35,1575.51,1459.87,1478.85,1753.34,1595.53,82367.09,81743.32,84891.48,85165.49,50503.38,719.24,821.53
Sc45,422.44,415.23,39.69,40.12,31.56,5.07,4.17,6.61,6.29,6.25,6.44,6.14,5.93,5.97,5.96,6.61,6.16,427.15,426.45,40.20,39.65,31.51,5.33,4.28
Ti47,504.43,483.24,42.74,45.43,15213.66,5.81,39.35,140.32,142.13,134.92,156.11,138.91,124.42,136.34,149.90,148.07,127.63,460.30,459.94,44.62,43.41,14070.91,6.04,35.01
Ti49,495.23,492.62,44.64,43.24,15425.63,5.29,39.45,143.61,147.22,136.55,162.17,144.85,130.94,145.59,157.30,154.47,135.89,495.92,491.45,45.20,43.05,15282.72,6.24,39.58
V51,478.73,465.10,38.79,38.80,443.22,3.31,6.29,7.13,8.18,7.85,7.27,7.78,7.37,8.08,8.53,6.97,7.56,456.43,462.43,38.99,38.65,433.54,3.21,6.19
Cr53,447.25,432.80,35.97,36.84,15.62,143.71,270.63,49.71,38.80,37.37,44.61,39.86,51.70,37.93,34.68,41.85,58.10,418.62,415.21,37.18,35.76,14.64,134.74,256.49
Mn55,458.04,450.82,38.67,38.71,1575.88,1120.59,966.59,3034.83,3034.52,3015.84,2964.91,3052.89,3087.72,2945.83,3009.82,2762.24,2929.72,449.02,448.30,39.00,38.46,1570.55,1119.36,961.01
Co59,435.26,420.99,35.41,35.58,40.13,154.19,154.45,211.85,223.39,220.09,205.94,218.19,221.73,215.21,214.58,194.91,216.09,424.63,431.35,35.76,35.28,39.69,154.33,154.87
Ni60,485.65,473.70,38.67,38.89,12.76,3218.85,3256.35,257.80,231.83,233.10,210.34,229.93,281.33,237.05,221.02,232.12,315.37,479.27,469.82,39.76,38.03,12.46,3207.43,3328.18
Ni62,518.11,500.50,39.30,38.28,17.14,3350.72,3410.47,266.14,241.35,240.44,218.85,235.90,286.02,234.43,219.48,237.39,313.14,470.44,461.64,38.52,39.07,15.29,3130.58,3178.30
Cu63,467.36,450.24,37.74,37.79,18.86,0.987,3.99,0.232,0.270,0.268,0.248,0.685,0.314,0.298,0.250,0.218,0.173,460.42,452.61,39.15,36.75,18.62,0.970,4.47
Zn66,477.96,459.81,39.40,38.74,175.80,60.06,68.20,188.22,176.89,179.13,184.43,193.66,193.83,186.60,183.65,173.03,188.78,471.88,459.20,39.66,38.66,181.51,59.46,71.22
Zn67,482.38,459.90,39.45,38.84,211.68,54.96,61.55,172.03,159.08,164.46,171.81,170.45,166.55,170.24,169.13,151.29,168.79,447.16,437.90,37.05,41.04,209.52,49.84,61.00
Ga69,468.11,441.72,37.23,36.53,67.49,0.0255,0.0951,0.172,0.1611,0.1651,0.158,0.1583,0.1565,0.181,0.190,0.177,0.145,447.88,438.89,37.29,36.60,70.64,0.0363,0.108
Sr88,514.62,511.92,77.80,79.09,332.71,<0.0122,0.0055,0.0095,0.0108,0.0098,0.0058,0.0230,0.0135,0.0107,0.0059,0.0114,0.0064,507.18,507.03,78.12,78.60,326.24,<0.0145,<0.0095
Y89,462.97,448.16,38.43,38.18,28.84,0.0323,0.0432,0.1153,0.1095,0.1024,0.1171,0.0982,0.1105,0.0912,0.1087,0.119,0.1181,454.02,457.30,37.99,38.57,28.13,0.0346,0.0279
Zr90,444.49,435.41,37.90,37.90,160.40,0.076,0.0595,0.0639,0.0489,0.0554,0.0583,0.0428,0.0471,0.0513,0.0655,0.074,0.080,435.29,439.66,37.78,38.00,157.44,0.070,0.0326
Nb93,470.60,460.19,38.83,38.95,12.87,0.0081,<0.0057,<0.0027,<0.0036,<0.00188,<0.0037,0.0038,0.00248,<0.0041,<0.0038,<0.0063,<0.0060,456.67,459.24,39.24,38.62,12.84,<0.0091,<0.0152
Ba135,452.48,443.37,38.69,39.96,681.86,<0.072,<0.114,<0.035,<0.033,<0.058,0.0112,<0.038,<0.042,<0.033,<0.034,<0.066,<0.059,442.78,437.52,39.81,38.85,675.69,<0.073,0.062
Ba137,445.64,440.58,39.88,38.68,674.07,<0.082,<0.029,<0.028,<0.0189,0.0024,0.0130,<0.0128,<0.0279,<0.0136,0.0070,<0.027,0.0136,443.22,442.95,39.38,39.27,678.30,<0.053,<0.093
