GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run2.b
Created: Fri Sep 29 18:28:54 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-13,STD610-14,612-13,612-14,BCR-2g-07,SCO-1-07,SCO-2-07,26-01,26-02,26-03,26-04,26-05,26-06,26-07,26-08,26-09,26-10,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08
Li7,487.69,492.78,40.76,39.64,9.79,1.901,2.612,1.986,2.021,2.111,1.915,1.995,1.969,2.108,2.145,2.033,2.402,510.19,512.32,39.98,40.45,10.08,1.846,2.582
B11,171.74,173.17,34.00,34.63,19.64,22.22,21.19,16.47,18.73,16.64,17.50,15.38,16.94,15.11,13.79,19.38,15.13,211.03,219.07,34.34,34.24,17.95,18.47,17.37
Na23,98921.47,100015.46,102641.11,100612.55,25032.63,40.12,105.43,78.02,81.24,83.47,78.67,81.02,79.54,85.04,83.26,65.75,71.08,101833.37,102594.30,101431.50,101885.94,25077.05,40.66,105.48
Mg24,495.93,505.22,67.83,68.19,24641.96,358345.53,363931.28,325405.66,333381.84,333376.63,324552.41,330291.19,324027.16,330078.97,322506.66,312148.63,323642.47,506.69,510.01,67.82,68.16,24024.62,354876.34,355895.81
Mg25,506.17,519.56,67.66,68.42,25704.13,381739.97,382929.47,341360.72,349856.22,351199.56,349442.31,351487.03,353177.50,346562.41,349922.75,338069.25,339854.97,527.69,532.58,67.10,68.87,25528.80,389192.63,383732.63
Mg26,500.90,517.43,68.55,67.48,25683.49,372842.66,380405.66,337700.75,344200.56,349182.47,336668.38,339206.00,337555.09,340723.59,341880.44,326830.97,333964.28,514.56,517.50,67.01,69.02,24765.72,369601.78,368869.44
Al27,10256.57,10240.44,10708.78,10782.56,80032.92,69.92,134.25,58.15,62.66,63.24,69.23,65.87,72.89,65.21,60.22,63.99,55.94,10147.55,10265.45,10720.12,10764.30,78395.17,70.00,134.52
Si29,324856.19,324801.44,340206.25,333800.19,274081.88,193286.19,193286.19,187770.39,188565.05,188331.33,189312.95,187256.20,188705.27,187770.38,187723.66,186975.73,187209.45,331200.69,328540.59,337028.47,337240.50,270262.44,193286.13,193286.13
Si30,320049.69,322952.94,337174.91,336945.94,279404.09,201163.63,205208.83,184664.38,196304.14,192510.81,191144.09,188699.03,191378.55,186745.72,189250.83,190159.70,185349.02,328119.59,330309.22,336283.94,337786.06,274076.44,201129.69,199257.28
P31,346.83,350.34,46.24,47.00,1366.96,16.55,27.06,34.33,54.36,47.90,38.70,53.98,44.40,58.85,61.17,50.97,66.88,366.99,374.80,46.29,46.88,1421.46,16.36,25.92
Ca43,81905.44,81905.44,85049.41,85049.41,51029.64,326.49,481.60,1033.02,1170.63,1681.52,1093.20,1074.85,1058.97,972.57,947.25,1994.26,1633.38,81905.45,81905.45,85049.41,85049.41,51029.65,358.02,532.97
Ca44,81237.87,82354.96,84937.23,85202.16,50112.85,735.42,867.90,1388.04,1536.55,2015.11,1472.63,1423.35,1415.43,1370.66,1302.71,2386.89,2003.59,81633.99,82255.07,84506.62,85578.57,49549.26,718.03,831.42
Sc45,361.65,361.58,39.80,40.02,32.56,8.12,7.18,6.72,6.97,7.69,6.98,6.84,6.91,6.65,6.49,8.89,8.58,391.13,392.72,39.55,40.24,32.36,7.02,5.85
Ti47,429.61,435.82,43.75,44.30,13519.89,7.97,35.89,110.40,112.11,129.02,129.09,122.18,115.82,107.18,95.29,149.51,135.39,451.16,448.43,43.53,44.44,13626.06,7.98,37.12
Ti49,482.35,491.38,44.23,43.73,15242.60,6.85,38.54,121.00,121.76,143.24,137.24,134.58,123.49,113.13,104.09,160.65,146.31,486.50,484.64,44.37,43.66,14799.38,6.47,37.17
V51,452.03,448.76,39.27,38.33,441.59,3.21,6.25,2.682,2.750,1.749,2.968,2.863,2.860,2.808,2.651,1.507,1.943,465.21,473.43,38.52,39.10,445.25,3.12,6.14
Cr53,403.64,409.32,37.28,35.53,16.27,143.09,275.94,136.01,134.15,120.79,129.09,137.00,164.01,164.15,158.09,104.75,168.74,434.98,436.98,36.25,36.60,15.50,145.45,276.02
Mn55,440.84,445.74,38.66,38.78,1624.03,1142.60,1014.02,1999.59,2007.81,2304.40,2022.60,2046.06,1927.63,1992.94,1981.88,2038.92,2215.30,453.49,455.65,38.24,39.16,1594.50,1151.57,1012.18
Co59,408.16,414.43,35.49,35.52,40.54,155.08,162.39,179.17,185.35,174.90,190.45,188.88,181.73,182.55,187.67,170.29,173.52,427.32,434.69,35.27,35.72,40.33,156.48,163.29
Ni60,445.61,444.58,38.94,38.66,13.53,3198.96,3413.85,1538.14,1560.79,1198.80,1518.88,1543.01,1708.88,1733.49,1735.21,900.09,1085.07,465.08,469.99,38.75,38.86,12.89,3268.17,3455.24
Ni62,440.00,454.15,38.90,38.69,16.05,3213.56,3421.73,1543.79,1601.94,1190.05,1567.16,1560.02,1753.82,1741.17,1717.27,883.65,1120.95,455.33,470.22,39.02,38.60,17.38,3251.49,3385.74
Cu63,437.48,438.45,38.20,37.40,19.21,0.863,4.40,3.000,3.17,2.369,3.28,3.29,2.914,3.05,3.12,2.301,2.541,454.67,459.55,37.57,38.05,19.92,0.898,4.57
Zn66,458.20,471.90,39.22,38.99,189.76,59.48,69.61,106.51,109.07,107.14,111.92,107.85,105.19,109.41,106.19,98.69,103.37,467.84,483.50,38.84,39.36,183.65,59.14,71.99
Zn67,454.90,460.76,40.56,37.66,223.01,55.43,63.95,100.23,99.48,96.85,103.25,99.59,95.57,101.06,99.67,89.29,93.23,459.12,476.04,39.35,38.94,212.81,54.74,65.89
Ga69,429.71,429.83,37.30,36.49,74.22,0.0466,0.1008,0.1145,0.0956,0.1082,0.1137,0.1101,0.1038,0.1180,0.1154,0.0796,0.202,445.70,453.19,36.79,37.03,69.50,0.0419,0.1033
