GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 4.b
Created: Fri Sep 29 18:42:16 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3,6-01,6-02,6-03,6-04,6-05,6-06,6-07,6-08,6-09,6-10,STD610-9,STD610-10,612-9,612-10,BCR-2G-4,SCO-1-4,SCO-2-4
Li7,481.87,473.24,40.22,40.20,9.82,1.664,2.612,6.51,7.81,7.56,7.22,7.30,7.41,7.58,8.55,6.85,8.24,483.93,475.17,39.84,40.56,9.79,1.890,2.404
B11,268.18,264.56,34.55,34.03,13.07,11.73,11.18,8.29,8.23,7.94,7.97,7.80,7.52,7.19,7.57,8.30,7.40,280.84,272.58,34.58,34.05,12.47,10.77,10.52
Na23,102747.84,102640.88,102364.06,100889.95,24523.14,38.40,98.72,44.18,60.91,59.00,56.73,64.58,58.99,58.58,107.35,55.28,65.81,105130.14,100164.03,101751.07,101561.66,23890.41,39.84,101.40
Mg24,497.17,502.88,68.38,67.62,24674.24,358546.47,352629.13,233921.77,224604.30,223016.34,218828.58,222819.00,216556.64,218189.56,223679.33,221650.31,220290.14,506.65,496.67,67.81,68.21,24123.34,357552.25,355339.41
Mg25,510.51,518.76,70.00,65.89,24918.35,378144.34,374606.41,253817.73,234186.27,238763.84,234467.44,240583.75,238279.42,237305.95,236025.27,241093.44,243651.25,531.41,530.41,70.40,65.89,25459.94,400097.72,393299.56
Mg26,517.72,518.09,68.90,67.08,24776.12,371228.19,368985.41,251146.50,230703.14,233675.81,234947.39,233535.47,230979.92,231252.00,229705.50,234045.00,234639.45,512.14,518.40,67.75,68.29,24631.85,380736.50,378341.19
Al27,9950.27,10056.54,10760.93,10728.79,79749.59,71.76,136.12,121.99,135.84,124.83,121.21,160.43,120.27,107.20,335.50,114.28,139.48,10097.70,9887.25,10690.42,10797.49,77150.30,69.86,135.79
Si29,324742.69,328420.00,336496.81,337735.38,273409.13,193286.17,193286.17,179076.02,177253.00,175990.92,175944.17,176832.33,177112.78,175383.25,176177.89,176131.14,177299.75,331547.47,320323.00,334831.97,339215.06,264877.25,193286.17,193286.17
Si30,319015.19,314844.09,337410.34,336699.97,272586.13,200138.22,199316.75,168408.22,171638.72,169429.61,171209.83,168840.88,169130.78,174763.84,176685.97,178528.50,171839.61,319724.28,317102.53,336357.09,337737.63,266380.75,204320.81,202395.00
P31,397.05,377.43,44.66,48.90,1352.80,15.96,22.60,82.43,171.38,151.53,124.37,119.42,137.19,108.48,217.88,103.84,174.05,391.96,369.96,45.14,47.94,1298.94,15.69,26.32
Ca43,81833.27,81833.27,85049.43,85049.43,51029.66,327.22,512.01,1618.59,1975.26,2031.34,2077.97,2067.90,2012.30,1834.62,2098.01,2064.70,1996.97,81833.27,81833.27,85049.43,85049.43,51029.66,287.53,428.89
Ca44,80332.42,80802.43,85224.45,84892.95,50808.26,672.03,797.32,1874.59,2238.30,2232.38,2249.83,2257.93,2218.19,2158.75,2416.65,2374.97,2290.03,81066.13,80687.24,84641.17,85465.11,50795.04,683.30,830.21
Sc45,411.78,414.14,39.76,40.06,31.65,5.15,4.11,6.31,6.49,6.23,6.16,6.22,6.26,6.00,6.32,6.56,6.38,419.69,413.04,39.62,40.17,31.52,5.08,4.20
Ti47,460.41,464.49,43.45,44.62,14712.01,7.37,36.52,108.65,261.66,217.69,221.27,218.64,213.30,160.21,230.30,185.12,228.33,485.43,468.39,43.37,44.60,15083.61,5.76,39.91
Ti49,488.28,491.09,44.44,43.51,15620.47,5.72,38.23,116.14,279.66,225.23,232.89,222.68,224.96,165.53,237.88,191.28,236.30,492.25,489.68,44.61,43.44,15345.80,5.12,38.90
V51,468.46,468.49,38.85,38.75,457.75,3.14,6.13,13.55,15.95,14.22,13.94,14.20,14.23,13.37,14.55,13.29,15.11,477.34,464.26,38.75,38.85,444.22,3.32,6.28
