GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\Elkhaligi_Momo_LA_EMP UPdated- non zip files may have been corrupted\2017-04-20 EMP UPDATED\run2.b
Created: Mon Aug 21 12:01:05 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Y89,503.93,501.72,41.33,41.04,30.90,0.0392,0.0549,0.224,0.0034,<0.0032,<0.0045,0.0036,0.0153,0.0054,0.0045,0.0127,0.0024,507.07,496.71,41.14,41.28,31.26,0.0323,0.0520
Zr90,502.93,498.23,42.35,41.80,173.93,0.046,0.0352,0.103,0.303,0.325,0.245,0.360,6.89,0.305,0.330,0.164,0.143,493.12,486.72,42.16,42.04,174.25,0.067,0.0432
Nb93,505.58,503.47,42.17,42.47,13.52,<0.0079,0.0060,0.1420,0.223,0.226,0.194,0.205,0.227,0.221,0.207,0.0137,0.1125,504.45,500.44,42.11,42.51,13.71,<0.0076,<0.0059
Ba135,429.10,431.17,38.86,38.73,649.37,<0.119,0.024,0.216,<0.049,0.0149,<0.043,<0.0207,<0.029,<0.029,<0.029,<0.0200,<0.034,438.53,444.60,38.65,38.98,682.04,<0.053,<0.100
Ba137,416.70,420.60,38.44,39.31,640.00,<0.030,0.0135,0.351,<0.033,<0.0176,<0.035,<0.0118,0.0163,<0.0118,<0.0261,<0.0162,<0.0252,441.65,443.31,38.01,39.72,684.29,<0.043,<0.041
La139,435.10,432.49,35.60,36.07,23.07,0.0023,<0.0077,0.0114,0.00063,0.00164,<0.0038,0.00121,0.0103,<0.00253,<0.0031,0.00113,<0.00240,432.38,429.17,35.56,36.07,23.16,<0.0078,0.0035
Ce140,461.07,461.55,38.97,39.50,51.06,<0.0054,<0.0062,0.1194,<0.00268,<0.0041,<0.0038,<0.00206,0.0145,<0.00204,0.00167,0.00251,<0.00193,462.85,458.20,38.86,39.59,52.05,<0.0063,0.00057
Gd157,446.00,445.97,37.24,37.62,5.71,<0.044,<0.036,0.0212,<0.0090,<0.0238,<0.0254,<0.0086,0.0087,<0.0121,<0.0085,<0.0118,<0.0116,449.83,445.50,36.98,37.88,5.70,<0.044,<0.0209
Yb172,485.39,484.00,40.97,39.96,3.35,0.0277,<0.0191,0.123,0.00096,<0.0083,<0.0165,0.0074,0.0058,<0.0110,<0.0109,<0.0093,<0.0105,486.16,476.91,40.34,40.72,3.14,<0.0201,0.0179

