GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 3.b
Created: Fri Sep 29 17:48:57 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Li7,455.80,449.69,38.39,38.04,9.00,1.719,2.453,5.62,5.54,5.89,4.55,4.51,5.02,5.20,5.02,5.32,5.95,450.44,441.51,37.13,37.07,9.00,1.661,2.615
B11,116.00,116.11,15.84,15.32,6.00,6.02,6.02,4.71,4.69,4.29,4.11,4.08,4.65,4.07,4.05,3.98,4.20,122.72,121.34,15.83,15.59,6.00,5.77,5.56
Na23,103464.63,102636.43,102834.02,101998.54,23999.99,40.73,103.85,63.41,64.08,69.45,51.15,77.88,54.75,59.52,59.08,64.46,68.34,102374.92,102132.26,100913.70,99377.68,23999.98,40.43,103.43
Mg24,458.25,460.07,67.16,61.88,21499.99,337460.75,333775.75,218583.70,221739.64,219864.28,228443.86,224825.58,220679.84,218186.67,218968.86,221126.03,231924.25,441.49,445.83,59.99,59.47,21499.99,336533.38,332525.41
Mg25,460.36,467.87,69.53,61.06,21499.99,351703.78,351261.31,225749.84,230815.30,229343.75,242803.52,236133.94,230863.64,228977.02,231639.78,227468.41,238709.78,453.47,458.93,61.05,56.98,21499.99,350699.53,345473.59
Mg26,457.00,456.26,66.08,62.52,21499.99,346915.97,345674.88,226066.42,225203.14,225670.22,239588.02,234282.66,228000.75,226524.05,230875.38,226964.89,237641.11,452.40,456.37,60.49,58.88,21499.99,347154.09,345394.66
Al27,9613.58,9546.80,10257.47,10039.34,70899.98,68.37,134.21,115.99,117.33,129.00,123.98,163.93,121.01,134.38,108.81,120.04,123.17,9045.92,9122.67,9675.17,9635.62,70899.98,68.78,131.22
Si29,321017.59,316172.09,330395.16,323722.00,254299.92,193286.11,193286.09,179075.95,177206.22,178094.38,180291.33,178842.25,179543.44,178047.61,177626.92,178935.78,186975.72,307325.44,310278.13,315421.22,315790.59,254299.89,193286.17,193286.17
Si30,310297.47,311924.47,333766.81,328960.69,254299.89,203817.45,200645.00,168026.00,173875.50,174354.91,177970.30,172630.09,178385.38,171728.88,173450.56,174961.80,182279.92,303746.25,299127.13,318384.06,316940.13,254299.89,200950.86,200297.33
P31,483.06,461.33,55.39,55.67,1600.00,20.09,34.53,214.60,213.45,247.38,56.19,47.07,129.05,147.53,93.08,168.51,188.98,476.43,452.92,54.16,57.68,1600.00,20.30,29.84
Ca43,81905.45,81905.45,84692.06,84692.06,50499.98,278.07,437.03,1851.68,1888.72,1829.02,1627.16,1640.02,1900.36,1621.04,1723.06,1853.27,1834.47,81905.44,81905.44,84692.05,84692.04,50499.97,335.52,546.35
Ca44,82727.19,82977.80,86594.83,86086.75,50499.98,732.45,844.16,2159.35,2199.74,2132.31,1950.70,1945.03,2216.11,1946.85,1998.39,2123.69,2244.20,81373.33,81719.70,85405.04,84977.63,50499.98,721.18,854.97
Sc45,449.16,449.61,42.68,42.27,33.00,5.81,4.78,7.91,7.97,7.83,7.42,7.27,8.11,7.75,7.29,7.63,8.09,438.13,439.85,41.80,42.23,33.00,5.78,4.66
Ti47,465.83,465.42,43.80,43.71,14099.99,5.84,41.22,203.81,202.48,253.67,109.32,137.64,170.02,167.67,153.82,217.21,219.26,454.90,456.91,41.89,43.00,14099.99,7.63,37.80
Ti49,472.03,467.56,41.19,38.19,14099.99,6.05,39.61,203.84,202.32,253.22,108.37,134.98,166.91,165.85,149.09,217.10,218.20,449.43,451.31,40.03,39.50,14099.99,5.51,37.25
V51,466.17,451.61,38.38,37.49,425.00,3.30,6.17,18.09,17.77,20.81,17.29,15.79,17.11,16.99,15.49,17.54,18.66,444.67,443.55,36.54,36.22,425.00,3.12,6.07
Cr53,484.22,472.53,39.34,40.40,17.00,165.99,316.82,22.29,23.70,26.31,57.70,65.52,23.14,31.21,25.42,21.13,21.00,492.89,485.07,40.77,41.81,17.00,170.89,329.68
Mn55,459.88,452.32,39.19,38.82,1550.00,1140.27,996.96,3997.30,3995.16,3975.92,3736.22,3774.91,3933.63,3925.57,3993.84,4079.86,4370.51,445.46,437.89,37.58,37.42,1550.00,1134.89,987.33
Co59,431.99,426.95,35.59,35.36,38.00,155.70,158.85,225.02,224.46,233.64,219.72,222.28,220.12,227.62,236.36,231.18,245.97,408.43,404.59,33.93,33.96,38.00,150.54,155.12
Ni60,507.14,495.87,43.45,41.32,13.00,3445.18,3572.85,348.75,360.69,366.14,470.57,507.05,360.28,356.93,373.36,362.83,378.38,486.01,474.27,38.53,38.10,13.00,3373.93,3433.29
Ni62,417.21,411.65,36.41,34.57,13.00,2803.19,2806.28,277.30,285.86,287.73,366.72,388.16,280.44,276.37,289.41,274.63,276.36,369.58,358.12,27.84,26.28,13.00,2426.89,2461.95
Cu63,529.79,530.99,49.19,42.63,21.00,1.015,5.10,1.109,1.316,1.117,1.131,6.94,1.002,1.052,1.007,1.176,1.116,522.63,518.15,41.42,41.77,21.00,0.941,5.02
Zn66,344.03,343.88,31.26,29.46,125.00,43.41,50.20,196.02,194.93,198.00,189.82,198.18,195.02,191.81,198.50,199.30,209.19,337.04,335.43,28.08,26.70,125.00,43.80,49.85
Zn67,287.37,282.17,25.51,24.45,125.00,33.33,39.22,147.43,149.58,151.91,144.88,151.34,151.42,150.41,149.99,153.02,163.98,277.36,281.21,22.47,23.30,125.00,34.90,38.53
Ga69,151.26,148.17,12.29,12.15,23.00,0.0102,0.0408,0.0744,0.0643,0.0740,0.0754,0.0991,0.0659,0.0803,0.0720,0.0787,0.0812,151.92,148.02,12.29,12.12,23.00,<0.0058,0.0257
Sr88,538.87,537.98,83.87,82.06,342.00,<0.0063,0.0067,0.0305,0.0302,0.0642,0.0325,0.611,0.0239,0.0250,0.0302,0.0243,0.0153,539.20,536.21,81.80,80.15,342.00,<0.0174,0.0081
Y89,577.56,573.95,48.69,47.53,35.00,0.0406,0.0520,0.465,0.464,0.442,0.413,0.390,0.493,0.420,0.404,0.497,0.507,557.83,559.34,46.60,45.85,35.00,0.0364,0.0453
Zr90,529.94,530.53,49.79,46.38,184.00,0.060,0.037,0.221,0.205,0.234,0.403,0.407,0.130,0.127,0.157,0.209,0.221,501.82,508.91,44.00,42.91,184.00,0.060,<0.033
