GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Yb172,453.84,457.54,39.26,39.11,3.13,0.0184,<0.0225,<0.0153,<0.0233,<0.0196,<0.0155,<0.0159,<0.0158,0.0129,0.0111,<0.0237,0.0148,471.91,460.95,39.59,38.84,-1.14,0.0266,<0.0242,3.22

GLITTER!: 1 sigma error.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,22.52,22.99,1.78,1.87,0.45,0.077,0.10,0.067,0.079,0.074,0.066,0.074,0.076,0.079,0.091,0.077,0.077,30.47,32.18,2.53,2.74,17.98,0.098,0.14,0.72
B11,7.53,7.70,1.08,1.09,0.51,0.47,0.44,0.38,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.33,8.19,8.38,1.11,1.12,436.07,0.45,0.43,0.49
Na23,3923.94,3992.18,3854.30,3956.31,915.23,1.26,3.33,3.24,3.40,3.51,3.80,3.37,3.43,3.53,3.65,2.57,3.37,4850.24,5026.07,5007.32,5335.52,11906.09,1.46,3.85,1315.93
Mg24,17.23,17.84,2.39,2.37,847.46,11267.20,11253.88,11076.69,11304.38,11109.67,11239.24,11241.78,11306.00,11534.37,11521.15,11515.94,11835.85,19.32,20.04,2.71,2.82,1535.38,12916.67,13131.69,1052.91
Mg25,16.70,17.41,2.23,2.27,833.61,12115.42,11981.02,11511.23,11945.59,11796.82,11928.64,11679.23,11804.27,11875.89,11850.85,11832.71,12226.30,17.04,17.62,2.37,2.41,982.67,13098.35,13045.34,890.88
Mg26,18.77,19.19,2.50,2.59,939.62,12551.99,12455.98,12232.30,12551.42,12472.12,12738.03,12420.90,12686.59,12769.59,13034.38,12866.98,13328.21,22.21,22.92,3.11,3.22,614.36,15281.67,15423.82,1265.92
Al27,362.69,363.23,382.60,381.69,2868.31,2.87,5.34,7.62,6.11,6.33,7.08,7.46,6.90,6.91,6.84,2.57,9.48,396.34,390.70,423.06,418.02,4490.76,4.02,7.66,3249.26
Si29,15104.28,15257.01,15320.89,15480.39,12338.48,6113.58,6113.49,6033.04,6228.17,6033.07,6022.70,6015.31,6016.76,5959.26,5972.61,5983.63,6024.16,15980.68,16155.43,16390.15,16944.60,5775.35,6113.59,6113.52,13359.08
Si30,14237.53,14549.16,14658.45,14888.78,12113.97,6247.65,6286.84,5751.74,6125.95,6012.65,5925.14,5938.79,6007.65,6041.75,5961.54,5874.37,6080.37,15402.75,15498.85,15994.09,16538.54,51498.02,6378.88,6443.24,13171.63
P31,30.82,31.32,3.84,4.07,117.48,1.00,1.39,2.66,3.10,4.03,1.74,3.91,3.14,3.05,4.59,3.44,3.66,38.69,38.64,4.77,5.21,328.06,1.27,1.88,161.82
Ca43,2601.36,2601.67,2701.76,2702.28,1630.58,20.49,23.76,57.48,62.06,62.38,50.17,61.23,59.93,65.84,56.17,66.96,62.02,2601.27,2601.41,2702.13,2702.53,10348.89,22.13,25.08,1631.00
Ca44,2552.96,2571.45,2682.62,2678.88,1577.10,24.55,28.72,67.13,73.50,74.23,62.28,72.55,72.72,77.90,68.34,78.64,76.65,2618.69,2562.38,2719.80,2706.07,4828.69,30.43,36.95,1623.73
Sc45,13.47,13.56,1.33,1.34,1.10,0.25,0.21,0.25,0.26,0.26,0.24,0.27,0.27,0.28,0.28,0.29,0.30,15.29,14.99,1.51,1.50,11.23,0.33,0.29,1.35
Ti47,14.96,15.02,1.48,1.49,458.87,0.35,1.26,2.52,2.17,2.11,1.86,2.32,2.09,2.36,2.08,2.13,2.64,14.87,14.51,1.49,1.50,671.24,0.36,1.36,455.66
Ti49,23.24,23.65,2.26,2.12,723.06,0.46,2.10,4.31,3.73,3.65,3.39,4.29,4.01,4.60,4.11,4.15,5.65,32.46,32.71,3.09,3.23,924.58,0.55,3.28,1228.77
V51,19.79,20.17,1.62,1.69,18.73,0.11,0.22,0.20,0.19,0.19,0.15,0.21,0.20,0.20,0.19,0.20,0.24,25.53,26.63,2.21,2.37,26.71,0.14,0.27,28.42
Cr53,15.80,16.02,1.40,1.44,0.64,4.47,8.74,19.15,17.07,18.74,20.63,18.39,18.19,15.97,16.55,15.01,20.53,19.26,19.91,1.76,1.85,85.79,5.24,10.06,0.86
Mn55,16.34,16.60,1.38,1.43,58.67,36.44,32.45,51.13,55.60,53.37,48.21,53.73,55.27,55.15,56.64,58.48,56.26,19.57,19.90,1.71,1.79,168.33,42.30,37.79,78.40
Co59,15.06,15.42,1.26,1.30,1.44,5.03,5.29,5.75,5.98,5.95,5.57,6.01,6.08,6.14,6.02,6.21,6.28,17.55,18.16,1.54,1.59,31.57,5.92,6.33,1.84
Ni60,20.07,20.76,1.67,1.74,0.59,112.36,118.64,69.39,64.04,69.44,97.83,70.67,71.35,62.34,89.05,57.07,79.43,25.84,26.74,2.27,2.44,26.22,141.93,153.49,0.82
Ni62,29.03,29.24,2.37,2.59,1.28,174.55,184.02,110.92,101.87,111.04,164.66,120.71,121.25,107.84,155.96,100.14,145.88,40.68,42.86,3.63,3.93,55.68,284.88,311.19,1.95
Cu63,20.43,21.13,1.69,1.77,1.98,0.043,0.17,0.17,0.12,0.20,0.19,0.15,0.14,0.18,0.11,0.089,0.21,27.13,28.25,2.39,2.57,444.96,0.051,0.24,1.33
Zn66,17.71,18.03,1.46,1.48,8.07,1.83,2.19,2.21,2.45,2.36,2.25,2.32,2.39,2.36,2.67,2.20,2.33,20.41,21.09,1.76,1.86,1193.91,1.87,2.26,8.34
Zn67,17.38,17.72,1.58,1.63,9.30,2.48,2.95,3.03,3.41,3.33,3.22,3.40,3.62,3.70,4.35,3.65,4.09,22.90,23.81,2.10,2.08,1090.53,3.97,4.86,11.73
Ga69,18.69,19.20,1.53,1.60,2.88,0.0043,0.0073,0.0080,0.0073,0.0077,0.0080,0.0084,0.0071,0.0087,0.0089,0.0092,0.0099,24.44,25.11,2.10,2.25,6.30,0.0045,0.0071,4.27
Sr88,16.54,16.66,2.54,2.56,10.79,0.0015,0.0016,0.0016,0.0027,0.0027,0.0019,0.0021,0.0021,0.0084,0.0030,0.0096,0.0018,18.28,18.33,2.84,2.82,41.13,0.0019,0.0011,12.67
Y89,16.31,16.16,1.35,1.35,1.10,0.0049,0.0053,0.0038,0.0035,0.0038,0.0039,0.0039,0.0038,0.0045,0.0047,0.0059,0.0041,19.00,18.65,1.62,1.60,4.26,0.0047,0.0070,1.44
Zr90,15.07,14.88,1.32,1.30,5.67,0.011,0.0055,0.0057,0.026,0.023,0.0064,0.032,0.0062,0.0089,0.22,0.085,0.0051,17.16,16.78,1.52,1.51,39.98,0.011,0.0077,7.22
Nb93,14.49,14.65,1.22,1.24,0.40,0.0018,0.0012,0.00090,0.00098,0.00098,0.00085,0.00071,0.00064,0.0018,0.00084,0.0037,0.00066,15.40,15.23,1.29,1.30,2.16,0.0023,0.0017,0.45
Ba135,14.26,14.42,1.33,1.31,21.46,0.024,0.012,0.0043,0.0073,0.033,0.0058,0.015,0.0037,0.027,0.015,0.045,0.0085,15.58,15.42,1.43,1.44,81.47,0.015,0.0078,24.78
Ba137,14.14,14.28,1.29,1.28,21.07,0.0071,0.0089,0.0055,0.0038,0.020,0.0031,0.0067,0.0059,0.021,0.013,0.040,0.0039,14.89,14.86,1.38,1.37,60.50,0.0046,0.011,23.26
La139,14.20,14.20,1.17,1.17,0.78,0.0012,0.0015,0.0017,0.032,0.10,0.0016,0.011,0.0052,0.022,0.13,0.53,0.0024,15.37,15.21,1.29,1.28,6.13,0.0014,0.0013,0.92
Ce140,15.40,15.55,1.30,1.33,1.71,0.00079,0.0010,0.0064,0.016,4.34,0.0031,0.012,0.044,0.080,0.031,4.05,0.073,17.69,17.78,1.53,1.57,8.16,0.00068,0.00082,2.17
Gd157,14.50,14.57,1.25,1.25,0.24,0.0065,0.0078,0.0041,0.0028,0.0089,0.0031,0.0061,0.0074,0.0030,0.0053,0.020,0.0085,16.10,15.85,1.41,1.39,5.91,0.0076,0.0039,0.27
Yb172,14.53,14.64,1.27,1.27,0.12,0.0048,0.0046,0.0030,0.0036,0.0035,0.0032,0.0034,0.0024,0.0034,0.0029,0.0052,0.0030,16.17,15.94,1.40,1.38,3.17,0.0060,0.0062,0.14

GLITTER!: Minimum detection limits (99% confidence).
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,0.0639,0.0653,0.0682,0.0696,0.0891,0.0757,0.0679,0.0331,0.0345,0.0338,0.0324,0.0331,0.0341,0.0331,0.0342,0.0468,0.0318,0.0582,0.0621,0.0676,0.0683,<0.00000,0.0856,0.0700,0.0898
B11,0.0736,0.0771,0.0767,0.0834,0.111,0.0851,0.0813,0.0423,0.0426,0.0409,0.0397,0.0399,0.0423,0.0414,0.0420,0.123,0.0414,0.0757,0.0740,0.0820,0.0836,<0.00000,0.114,0.0875,0.117
Na23,0.167,0.195,0.217,0.226,0.279,0.215,0.194,0.0937,0.0977,0.0940,0.0912,0.0936,0.0939,0.0947,0.0956,0.323,0.0917,0.168,0.198,0.265,0.234,<0.00000,0.250,0.202,0.262
Mg24,0.333,0.0817,0.0892,0.0914,0.108,0.184,0.311,0.0385,0.230,0.150,0.119,0.275,0.189,0.213,0.199,22.75,0.132,0.518,0.139,0.0915,0.0917,<0.00000,0.114,0.339,0.112
Mg25,0.882,0.237,0.222,0.227,0.277,0.228,0.684,0.0906,0.869,0.688,0.453,0.476,0.350,0.436,0.438,53.70,0.479,1.20,0.213,0.177,0.211,<0.00000,0.280,0.701,0.263
Mg26,0.895,0.621,0.616,0.674,0.899,0.713,1.71,0.325,1.02,0.502,0.498,0.518,0.617,0.638,0.508,51.07,0.404,1.05,0.600,0.662,0.660,<0.00000,0.877,0.907,0.859
Al27,0.0634,0.0931,0.122,0.0954,0.129,0.185,0.0764,0.0382,0.0356,0.0340,0.0356,0.0361,0.0350,0.0364,0.0330,0.989,0.0358,0.0673,0.103,0.128,0.100,<0.00000,0.0995,0.0810,0.0984
Si29,24.53,25.80,26.63,28.19,37.69,30.05,27.54,14.28,14.06,13.48,12.94,13.25,13.25,13.32,13.39,119.88,12.68,22.72,23.64,26.04,27.26,<0.00000,33.12,27.07,36.67
Si30,188.17,192.41,199.59,209.12,279.38,220.32,206.79,110.49,107.45,103.83,100.87,103.00,102.19,104.40,103.65,181.36,97.71,177.89,181.07,198.91,205.16,<0.00000,259.62,210.35,292.75
P31,1.39,1.50,1.63,1.68,2.27,1.85,1.63,0.840,0.807,0.804,0.772,0.776,0.765,0.774,0.774,1.07,0.734,1.34,1.48,1.67,1.70,<0.00000,2.10,1.67,2.29
Ca43,16.07,22.37,21.52,21.06,28.65,30.53,21.11,10.41,11.68,11.40,10.29,10.59,11.32,10.63,10.64,39.65,9.58,18.73,20.16,26.04,24.03,<0.00000,30.72,23.42,27.51
Ca44,8.74,9.08,9.25,9.60,13.07,10.70,9.83,5.06,5.00,4.83,4.61,4.70,4.74,4.86,4.78,11.46,4.51,8.31,8.53,9.16,9.40,<0.00000,12.07,9.76,13.29
Sc45,0.0460,0.0517,0.0533,0.0539,0.0702,0.0570,0.0563,0.0268,0.0282,0.0259,0.0271,0.0282,0.0253,0.0275,0.0278,0.0849,0.0254,0.0463,0.0510,0.0539,0.0572,<0.00000,0.0688,0.0571,0.0718
Ti47,0.177,0.182,0.201,0.217,0.225,0.301,0.201,0.0802,0.0966,0.0724,0.107,0.0925,0.0871,0.108,0.0860,0.997,0.0655,0.190,0.157,0.192,<0.00000,<0.00000,0.225,0.172,0.251
Ti49,0.324,0.348,0.286,0.263,0.422,0.358,0.305,0.149,0.166,0.158,0.155,0.135,0.154,0.154,0.159,1.17,0.144,0.298,0.280,0.296,0.352,<0.00000,0.372,0.335,0.350
V51,0.0152,0.0175,0.0149,0.0120,0.0221,0.0165,0.0153,0.00792,0.00939,0.00865,0.00789,0.00961,0.00824,0.00911,0.00819,0.0694,0.00831,0.0152,0.0174,0.0180,0.0144,<0.00000,0.0198,0.0177,0.0206
Cr53,0.212,0.234,0.216,0.246,0.278,0.246,0.247,0.130,0.109,0.131,0.132,0.120,0.126,0.139,0.141,1.94,0.121,0.208,0.232,0.204,0.241,<0.00000,0.263,0.239,0.317
Mn55,0.0859,0.0891,0.0961,0.101,0.134,0.108,0.101,0.0503,0.0581,0.0477,0.0477,0.0493,0.0491,0.0502,0.0503,1.14,0.0465,0.0894,0.0872,0.0969,0.102,<0.00000,0.129,0.103,0.132
Co59,0.00950,0.0156,0.0135,0.00814,0.0120,0.00832,0.0106,0.00528,0.00607,0.00451,0.00457,0.00601,0.00423,0.00591,0.00380,0.420,0.00492,0.0116,0.0112,0.0137,0.0125,<0.00000,0.00453,0.0100,0.0133
Ni60,0.103,0.0536,0.0643,0.0427,0.0637,0.0608,0.0824,0.0258,0.0329,0.0238,0.0364,0.0565,0.0288,0.0367,0.0293,2.48,0.0303,0.0826,0.0634,0.0552,0.0471,<0.00000,0.0348,0.0500,0.0563
Ni62,0.273,0.114,<0.00000,0.218,0.236,0.210,0.249,0.146,0.129,0.125,0.104,0.107,0.226,<0.00000,0.117,6.65,0.103,0.247,0.194,0.176,0.129,<0.00000,0.313,0.208,0.167
Cu63,0.0159,0.0211,0.0141,0.0161,0.0151,0.0135,0.0178,0.00765,0.00715,0.00611,0.00865,0.00828,0.00685,0.00402,0.00772,0.170,0.00912,0.0169,0.0199,0.0222,0.0203,<0.00000,0.0164,0.0120,0.0241
Zn66,0.0459,0.0532,0.0525,0.0598,0.0665,0.0690,0.0601,0.0244,0.0240,0.0104,0.0224,0.0279,0.0244,0.0334,0.0288,0.636,0.0327,0.0471,0.0499,0.0516,0.0440,<0.00000,0.0621,0.0514,0.0725
Zn67,0.0848,0.101,0.141,0.0789,0.165,0.220,0.124,0.0377,0.0408,0.0627,0.0814,0.0885,0.0737,0.0899,0.0856,1.33,0.0472,0.143,0.185,0.140,<0.00000,<0.00000,0.183,0.162,0.234
Ga69,0.00565,0.0111,0.0146,0.00865,0.0103,0.00615,0.00514,<0.00000,0.00188,0.00315,0.00430,<0.00000,0.00220,0.00182,0.00316,0.0173,0.00406,0.00718,0.0105,0.0158,0.00646,<0.00000,<0.00000,0.00603,0.0103
Sr88,0.00564,0.00657,0.00803,0.00241,0.00553,0.00403,<0.00000,<0.00000,<0.00000,<0.00000,0.00116,<0.00000,<0.00000,<0.00000,<0.00000,0.0246,<0.00000,0.00474,0.0224,0.0112,0.00551,<0.00000,0.00536,<0.00000,0.00717
Y89,0.00622,0.00451,0.0103,<0.00000,0.00537,0.00587,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00920,<0.00000,<0.00000,0.00950,0.0113,0.00412,<0.00000,<0.00000,0.00423,0.00848
Zr90,<0.00000,0.0152,0.0234,0.00592,<0.00000,<0.00000,<0.00000,<0.00000,0.00303,0.00294,<0.00000,0.00413,0.00411,0.00295,<0.00000,0.127,<0.00000,0.00903,0.0158,0.0118,<0.00000,<0.00000,<0.00000,0.00623,<0.00000
Nb93,0.00487,0.0208,0.00808,0.00552,<0.00000,0.00461,<0.00000,0.00185,0.00163,0.00158,0.00153,0.00111,<0.00000,0.00159,0.00159,0.0114,0.00107,0.00344,0.0108,0.0135,0.00518,<0.00000,0.00617,0.00336,0.00427
Ba135,0.0247,0.0358,0.0464,<0.00000,0.0522,0.0660,0.0276,<0.00000,<0.00000,<0.00000,0.0189,0.0138,<0.00000,<0.00000,<0.00000,0.134,0.0229,0.0347,0.0351,0.0391,<0.00000,<0.00000,0.0439,<0.00000,0.0372
Ba137,0.0143,0.0328,0.0219,0.0161,0.0369,<0.00000,0.0225,0.00761,<0.00000,0.0112,<0.00000,0.00788,0.0111,<0.00000,0.0138,0.111,0.0107,0.0139,0.0244,0.0351,0.0162,<0.00000,<0.00000,0.0234,<0.00000
La139,0.00431,0.00884,0.0134,0.00645,<0.00000,0.00288,0.00340,0.00163,0.00215,0.00121,<0.00000,<0.00000,<0.00000,0.00171,0.00242,0.217,0.00115,0.00301,0.00609,0.00795,0.00350,<0.00000,0.00380,0.00358,0.00322
Ce140,0.00280,0.00525,0.00993,0.00317,<0.00000,0.00216,0.00312,0.00086,<0.00000,0.00156,0.00087,<0.00000,0.00126,0.00157,<0.00000,0.609,<0.00000,0.00356,0.00789,0.0130,0.00261,<0.00000,<0.00000,0.00189,<0.00000
Gd157,0.0237,0.0109,0.0230,0.0170,0.0159,0.0200,0.0205,0.0114,0.00613,0.0119,0.00573,0.0118,<0.00000,<0.00000,0.00844,0.0571,<0.00000,0.0182,0.0212,0.0264,0.0122,<0.00000,0.0188,0.0125,<0.00000
Yb172,0.00650,0.0149,0.0200,0.00738,<0.00000,<0.00000,0.00731,0.00496,0.00758,0.00637,0.00503,0.00518,0.00515,0.00371,<0.00000,0.00769,<0.00000,0.0131,0.0221,0.0210,0.00766,<0.00000,<0.00000,0.00788,<0.00000

GLITTER!: Limit of Quantification.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,0.197,0.201,0.210,0.214,0.274,0.233,0.209,0.102,0.106,0.104,0.0997,0.102,0.105,0.102,0.105,0.144,0.0979,0.179,0.191,0.208,0.210,<0.00000,0.263,0.215,0.276
B11,0.226,0.237,0.236,0.257,0.342,0.262,0.250,0.130,0.131,0.126,0.122,0.123,0.130,0.127,0.129,0.379,0.128,0.233,0.228,0.252,0.257,<0.00000,0.352,0.269,0.361
Na23,0.513,0.600,0.669,0.696,0.859,0.662,0.596,0.288,0.301,0.289,0.280,0.288,0.289,0.291,0.294,0.995,0.282,0.518,0.608,0.816,0.719,<0.00000,0.770,0.622,0.808
Mg24,1.03,0.251,0.275,0.281,0.332,0.568,0.956,0.118,0.706,0.461,0.366,0.846,0.582,0.656,0.612,70.01,0.407,1.59,0.428,0.281,0.282,<0.00000,0.350,1.04,0.345
Mg25,2.71,0.729,0.684,0.697,0.853,0.702,2.11,0.279,2.67,2.12,1.39,1.46,1.08,1.34,1.35,165.22,1.48,3.69,0.655,0.544,0.650,<0.00000,0.862,2.16,0.808
Mg26,2.75,1.91,1.89,2.07,2.77,2.20,5.25,1.00,3.15,1.54,1.53,1.59,1.90,1.96,1.56,157.15,1.24,3.24,1.84,2.04,2.03,<0.00000,2.70,2.79,2.64
Al27,0.195,0.286,0.375,0.293,0.396,0.568,0.235,0.118,0.109,0.105,0.110,0.111,0.108,0.112,0.101,3.04,0.110,0.207,0.317,0.394,0.308,<0.00000,0.306,0.249,0.303
Si29,75.48,79.37,81.94,86.74,115.97,92.46,84.72,43.95,43.25,41.49,39.82,40.77,40.77,40.99,41.19,368.86,39.02,69.91,72.73,80.11,83.87,<0.00000,101.89,83.30,112.82
Si30,579.00,592.04,614.13,643.45,859.63,677.91,636.28,339.98,330.60,319.49,310.37,316.92,314.44,321.23,318.94,558.02,300.64,547.35,557.12,612.04,631.27,<0.00000,798.84,647.23,900.78
P31,4.27,4.63,5.02,5.17,6.97,5.70,5.01,2.58,2.48,2.47,2.37,2.39,2.35,2.38,2.38,3.30,2.26,4.14,4.56,5.13,5.22,<0.00000,6.47,5.14,7.04
Ca43,49.45,68.83,66.22,64.80,88.15,93.93,64.94,32.02,35.95,35.06,31.68,32.57,34.82,32.69,32.75,122.01,29.48,57.62,62.02,80.13,73.95,<0.00000,94.51,72.07,84.64
Ca44,26.89,27.94,28.45,29.53,40.22,32.94,30.26,15.56,15.39,14.86,14.19,14.47,14.59,14.95,14.71,35.25,13.87,25.57,26.23,28.17,28.92,<0.00000,37.14,30.04,40.89
Sc45,0.141,0.159,0.164,0.166,0.216,0.175,0.173,0.0824,0.0868,0.0797,0.0833,0.0867,0.0779,0.0847,0.0855,0.261,0.0781,0.142,0.157,0.166,0.176,<0.00000,0.212,0.176,0.221
Ti47,0.546,0.559,0.617,0.669,0.692,0.926,0.618,0.247,0.297,0.223,0.328,0.285,0.268,0.333,0.265,3.07,0.201,0.584,0.482,0.592,<0.00000,<0.00000,0.691,0.531,0.771
Ti49,0.996,1.07,0.879,0.808,1.30,1.10,0.939,0.458,0.510,0.487,0.478,0.417,0.473,0.473,0.490,3.61,0.443,0.918,0.861,0.909,1.08,<0.00000,1.15,1.03,1.08
V51,0.0467,0.0539,0.0460,0.0369,0.0681,0.0508,0.0472,0.0244,0.0289,0.0266,0.0243,0.0296,0.0254,0.0280,0.0252,0.214,0.0256,0.0469,0.0536,0.0555,0.0442,<0.00000,0.0609,0.0544,0.0635
Cr53,0.653,0.721,0.664,0.756,0.855,0.758,0.759,0.399,0.336,0.402,0.405,0.371,0.386,0.426,0.434,5.96,0.372,0.640,0.713,0.628,0.741,<0.00000,0.811,0.737,0.976
Mn55,0.264,0.274,0.296,0.309,0.412,0.332,0.310,0.155,0.179,0.147,0.147,0.152,0.151,0.154,0.155,3.52,0.143,0.275,0.268,0.298,0.315,<0.00000,0.396,0.316,0.407
Co59,0.0292,0.0481,0.0416,0.0250,0.0370,0.0256,0.0327,0.0162,0.0187,0.0139,0.0141,0.0185,0.0130,0.0182,0.0117,1.29,0.0151,0.0356,0.0343,0.0421,0.0384,<0.00000,0.0139,0.0308,0.0408
Ni60,0.316,0.165,0.198,0.131,0.196,0.187,0.253,0.0795,0.101,0.0733,0.112,0.174,0.0885,0.113,0.0901,7.63,0.0933,0.254,0.195,0.170,0.145,<0.00000,0.107,0.154,0.173
Ni62,0.839,0.352,<0.00000,0.672,0.725,0.647,0.766,0.450,0.396,0.384,0.321,0.330,0.696,<0.00000,0.361,20.45,0.318,0.760,0.596,0.542,0.396,<0.00000,0.962,0.641,0.515
Cu63,0.0490,0.0649,0.0435,0.0496,0.0464,0.0415,0.0549,0.0235,0.0220,0.0188,0.0266,0.0255,0.0211,0.0124,0.0238,0.522,0.0281,0.0521,0.0613,0.0683,0.0624,<0.00000,0.0506,0.0369,0.0742
Zn66,0.141,0.164,0.161,0.184,0.205,0.212,0.185,0.0751,0.0739,0.0320,0.0690,0.0859,0.0749,0.103,0.0886,1.96,0.101,0.145,0.154,0.159,0.135,<0.00000,0.191,0.158,0.223
Zn67,0.261,0.310,0.435,0.243,0.509,0.676,0.382,0.116,0.126,0.193,0.251,0.272,0.227,0.277,0.263,4.09,0.145,0.440,0.569,0.432,<0.00000,<0.00000,0.564,0.498,0.719
Ga69,0.0174,0.0342,0.0449,0.0266,0.0318,0.0189,0.0158,<0.00000,0.00578,0.00970,0.0132,<0.00000,0.00676,0.00561,0.00973,0.0531,0.0125,0.0221,0.0324,0.0485,0.0199,<0.00000,<0.00000,0.0185,0.0316
Sr88,0.0174,0.0202,0.0247,0.00743,0.0170,0.0124,<0.00000,<0.00000,<0.00000,<0.00000,0.00356,<0.00000,<0.00000,<0.00000,<0.00000,0.0757,<0.00000,0.0146,0.0689,0.0345,0.0170,<0.00000,0.0165,<0.00000,0.0221
Y89,0.0191,0.0139,0.0317,<0.00000,0.0165,0.0181,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0283,<0.00000,<0.00000,0.0292,0.0348,0.0127,<0.00000,<0.00000,0.0130,0.0261
Zr90,<0.00000,0.0467,0.0721,0.0182,<0.00000,<0.00000,<0.00000,<0.00000,0.00933,0.00904,<0.00000,0.0127,0.0126,0.00909,<0.00000,0.391,<0.00000,0.0278,0.0487,0.0362,<0.00000,<0.00000,<0.00000,0.0192,<0.00000
Nb93,0.0150,0.0640,0.0249,0.0170,<0.00000,0.0142,<0.00000,0.00569,0.00502,0.00487,0.00470,0.00342,<0.00000,0.00490,0.00491,0.0349,0.00330,0.0106,0.0334,0.0414,0.0159,<0.00000,0.0190,0.0103,0.0131
Ba135,0.0759,0.110,0.143,<0.00000,0.161,0.203,0.0849,<0.00000,<0.00000,<0.00000,0.0582,0.0423,<0.00000,<0.00000,<0.00000,0.413,0.0706,0.107,0.108,0.120,<0.00000,<0.00000,0.135,<0.00000,0.114
Ba137,0.0440,0.101,0.0675,0.0497,0.114,<0.00000,0.0692,0.0234,<0.00000,0.0346,<0.00000,0.0242,0.0340,<0.00000,0.0424,0.341,0.0328,0.0429,0.0752,0.108,0.0498,<0.00000,<0.00000,0.0719,<0.00000
La139,0.0133,0.0272,0.0413,0.0198,<0.00000,0.00885,0.0105,0.00501,0.00663,0.00371,<0.00000,<0.00000,<0.00000,0.00526,0.00745,0.668,0.00354,0.00926,0.0187,0.0245,0.0108,<0.00000,0.0117,0.0110,0.00990
Ce140,0.00862,0.0161,0.0306,0.00975,<0.00000,0.00664,0.00961,0.00266,<0.00000,0.00481,0.00268,<0.00000,0.00387,0.00482,<0.00000,1.87,<0.00000,0.0110,0.0243,0.0402,0.00804,<0.00000,<0.00000,0.00582,<0.00000
Gd157,0.0730,0.0335,0.0709,0.0522,0.0488,0.0616,0.0631,0.0349,0.0189,0.0365,0.0176,0.0363,<0.00000,<0.00000,0.0260,0.176,<0.00000,0.0559,0.0653,0.0813,0.0375,<0.00000,0.0577,0.0384,<0.00000
Yb172,0.0200,0.0459,0.0615,0.0227,<0.00000,<0.00000,0.0225,0.0153,0.0233,0.0196,0.0155,0.0159,0.0158,0.0114,<0.00000,0.0237,<0.00000,0.0404,0.0679,0.0646,0.0236,<0.00000,<0.00000,0.0242,<0.00000

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,206.35,211.80,16.42,17.16,4.06,0.773,1.097,0.710,0.836,0.770,0.677,0.752,0.759,0.768,0.871,0.697,0.708,208.84,214.08,16.34,17.15,33.41,0.747,1.060,3.99
B11,126.31,129.10,18.02,18.10,8.23,7.75,7.24,6.24,6.08,5.75,5.68,5.52,5.39,5.45,5.35,4.93,5.11,134.28,137.08,17.98,18.12,1569.93,6.45,6.11,7.66
Na23,14.06,14.35,13.87,14.22,3.27,0.00543,0.01437,0.01394,0.01457,0.01499,0.01615,0.01421,0.01438,0.01470,0.01511,0.01050,0.01369,13.99,14.15,13.76,14.30,10.87,0.00557,0.01457,3.19
Mg24,0.00345,0.00358,0.00048,0.00047,0.1694,2.478,2.469,2.424,2.465,2.412,2.429,2.417,2.417,2.450,2.430,2.411,2.459,0.00346,0.00354,0.00047,0.00048,0.073,2.535,2.549,0.1689
