GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Sr88,508.43,512.61,78.05,78.75,330.58,<0.0040,0.0064,0.0129,0.0313,0.0302,0.0161,0.0204,0.0198,0.1433,0.0307,<0.0246,0.0152,520.15,516.53,79.18,77.64,270.50,<0.0054,0.0031,332.66
Y89,464.31,460.87,38.33,38.23,31.06,0.0359,0.0521,0.0467,0.0401,0.0452,0.0473,0.0453,0.0457,0.0505,0.0527,0.0401,0.0476,473.01,456.88,38.93,37.71,12.27,0.0355,0.0630,31.48
Zr90,439.99,435.03,38.14,37.61,164.74,0.096,0.0312,0.0574,0.483,0.419,0.0690,0.605,0.0616,0.0992,4.38,<0.127,0.0447,448.47,432.59,38.37,37.47,249.86,0.089,0.0470,169.50
Nb93,459.80,464.98,38.66,39.18,12.45,<0.0046,0.0038,<0.00185,0.00319,0.00317,0.00217,0.00180,0.00238,0.0125,<0.00159,<0.0114,0.00156,471.02,463.25,38.82,38.96,8.34,<0.0062,0.0037,13.02
Ba135,443.61,448.91,39.65,38.92,665.30,<0.066,<0.028,0.0087,0.0242,0.384,<0.0189,0.089,0.0063,0.245,0.072,<0.134,<0.0229,455.20,446.68,39.39,39.24,438.19,<0.044,0.0135,676.71
Ba137,443.93,448.72,39.56,39.00,659.89,0.0187,<0.0225,0.0176,0.0114,0.226,0.0075,0.0279,0.0144,0.230,0.078,<0.111,<0.0107,444.16,440.50,39.50,39.12,334.79,0.0080,<0.023,656.30
La139,436.60,437.13,35.99,35.99,23.80,<0.0029,<0.0034,0.0127,0.755,2.53,0.0120,0.223,0.0812,0.452,2.81,<0.22,0.0229,441.61,432.97,36.38,35.64,33.32,<0.0038,<0.0036,24.31
Ce140,450.96,456.54,37.94,38.95,49.90,<0.00216,<0.0031,0.1413,0.428,134.99,0.0479,0.313,1.293,2.342,0.865,<0.61,2.115,456.63,451.87,38.12,38.65,47.95,0.00152,<0.00189,49.68
Gd157,441.54,444.26,37.34,37.23,6.22,<0.0200,<0.0205,<0.0114,<0.0061,0.0551,<0.0057,0.0173,0.0541,0.0079,0.0142,<0.057,0.0673,449.72,437.65,37.74,36.88,11.21,<0.0188,<0.0125,6.20
Yb172,453.84,457.54,39.26,39.11,3.13,0.0184,0.0115,0.0087,<0.0076,0.0105,0.0112,0.0130,<0.0052,0.0129,0.0111,0.0161,0.0148,471.91,460.95,39.59,38.84,-1.14,0.0266,0.0230,3.22

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,495.24,508.31,39.41,41.19,9.74,1.855,2.63,1.703,2.006,1.848,1.625,1.804,1.822,1.843,2.090,1.673,1.700,501.21,513.78,39.22,41.16,80.18,1.793,2.54,9.59
B11,239.99,245.29,34.23,34.38,15.64,14.72,13.76,11.86,11.55,10.92,10.79,10.49,10.24,10.35,10.17,9.37,9.71,255.13,260.45,34.17,34.42,2982.88,12.25,11.61,14.55
Na23,101833.91,103987.20,100519.39,103046.81,23704.65,39.36,104.11,101.02,105.54,108.58,116.98,102.96,104.20,106.51,109.45,76.08,99.18,101348.74,102523.16,99671.05,103615.23,78765.95,40.35,105.59,23117.19
Mg24,493.93,512.03,68.30,67.72,24220.45,354352.38,353125.34,346576.03,352463.44,344974.44,347366.66,345621.97,345578.28,350314.81,347504.22,344761.50,351567.63,494.08,505.56,67.10,68.92,10375.00,362469.09,364540.25,24153.78
Mg25,518.13,540.52,67.54,68.53,25878.36,384260.34,379267.59,363516.72,376103.22,370111.72,372741.16,363296.72,365348.69,365548.06,362613.72,359734.75,369205.75,504.53,518.62,67.73,68.23,6477.78,376733.16,371759.84,25108.65
Mg26,511.40,524.28,66.91,69.30,25594.38,376859.56,372451.44,363886.06,371049.00,366024.53,370744.50,358193.00,362170.03,360559.09,363733.66,354590.03,362518.28,508.97,514.95,67.48,68.44,3598.89,379821.66,377123.00,25035.90
Al27,10186.86,10209.71,10755.24,10723.68,80313.05,72.19,133.48,188.52,148.98,152.06,167.03,172.68,156.55,153.38,148.31,53.55,196.09,10371.26,10131.22,10865.92,10630.68,30498.16,71.12,132.15,79027.09
Si29,330306.72,333993.59,335544.94,338983.78,269617.53,193286.19,193286.19,190762.02,196932.22,190762.02,190434.83,190201.09,190247.84,188424.83,188845.50,189172.72,190481.55,329802.31,330815.91,332868.94,341199.19,10600.69,193286.17,193286.17,258886.84
Si30,324745.47,332175.38,334765.47,339876.59,275809.63,198587.48,199798.98,182778.58,194615.58,190950.39,188099.94,188452.19,190548.00,191523.45,188871.45,185967.61,192398.63,326923.44,325919.47,333063.97,340936.59,<-1.00,200806.03,202641.67,259616.81
P31,370.39,377.03,45.42,48.03,1406.18,14.13,24.65,52.55,60.65,77.58,32.39,72.42,56.75,53.61,79.11,57.20,59.97,385.21,376.76,45.01,48.10,<-1.00,13.86,23.64,1381.60
Ca43,81905.47,81905.47,85049.43,85049.44,51029.66,355.32,514.84,1622.40,1747.00,1742.00,1376.14,1684.40,1634.84,1767.84,1472.60,1670.69,1621.50,81905.45,81905.45,85049.43,85049.42,51029.65,364.86,467.10,51029.65
Ca44,80989.26,81578.89,85104.13,84972.53,49864.89,684.75,803.29,1898.12,2061.35,2061.55,1709.97,1968.73,1947.43,2055.86,1775.21,2006.53,1929.13,82373.16,80505.27,85331.08,84782.82,28580.48,672.58,806.54,50417.04
Sc45,403.77,406.86,39.72,40.07,32.67,6.32,5.29,6.39,6.51,6.37,5.75,6.43,6.33,6.44,6.24,6.31,6.45,419.51,406.73,40.34,39.48,<-1.00,6.01,4.99,33.67
Ti47,472.97,474.98,43.94,44.07,14555.71,7.60,36.33,77.00,66.05,63.71,55.91,69.68,62.38,69.88,60.63,60.04,77.04,466.78,454.82,43.85,44.14,4322.96,7.56,35.21,14203.35
Ti49,482.90,494.07,45.50,42.48,15042.83,6.87,38.16,79.60,67.27,64.25,58.06,71.59,64.97,72.28,62.50,60.43,80.78,498.53,487.11,43.76,44.33,5538.78,5.61,36.81,15252.61
V51,463.06,474.28,38.16,39.59,438.01,3.12,6.20,5.70,5.33,5.22,4.19,5.61,5.31,5.33,5.01,4.94,6.10,463.63,470.71,37.95,39.63,160.76,3.18,5.97,426.31
