GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 2.b
Created: Fri Sep 29 17:43:25 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Zr90,518.82,519.94,44.40,45.16,184.00,0.099,<0.043,0.172,0.389,0.737,0.154,0.162,0.131,0.189,0.232,0.186,0.151,520.74,523.78,48.90,46.41,184.00,0.076,0.038
Nb93,452.32,451.66,37.66,37.70,12.50,<0.0248,0.0067,0.0035,0.0714,0.00126,0.0052,<0.0025,0.0028,0.0030,<0.0035,0.0221,0.0024,455.46,454.22,38.25,38.21,12.50,<0.0059,<0.0072
Ba135,446.02,446.74,39.21,41.50,683.00,0.0097,<0.156,0.075,3.56,<0.047,0.155,<0.041,<0.033,<0.023,<0.033,0.122,0.0088,449.72,458.36,41.47,39.58,683.00,<0.110,0.035
Ba137,450.86,451.25,39.10,40.36,683.00,0.0112,0.031,0.0234,3.60,<0.027,0.090,<0.0194,<0.0236,0.030,0.0206,0.092,0.022,453.05,448.44,40.63,38.82,683.00,<0.064,0.0101
La139,467.51,471.38,38.63,38.56,24.70,0.0043,<0.0099,0.1275,0.371,0.0954,0.0463,0.0467,0.0514,0.0845,0.1144,0.0658,0.0765,470.84,469.34,39.20,38.44,24.70,<0.0069,0.0031
Ce140,476.58,476.05,40.01,39.87,53.30,0.00135,0.0074,1.606,2.028,0.960,0.254,0.465,0.537,0.591,0.410,0.517,1.307,484.34,483.07,41.45,40.59,53.30,<0.0054,<0.0038
Gd157,512.85,511.16,42.85,42.53,6.71,0.027,0.0123,<0.023,<0.023,0.0326,0.0212,<0.0154,0.0275,0.0254,0.0359,0.0352,0.0231,494.09,502.00,42.88,41.55,6.71,0.0125,<0.043
Yb172,583.20,582.44,49.20,48.90,3.39,0.0120,<0.034,0.168,0.208,0.163,0.152,0.085,0.135,0.134,0.082,0.125,0.161,548.07,545.39,47.31,45.98,3.39,<0.036,0.0382

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Li7,453.40,453.81,38.61,38.16,9.00,1.65,2.41,8.09,9.34,8.63,8.98,6.79,7.68,9.03,9.38,9.18,7.67,452.01,447.45,38.04,37.99,9.00,1.727,2.444
B11,96.01,95.52,13.97,13.72,6.00,6.38,6.54,4.73,4.67,4.64,4.53,4.37,4.31,4.13,4.25,4.40,4.42,113.05,113.63,15.59,15.19,6.00,6.09,6.04
Na23,104236.48,101584.92,102223.51,101792.02,23999.99,42.10,105.78,58.04,155.91,65.48,75.11,48.96,55.66,67.24,68.46,71.75,57.94,102748.37,102166.76,102054.25,101641.13,23999.99,40.56,103.16
