GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run2.b
Created: Fri Sep 29 17:15:07 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Ni60,479.83,479.89,38.74,41.03,13.00,3320.95,3471.97,3025.98,3029.95,3055.24,3554.30,3645.62,3682.28,3642.05,3683.86,3067.42,3140.28,468.38,469.35,39.09,39.43,13.00,3350.09,3493.07
Ni62,340.40,347.06,28.61,30.59,13.00,2401.25,2508.05,2193.13,2221.76,2248.85,2731.20,2650.17,2730.87,2677.07,2722.96,2293.98,2364.43,347.10,350.81,29.16,27.94,13.00,2532.73,2682.70
Cu63,532.45,529.97,43.70,45.53,21.00,0.936,4.96,3.22,0.718,0.777,1.684,1.530,1.684,1.543,1.538,6.51,2.579,507.36,505.86,41.99,42.61,21.00,1.008,5.16
Zn66,316.15,323.50,25.92,27.61,125.00,42.98,49.63,42.17,30.74,31.47,43.57,49.78,50.99,50.44,50.84,89.50,46.11,316.58,322.01,27.72,27.28,125.00,41.58,50.39
Zn67,253.04,255.85,21.88,22.65,125.00,30.69,36.14,31.04,21.97,22.95,32.56,37.07,38.02,37.08,37.86,66.64,33.64,257.02,266.99,21.59,21.98,125.00,30.66,37.91
Ga69,121.57,123.79,10.40,10.68,23.00,0.0147,0.0223,0.0290,0.0112,0.0090,0.0133,0.0181,0.0946,0.0172,0.0182,0.0973,0.0243,127.28,129.69,10.54,11.08,23.00,<0.0180,0.0325
Sr88,542.82,542.73,82.76,82.69,342.00,<0.0215,<0.0285,0.1238,<0.0062,0.0034,0.0047,<0.00586,<0.0102,<0.0101,<0.0129,0.0097,<0.0079,530.16,537.10,81.47,82.24,342.00,<0.0300,<0.0316
Y89,578.28,575.36,47.37,47.00,35.00,0.0455,0.0638,0.261,<0.0081,<0.0114,<0.0161,<0.0077,0.0179,<0.0108,0.0053,0.0150,<0.0073,575.26,563.12,46.61,46.73,35.00,<0.0442,0.0619
Zr90,537.86,532.78,45.28,44.68,184.00,<0.056,0.0383,0.112,0.331,0.355,0.268,0.395,7.59,0.336,0.365,0.182,0.159,526.40,519.52,45.00,44.87,184.00,0.075,0.049
Nb93,473.77,471.41,39.45,39.70,12.50,<0.0230,0.0057,0.1350,0.212,0.215,0.185,0.1955,0.217,0.2118,0.1983,0.0132,0.1081,466.23,462.15,38.86,39.19,12.50,<0.0228,<0.0175
