GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run3.b
Created: Fri Sep 29 18:31:11 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-15,STD610-16,612-15,612-16,BCR-2g-08,SCO-1-08,SCO-2-08,30-01,30-02,30-03,30-04,30-05,30-06,30-07,30-08,30-09,30-10,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09
Li7,512.37,513.74,40.03,40.44,10.06,1.845,2.576,2.069,2.069,2.307,2.231,2.78,1.908,17.42,2.253,1.566,2.303,493.06,502.14,39.33,41.10,9.77,1.847,2.62
B11,217.43,223.09,34.56,34.04,17.61,17.99,16.66,14.27,13.09,13.07,12.39,12.30,12.19,11.82,11.56,11.66,12.00,238.14,244.00,34.17,34.44,15.77,14.97,13.94
Na23,102252.52,102853.94,101527.40,101820.77,25021.28,40.59,104.95,195.16,185.20,174.17,184.67,226.83,229.29,142.03,208.65,140.74,191.26,101664.80,103516.83,100386.23,102909.38,23768.38,39.10,103.51
Mg24,508.30,510.99,67.87,68.12,23980.92,355379.44,356482.44,354525.78,345552.72,354584.47,352021.69,355776.28,351587.88,352643.13,347469.84,355002.78,344770.16,494.41,510.88,68.34,67.67,24222.17,351912.13,349597.50
Mg25,531.86,535.34,67.26,68.85,25451.48,387881.53,382806.50,382841.19,374689.03,381370.06,380912.38,383123.16,378785.31,383144.94,370939.25,380739.19,373158.03,516.92,538.60,67.45,68.50,25895.58,383279.97,377977.94
Mg26,514.67,517.81,67.07,69.11,24809.16,371257.97,371505.84,374790.91,361019.66,367492.50,360740.44,369808.97,370432.56,371145.75,365788.25,373737.31,361776.56,507.96,519.98,66.74,69.24,25631.64,375955.47,371114.81
Al27,10174.67,10282.58,10727.24,10760.61,78289.18,70.00,134.49,104.59,106.66,121.97,121.49,119.39,145.77,128.02,127.20,80.38,79.84,10192.75,10193.58,10757.84,10728.70,80430.93,72.24,133.65
Si29,331755.16,328855.16,337109.31,337079.25,269938.91,193286.13,193286.16,196184.28,192304.53,192444.73,190060.83,191930.58,191369.67,191837.11,191463.17,191743.63,191182.70,328916.47,333046.88,335180.84,338910.84,270339.78,193286.19,193286.20
Si30,329208.94,331008.59,336591.41,337688.31,273667.13,201073.48,199047.52,192119.48,187474.00,192151.33,189251.50,190970.08,189476.47,191058.63,188696.47,188713.78,187192.80,323984.59,330767.09,334445.38,339637.38,276369.53,197868.98,199335.66
P31,368.92,376.19,46.39,46.91,1419.95,16.59,26.02,40.64,41.04,27.14,31.80,50.21,47.50,58.70,33.44,44.28,79.76,369.32,375.88,45.36,47.82,1412.49,13.76,24.64
Ca43,81905.45,81905.45,85049.41,85049.41,51029.65,357.30,532.23,486.02,482.31,412.40,436.20,522.20,531.21,918.06,469.89,659.24,647.38,81905.45,81905.45,85049.42,85049.43,51029.66,351.53,512.93
