GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\LA data with updated GEOREM standards 29.09.17\For edit 2017-05-04 EMP UPDATED windows reselected BCR-2G standard\run4.b
Created: Thu Oct 05 15:51:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,13.92,14.30,1.11,1.16,0.28,0.064,0.084,0.053,0.062,0.057,0.050,0.056,0.056,0.057,0.064,0.055,0.052,14.29,14.66,1.12,1.18,16.19,0.062,0.080,0.28
B11,2.78,2.85,0.40,0.40,0.19,0.18,0.17,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,3.13,3.21,0.43,0.43,177.06,0.16,0.15,0.19
Na23,3140.60,3211.23,3095.13,3177.27,729.55,1.27,3.36,3.25,3.39,3.49,3.76,3.30,3.34,3.41,3.50,2.44,3.17,3193.50,3234.73,3136.09,3264.64,11799.92,1.29,3.36,729.92
Mg24,13.94,14.46,1.93,1.92,678.96,10039.61,9986.00,9781.83,9929.29,9700.06,9748.89,9681.62,9662.08,9776.12,9679.35,9585.34,9755.23,14.01,14.34,1.91,1.96,1343.36,9943.83,9981.43,680.73
Mg25,13.33,13.92,1.78,1.81,662.27,10173.61,10035.88,9613.29,9940.72,9777.08,9841.17,9586.61,9635.50,9635.67,9553.17,9472.81,9716.11,13.33,13.71,1.84,1.86,833.01,9882.73,9746.93,663.05
Mg26,13.31,13.66,1.79,1.86,661.97,10085.16,9957.58,9718.71,9900.53,9757.15,9873.49,9530.09,9626.65,9574.78,9649.86,9398.87,9598.99,13.51,13.68,1.85,1.87,514.00,10000.01,9919.35,662.82
Al27,299.03,300.03,315.07,314.49,2349.23,2.06,3.79,5.34,4.22,4.30,4.71,4.87,4.41,4.31,4.17,1.56,5.49,309.89,303.05,324.06,317.40,3974.60,1.99,3.68,2361.26
Si29,13230.41,13416.36,13460.40,13637.68,10827.79,6113.58,6113.49,6033.04,6228.17,6033.07,6022.70,6015.31,6016.76,5959.26,5972.60,5983.63,6024.16,13870.09,13953.61,14023.42,14417.13,5631.99,6113.59,6113.52,11017.72
Si30,11931.11,12255.74,12351.57,12593.97,10218.54,6079.93,6123.49,5607.01,5976.57,5870.45,5789.12,5806.32,5877.29,5914.06,5838.66,5756.10,5960.58,12927.90,12946.47,13235.61,13610.59,49618.08,6264.18,6328.26,10509.37
P31,33.38,34.07,4.18,4.43,126.72,1.10,1.41,2.50,2.87,3.65,1.57,3.40,2.68,2.54,3.71,2.74,2.81,36.31,35.61,4.33,4.64,378.63,1.13,1.36,131.38
Ca43,2601.36,2601.67,2690.41,2690.92,1613.65,20.81,23.61,54.55,58.42,58.25,46.55,56.09,54.30,59.08,50.02,59.68,53.42,2601.27,2601.41,2690.78,2691.17,10241.47,20.20,21.87,1614.07
Ca44,2608.28,2625.89,2726.37,2720.84,1590.77,22.97,26.60,61.20,66.27,66.11,54.73,62.80,61.95,65.27,56.27,63.65,60.73,2626.52,2565.55,2706.80,2688.05,4841.52,21.67,25.54,1589.93
Sc45,12.95,13.03,1.27,1.28,1.04,0.21,0.18,0.21,0.21,0.21,0.19,0.21,0.20,0.21,0.20,0.21,0.20,13.12,12.70,1.26,1.23,11.06,0.19,0.16,1.04
Ti47,14.44,14.53,1.43,1.44,440.76,0.35,1.23,2.43,2.09,2.02,1.78,2.20,1.97,2.21,1.93,1.98,2.41,14.55,14.20,1.46,1.47,663.35,0.34,1.18,440.61
Ti49,14.40,14.72,1.47,1.38,440.41,0.35,1.28,2.43,2.06,1.97,1.78,2.17,1.97,2.20,1.91,1.93,2.41,14.68,14.34,1.40,1.42,785.29,0.30,1.19,440.25
V51,13.92,14.27,1.15,1.20,13.14,0.10,0.20,0.18,0.17,0.16,0.13,0.18,0.17,0.17,0.16,0.16,0.19,14.27,14.50,1.17,1.23,25.13,0.10,0.19,13.16
Cr53,14.86,15.13,1.34,1.38,0.63,5.03,9.79,21.31,18.89,20.60,22.52,19.92,19.54,17.01,17.45,15.69,21.20,15.09,15.27,1.35,1.39,96.21,5.05,9.54,0.64
Mn55,13.36,13.63,1.13,1.17,47.73,34.72,30.82,48.35,52.31,49.93,44.82,49.60,50.64,50.12,51.02,52.18,49.70,13.80,13.77,1.16,1.19,160.31,34.86,30.75,47.80
Co59,12.48,12.83,1.05,1.08,1.19,4.68,4.90,5.31,5.49,5.43,5.05,5.40,5.42,5.41,5.25,5.36,5.36,12.92,13.16,1.09,1.11,30.54,4.66,4.91,1.19
Ni60,14.51,15.15,1.24,1.29,0.45,103.77,109.24,63.60,58.35,62.81,87.74,62.76,62.68,54.13,76.33,48.27,66.21,15.73,15.92,1.34,1.41,27.65,107.46,114.24,0.46
Ni62,10.26,10.46,0.94,1.03,0.58,74.04,77.10,45.74,41.23,43.98,63.65,45.49,44.46,38.46,53.98,33.75,47.52,10.91,11.16,1.04,1.09,42.09,77.42,82.13,0.60
Cu63,6.00,6.41,0.53,0.57,0.65,0.020,0.077,0.077,0.058,0.093,0.090,0.072,0.071,0.095,0.058,0.062,0.11,11.00,11.71,1.02,1.13,400.69,0.040,0.17,0.69
Zn66,8.11,8.38,0.69,0.71,3.85,1.11,1.34,1.36,1.53,1.48,1.43,1.49,1.54,1.54,1.75,1.46,1.56,9.91,10.20,0.85,0.90,835.11,1.32,1.61,3.90
Zn67,7.12,7.33,0.68,0.70,3.89,0.99,1.17,1.16,1.29,1.25,1.19,1.23,1.28,1.29,1.48,1.26,1.32,8.55,8.75,0.81,0.79,632.83,1.16,1.37,3.93
Ga69,4.50,4.66,0.37,0.39,0.70,0.0015,0.0026,0.0027,0.0025,0.0026,0.0027,0.0028,0.0023,0.0028,0.0029,0.0033,0.0031,4.77,4.79,0.39,0.41,2.18,0.0016,0.0024,0.70
Sr88,16.28,16.41,2.49,2.52,10.50,0.0017,0.0017,0.0017,0.0028,0.0028,0.0020,0.0022,0.0021,0.0077,0.0031,0.0098,0.0018,16.57,16.45,2.52,2.47,41.95,0.0020,0.0012,10.50
Y89,16.62,16.48,1.37,1.37,1.11,0.0057,0.0060,0.0042,0.0038,0.0041,0.0042,0.0041,0.0040,0.0046,0.0049,0.0065,0.0041,16.71,16.13,1.38,1.33,4.72,0.0048,0.0067,1.11
Zr90,15.73,15.53,1.37,1.35,5.83,0.012,0.0064,0.0064,0.024,0.022,0.0070,0.029,0.0067,0.0093,0.16,0.069,0.0053,15.62,15.05,1.34,1.31,43.03,0.011,0.0080,5.82
Nb93,14.46,14.59,1.21,1.22,0.39,0.0019,0.0012,0.00095,0.0010,0.0010,0.00089,0.00073,0.00066,0.0018,0.00085,0.0038,0.00067,14.23,13.97,1.17,1.17,2.08,0.0022,0.0017,0.39
Ba135,14.15,14.31,1.32,1.30,21.00,0.026,0.013,0.0047,0.0079,0.034,0.0062,0.016,0.0039,0.028,0.015,0.046,0.0089,14.31,14.03,1.30,1.29,82.06,0.016,0.0080,21.00
Ba137,14.19,14.35,1.30,1.28,20.96,0.0078,0.0097,0.0060,0.0041,0.021,0.0034,0.0073,0.0064,0.021,0.014,0.040,0.0042,14.26,14.14,1.30,1.29,62.67,0.0049,0.011,20.96
La139,14.19,14.19,1.17,1.17,0.77,0.0013,0.0016,0.0019,0.028,0.086,0.0017,0.010,0.0049,0.018,0.094,0.37,0.0023,14.08,13.79,1.16,1.13,6.21,0.0015,0.0013,0.77
Ce140,14.81,14.99,1.25,1.28,1.63,0.00089,0.0012,0.0070,0.017,4.55,0.0034,0.013,0.046,0.081,0.032,4.06,0.073,15.05,14.89,1.26,1.27,8.63,0.00075,0.00090,1.63
Gd157,14.73,14.82,1.27,1.27,0.25,0.0074,0.0089,0.0046,0.0032,0.0099,0.0035,0.0068,0.0081,0.0034,0.0060,0.021,0.0090,15.05,14.65,1.29,1.26,6.39,0.0084,0.0042,0.25
Yb172,15.20,15.31,1.32,1.32,0.13,0.0055,0.0052,0.0033,0.0040,0.0040,0.0036,0.0038,0.0027,0.0037,0.0032,0.0057,0.0032,15.46,15.08,1.31,1.28,3.35,0.0063,0.0066,0.13

GLITTER!: Minimum detection limits (99% confidence).
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,0.0594,0.0608,0.0632,0.0646,0.0823,0.0741,0.0664,0.0323,0.0336,0.0329,0.0315,0.0322,0.0331,0.0321,0.0331,0.0453,0.0307,0.0549,0.0587,0.0636,0.0643,<0.00000,0.0821,0.0670,0.0843
B11,0.0282,0.0296,0.0294,0.0321,0.0426,0.0347,0.0332,0.0173,0.0174,0.0168,0.0163,0.0164,0.0174,0.0171,0.0173,0.0509,0.0172,0.0307,0.0301,0.0333,0.0341,<0.00000,0.0478,0.0366,0.0484
Na23,0.170,0.199,0.221,0.230,0.283,0.231,0.208,0.100,0.105,0.101,0.0974,0.1000,0.100,0.101,0.102,0.344,0.0976,0.175,0.206,0.275,0.243,<0.00000,0.265,0.214,0.273
Mg24,0.299,0.0733,0.0797,0.0817,0.0959,0.173,0.291,0.0360,0.214,0.140,0.111,0.255,0.175,0.197,0.184,20.97,0.122,0.465,0.125,0.0819,0.0821,<0.00000,0.103,0.308,0.0998
Mg25,0.736,0.198,0.185,0.189,0.230,0.201,0.602,0.0797,0.763,0.605,0.398,0.418,0.307,0.382,0.384,47.02,0.420,1.03,0.182,0.151,0.181,<0.00000,0.244,0.611,0.225
Mg26,0.756,0.526,0.519,0.569,0.755,0.635,1.52,0.289,0.908,0.445,0.441,0.458,0.545,0.563,0.448,45.02,0.355,0.905,0.517,0.569,0.568,<0.00000,0.768,0.793,0.738
Al27,0.0564,0.0828,0.108,0.0847,0.114,0.173,0.0713,0.0356,0.0331,0.0316,0.0331,0.0335,0.0324,0.0337,0.0305,0.913,0.0330,0.0606,0.0929,0.115,0.0900,<0.00000,0.0910,0.0740,0.0883
Si29,23.19,24.44,25.17,26.70,35.55,30.05,27.54,14.28,14.06,13.48,12.94,13.25,13.25,13.32,13.39,119.88,12.68,22.23,23.18,25.47,26.72,<0.00000,33.12,27.07,36.02
Si30,173.29,177.71,184.10,193.45,257.59,215.59,202.55,108.33,105.45,102.00,99.19,101.38,100.69,102.96,102.33,179.22,96.65,172.31,175.92,193.04,199.72,<0.00000,258.36,209.53,286.76
P31,1.59,1.73,1.86,1.92,2.58,2.23,1.96,1.01,0.969,0.964,0.925,0.929,0.915,0.925,0.923,1.28,0.874,1.56,1.73,1.93,1.97,<0.00000,2.48,1.97,2.65
Ca43,16.07,22.37,21.43,20.97,28.35,31.96,22.05,10.85,12.16,11.83,10.67,10.95,11.68,10.94,10.94,40.67,9.80,18.73,20.16,25.93,23.93,<0.00000,31.05,23.63,27.22
Ca44,8.96,9.31,9.43,9.79,13.24,11.46,10.50,5.39,5.31,5.12,4.87,4.95,4.99,5.09,5.00,11.95,4.69,8.44,8.66,9.25,9.50,<0.00000,12.36,9.97,13.31
Sc45,0.0472,0.0531,0.0543,0.0548,0.0710,0.0608,0.0599,0.0284,0.0298,0.0272,0.0284,0.0294,0.0263,0.0286,0.0287,0.0875,0.0260,0.0463,0.0509,0.0535,0.0568,<0.00000,0.0691,0.0572,0.0704
Ti47,0.173,0.177,0.195,0.212,0.218,0.309,0.206,0.0821,0.0989,0.0740,0.109,0.0945,0.0889,0.110,0.0876,1.01,0.0666,0.189,0.156,0.191,<0.00000,<0.00000,0.227,0.174,0.249
Ti49,0.308,0.330,0.270,0.248,0.395,0.355,0.301,0.147,0.163,0.155,0.152,0.132,0.149,0.149,0.154,1.13,0.138,0.280,0.262,0.276,0.329,<0.00000,0.352,0.316,0.324
V51,0.0148,0.0171,0.0145,0.0117,0.0215,0.0170,0.0157,0.00813,0.00963,0.00887,0.00808,0.00984,0.00843,0.00931,0.00837,0.0709,0.00848,0.0152,0.0174,0.0180,0.0143,<0.00000,0.0201,0.0180,0.0206
Cr53,0.242,0.267,0.245,0.280,0.314,0.295,0.295,0.155,0.130,0.156,0.156,0.143,0.149,0.164,0.167,2.29,0.142,0.239,0.267,0.234,0.276,<0.00000,0.308,0.279,0.363
Mn55,0.0828,0.0859,0.0924,0.0968,0.128,0.110,0.102,0.0510,0.0589,0.0483,0.0482,0.0499,0.0496,0.0507,0.0507,1.15,0.0468,0.0880,0.0859,0.0952,0.101,<0.00000,0.129,0.103,0.130
Co59,0.00912,0.0150,0.0130,0.00782,0.0115,0.00845,0.0108,0.00536,0.00615,0.00458,0.00463,0.00610,0.00429,0.00599,0.00385,0.426,0.00499,0.0115,0.0111,0.0136,0.0124,<0.00000,0.00459,0.0101,0.0132
Ni60,0.103,0.0538,0.0646,0.0432,0.0642,0.0652,0.0885,0.0278,0.0355,0.0258,0.0395,0.0615,0.0314,0.0401,0.0321,2.73,0.0335,0.0894,0.0689,0.0600,0.0515,<0.00000,0.0390,0.0562,0.0624
Ni62,0.190,0.0801,<0.00000,0.154,0.166,0.157,0.187,0.110,0.0970,0.0943,0.0791,0.0815,0.172,<0.00000,0.0899,5.10,0.0794,0.186,0.147,0.134,0.0980,<0.00000,0.244,0.163,0.129
Cu63,0.00704,0.00958,0.00656,0.00771,0.00737,0.00719,0.00979,0.00433,0.00418,0.00369,0.00540,0.00535,0.00459,0.00280,0.00558,0.128,0.00717,0.0135,0.0167,0.0195,0.0188,<0.00000,0.0175,0.0136,0.0286
Zn66,0.0256,0.0300,0.0298,0.0343,0.0384,0.0427,0.0375,0.0154,0.0153,0.00671,0.0146,0.0184,0.0162,0.0225,0.0196,0.438,0.0228,0.0324,0.0348,0.0364,0.0314,<0.00000,0.0464,0.0388,0.0545
Zn67,0.0439,0.0525,0.0739,0.0416,0.0871,0.123,0.0701,0.0214,0.0233,0.0360,0.0471,0.0514,0.0431,0.0529,0.0507,0.792,0.0283,0.0844,0.110,0.0839,<0.00000,<0.00000,0.114,0.102,0.145
Ga69,0.00192,0.00378,0.00496,0.00295,0.00351,0.00222,0.00186,<0.00000,0.00068,0.00114,0.00156,<0.00000,0.00080,0.00066,0.00115,0.00628,0.00148,0.00256,0.00376,0.00563,0.00231,<0.00000,<0.00000,0.00221,0.00370
Sr88,0.00591,0.00687,0.00836,0.00251,0.00572,0.00441,<0.00000,<0.00000,<0.00000,<0.00000,0.00125,<0.00000,<0.00000,<0.00000,<0.00000,0.0263,<0.00000,0.00493,0.0233,0.0116,0.00571,<0.00000,0.00563,<0.00000,0.00737
Y89,0.00710,0.00515,0.0117,<0.00000,0.00605,0.00699,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0107,<0.00000,<0.00000,0.0107,0.0127,0.00463,<0.00000,<0.00000,0.00479,0.00943
Zr90,<0.00000,0.0172,0.0264,0.00666,<0.00000,<0.00000,<0.00000,<0.00000,0.00354,0.00342,<0.00000,0.00477,0.00473,0.00339,<0.00000,0.145,<0.00000,0.0100,0.0175,0.0129,<0.00000,<0.00000,<0.00000,0.00690,<0.00000
Nb93,0.00498,0.0213,0.00821,0.00559,<0.00000,0.00489,<0.00000,0.00194,0.00171,0.00165,0.00159,0.00115,<0.00000,0.00163,0.00163,0.0115,0.00108,0.00339,0.0107,0.0131,0.00505,<0.00000,0.00608,0.00330,0.00410
Ba135,0.0257,0.0372,0.0480,<0.00000,0.0536,0.0716,0.0299,<0.00000,<0.00000,<0.00000,0.0202,0.0147,<0.00000,<0.00000,<0.00000,0.141,0.0241,0.0356,0.0360,0.0399,<0.00000,<0.00000,0.0454,<0.00000,0.0375
Ba137,0.0149,0.0343,0.0228,0.0168,0.0382,<0.00000,0.0246,0.00831,<0.00000,0.0122,<0.00000,0.00853,0.0120,<0.00000,0.0148,0.119,0.0114,0.0146,0.0256,0.0367,0.0169,<0.00000,<0.00000,0.0248,<0.00000
La139,0.00454,0.00930,0.0141,0.00674,<0.00000,0.00315,0.00372,0.00178,0.00234,0.00130,<0.00000,<0.00000,<0.00000,0.00183,0.00258,0.231,0.00122,0.00311,0.00629,0.00817,0.00359,<0.00000,0.00396,0.00371,0.00327
Ce140,0.00302,0.00566,0.0107,0.00340,<0.00000,0.00244,0.00352,0.00097,<0.00000,0.00175,0.00098,<0.00000,0.00140,0.00175,<0.00000,0.676,<0.00000,0.00385,0.00854,0.0141,0.00282,<0.00000,<0.00000,0.00207,<0.00000
Gd157,0.0258,0.0119,0.0250,0.0184,0.0171,0.0229,0.0234,0.0129,0.00695,0.0135,0.00648,0.0133,<0.00000,<0.00000,0.00947,0.0639,<0.00000,0.0199,0.0232,0.0288,0.0133,<0.00000,0.0207,0.0138,<0.00000
Yb172,0.00714,0.0164,0.0218,0.00804,<0.00000,<0.00000,0.00833,0.00563,0.00858,0.00718,0.00565,0.00580,0.00575,0.00413,<0.00000,0.00850,<0.00000,0.0141,0.0237,0.0224,0.00817,<0.00000,<0.00000,0.00848,<0.00000

GLITTER!: Limit of Quantification.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,0.183,0.187,0.195,0.199,0.253,0.228,0.204,0.0995,0.103,0.101,0.0970,0.0990,0.102,0.0987,0.102,0.139,0.0945,0.169,0.181,0.196,0.198,<0.00000,0.253,0.206,0.259
B11,0.0867,0.0911,0.0905,0.0988,0.131,0.107,0.102,0.0532,0.0535,0.0515,0.0501,0.0504,0.0536,0.0525,0.0534,0.157,0.0528,0.0945,0.0926,0.103,0.105,<0.00000,0.147,0.113,0.149
Na23,0.522,0.612,0.680,0.708,0.870,0.710,0.639,0.309,0.322,0.309,0.300,0.308,0.308,0.311,0.314,1.06,0.300,0.539,0.633,0.847,0.747,<0.00000,0.815,0.658,0.838
Mg24,0.919,0.225,0.245,0.251,0.295,0.533,0.897,0.111,0.660,0.430,0.340,0.786,0.539,0.607,0.566,64.53,0.374,1.43,0.385,0.252,0.253,<0.00000,0.318,0.948,0.307
Mg25,2.26,0.609,0.570,0.582,0.709,0.618,1.85,0.245,2.35,1.86,1.22,1.29,0.944,1.18,1.18,144.66,1.29,3.16,0.561,0.465,0.556,<0.00000,0.752,1.88,0.692
Mg26,2.33,1.62,1.60,1.75,2.32,1.95,4.67,0.888,2.79,1.37,1.36,1.41,1.68,1.73,1.38,138.51,1.09,2.79,1.59,1.75,1.75,<0.00000,2.36,2.44,2.27
Al27,0.173,0.255,0.333,0.261,0.350,0.531,0.219,0.110,0.102,0.0973,0.102,0.103,0.0998,0.104,0.0937,2.81,0.101,0.187,0.286,0.354,0.277,<0.00000,0.280,0.228,0.272
Si29,71.36,75.19,77.46,82.16,109.38,92.46,84.72,43.95,43.25,41.49,39.82,40.77,40.77,40.99,41.19,368.86,39.02,68.40,71.31,78.37,82.22,<0.00000,101.89,83.30,110.83
Si30,533.19,546.79,566.45,595.23,792.59,663.37,623.23,333.34,324.46,313.85,305.20,311.95,309.81,316.81,314.86,551.43,297.38,530.18,541.30,593.97,614.53,<0.00000,794.94,644.71,882.33
P31,4.89,5.31,5.74,5.91,7.93,6.87,6.03,3.11,2.98,2.97,2.85,2.86,2.81,2.84,2.84,3.93,2.69,4.81,5.31,5.95,6.07,<0.00000,7.64,6.07,8.15
Ca43,49.45,68.83,65.94,64.53,87.23,98.34,67.85,33.38,37.40,36.41,32.82,33.68,35.93,33.67,33.65,125.13,30.17,57.62,62.02,79.79,73.64,<0.00000,95.55,72.72,83.76
Ca44,27.58,28.64,29.02,30.11,40.73,35.27,32.31,16.57,16.35,15.74,15.00,15.25,15.34,15.67,15.38,36.77,14.43,25.98,26.64,28.47,29.22,<0.00000,38.04,30.69,40.96
Sc45,0.145,0.163,0.167,0.169,0.218,0.187,0.184,0.0873,0.0917,0.0838,0.0873,0.0905,0.0810,0.0879,0.0884,0.269,0.0801,0.143,0.157,0.165,0.175,<0.00000,0.213,0.176,0.217
Ti47,0.532,0.545,0.600,0.651,0.670,0.950,0.634,0.253,0.304,0.228,0.335,0.291,0.273,0.340,0.269,3.12,0.205,0.581,0.480,0.588,<0.00000,<0.00000,0.699,0.536,0.765
Ti49,0.946,1.02,0.830,0.763,1.22,1.09,0.927,0.451,0.502,0.477,0.467,0.406,0.460,0.459,0.474,3.48,0.426,0.862,0.807,0.849,1.01,<0.00000,1.08,0.973,0.997
V51,0.0456,0.0526,0.0447,0.0360,0.0661,0.0522,0.0485,0.0250,0.0296,0.0273,0.0249,0.0303,0.0259,0.0287,0.0258,0.218,0.0261,0.0468,0.0535,0.0553,0.0441,<0.00000,0.0619,0.0553,0.0633
Cr53,0.744,0.823,0.755,0.860,0.967,0.908,0.908,0.476,0.400,0.479,0.481,0.440,0.458,0.505,0.513,7.03,0.438,0.737,0.821,0.720,0.850,<0.00000,0.946,0.859,1.12
Mn55,0.255,0.264,0.284,0.298,0.395,0.337,0.314,0.157,0.181,0.148,0.148,0.153,0.153,0.156,0.156,3.55,0.144,0.271,0.264,0.293,0.310,<0.00000,0.396,0.316,0.400
Co59,0.0281,0.0463,0.0399,0.0241,0.0354,0.0260,0.0332,0.0165,0.0189,0.0141,0.0143,0.0188,0.0132,0.0184,0.0119,1.31,0.0153,0.0354,0.0341,0.0417,0.0382,<0.00000,0.0141,0.0312,0.0407
Ni60,0.316,0.166,0.199,0.133,0.198,0.201,0.272,0.0857,0.109,0.0794,0.122,0.189,0.0966,0.124,0.0989,8.40,0.103,0.275,0.212,0.185,0.158,<0.00000,0.120,0.173,0.192
Ni62,0.586,0.246,<0.00000,0.473,0.510,0.484,0.574,0.338,0.298,0.290,0.243,0.251,0.530,<0.00000,0.277,15.69,0.244,0.574,0.452,0.411,0.302,<0.00000,0.752,0.502,0.398
Cu63,0.0217,0.0295,0.0202,0.0237,0.0227,0.0221,0.0301,0.0133,0.0129,0.0114,0.0166,0.0165,0.0141,0.00861,0.0172,0.393,0.0221,0.0415,0.0514,0.0600,0.0578,<0.00000,0.0538,0.0418,0.0880
Zn66,0.0787,0.0922,0.0916,0.106,0.118,0.131,0.116,0.0474,0.0472,0.0206,0.0450,0.0566,0.0499,0.0692,0.0603,1.35,0.0700,0.0997,0.107,0.112,0.0967,<0.00000,0.143,0.120,0.168
Zn67,0.135,0.162,0.227,0.128,0.268,0.380,0.216,0.0659,0.0718,0.111,0.145,0.158,0.133,0.163,0.156,2.44,0.0870,0.260,0.339,0.258,<0.00000,<0.00000,0.352,0.313,0.447
Ga69,0.00590,0.0116,0.0153,0.00907,0.0108,0.00683,0.00571,<0.00000,0.00209,0.00351,0.00480,<0.00000,0.00245,0.00204,0.00354,0.0193,0.00455,0.00788,0.0116,0.0173,0.00712,<0.00000,<0.00000,0.00680,0.0114
Sr88,0.0182,0.0211,0.0257,0.00774,0.0176,0.0136,<0.00000,<0.00000,<0.00000,<0.00000,0.00384,<0.00000,<0.00000,<0.00000,<0.00000,0.0808,<0.00000,0.0152,0.0717,0.0357,0.0176,<0.00000,0.0173,<0.00000,0.0227
Y89,0.0218,0.0158,0.0360,<0.00000,0.0186,0.0215,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0328,<0.00000,<0.00000,0.0330,0.0391,0.0142,<0.00000,<0.00000,0.0147,0.0290
Zr90,<0.00000,0.0529,0.0812,0.0205,<0.00000,<0.00000,<0.00000,<0.00000,0.0109,0.0105,<0.00000,0.0147,0.0145,0.0104,<0.00000,0.446,<0.00000,0.0308,0.0539,0.0398,<0.00000,<0.00000,<0.00000,0.0212,<0.00000
Nb93,0.0153,0.0654,0.0253,0.0172,<0.00000,0.0150,<0.00000,0.00598,0.00525,0.00507,0.00488,0.00353,<0.00000,0.00501,0.00500,0.0354,0.00333,0.0104,0.0328,0.0404,0.0155,<0.00000,0.0187,0.0101,0.0126
Ba135,0.0790,0.115,0.148,<0.00000,0.165,0.220,0.0919,<0.00000,<0.00000,<0.00000,0.0622,0.0451,<0.00000,<0.00000,<0.00000,0.435,0.0741,0.110,0.111,0.123,<0.00000,<0.00000,0.140,<0.00000,0.115
Ba137,0.0460,0.105,0.0702,0.0517,0.118,<0.00000,0.0756,0.0256,<0.00000,0.0376,<0.00000,0.0262,0.0368,<0.00000,0.0457,0.367,0.0352,0.0450,0.0789,0.113,0.0521,<0.00000,<0.00000,0.0763,<0.00000
La139,0.0140,0.0286,0.0432,0.0207,<0.00000,0.00970,0.0114,0.00546,0.00720,0.00401,<0.00000,<0.00000,<0.00000,0.00562,0.00794,0.710,0.00374,0.00958,0.0194,0.0252,0.0111,<0.00000,0.0122,0.0114,0.0101
Ce140,0.00930,0.0174,0.0328,0.0105,<0.00000,0.00750,0.0108,0.00299,<0.00000,0.00540,0.00300,<0.00000,0.00432,0.00537,<0.00000,2.08,<0.00000,0.0119,0.0263,0.0433,0.00868,<0.00000,<0.00000,0.00636,<0.00000
Gd157,0.0795,0.0365,0.0769,0.0567,0.0526,0.0703,0.0719,0.0397,0.0214,0.0414,0.0199,0.0409,<0.00000,<0.00000,0.0291,0.197,<0.00000,0.0611,0.0714,0.0885,0.0409,<0.00000,0.0638,0.0424,<0.00000
Yb172,0.0220,0.0504,0.0672,0.0247,<0.00000,<0.00000,0.0256,0.0173,0.0264,0.0221,0.0174,0.0178,0.0177,0.0127,<0.00000,0.0261,<0.00000,0.0434,0.0729,0.0689,0.0251,<0.00000,<0.00000,0.0261,<0.00000

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,191.95,197.17,15.23,15.94,3.75,0.756,1.072,0.693,0.815,0.750,0.658,0.730,0.736,0.744,0.843,0.674,0.684,196.99,202.10,15.38,16.15,31.29,0.716,1.014,3.75
B11,48.36,49.58,6.91,6.96,3.158,3.154,2.953,2.548,2.485,2.354,2.330,2.268,2.217,2.244,2.209,2.037,2.114,54.42,55.77,7.31,7.40,639.48,2.696,2.558,3.158
Na23,14.31,14.63,14.10,14.47,3.31,0.00583,0.01540,0.01494,0.01559,0.01603,0.01726,0.01518,0.01535,0.01567,0.01610,0.01118,0.01456,14.55,14.73,14.28,14.86,11.24,0.00590,0.01542,3.31
Mg24,0.00310,0.00321,0.00043,0.00042,0.1503,2.328,2.315,2.268,2.302,2.249,2.260,2.245,2.240,2.267,2.244,2.222,2.262,0.00310,0.00318,0.00042,0.00043,0.0646,2.305,2.314,0.1503
Mg25,0.00302,0.00316,0.00039,0.00040,0.1503,2.366,2.334,2.235,2.312,2.274,2.289,2.229,2.241,2.241,2.222,2.203,2.259,0.00302,0.00311,0.00041,0.00041,0.0386,2.298,2.267,0.1503
