GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 2.b
Created: Fri Sep 29 18:39:06 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Nb93,466.01,464.94,38.90,38.90,12.97,-0.0041,0.0066,0.0034,0.0700,0.00124,0.0051,0.0004,0.0027,0.0030,0.0019,0.0217,0.0024,462.47,460.81,38.94,38.86,12.78,0.0009,-0.0011
Ba135,432.60,433.20,38.17,40.40,668.84,0.0090,-0.055,0.069,3.30,0.043,0.144,-0.005,0.004,0.019,0.012,0.114,0.0082,434.63,442.88,40.23,38.39,666.44,-0.046,0.033
Ba137,443.67,444.09,38.64,39.90,679.40,0.0106,0.029,0.0220,3.40,0.009,0.085,0.0075,0.0034,0.028,0.0196,0.087,0.021,446.52,442.02,40.22,38.43,680.48,-0.017,0.0097
La139,434.46,437.93,36.03,35.95,23.17,0.0038,0.0015,0.1130,0.329,0.0847,0.0411,0.0416,0.0457,0.0752,0.1020,0.0587,0.0683,435.33,433.81,36.37,35.65,23.05,-0.0005,0.0028
Ce140,457.88,456.67,38.49,38.29,51.43,0.00123,0.0067,1.460,1.842,0.871,0.231,0.422,0.487,0.535,0.371,0.468,1.183,453.45,451.57,38.85,37.99,50.12,-0.0021,0.0023
Gd157,445.23,444.08,37.41,37.16,5.90,0.0224,0.0102,0.0176,0.005,0.0273,0.0178,0.0116,0.0231,0.0214,0.0303,0.0298,0.0195,434.23,441.50,37.90,36.75,5.98,0.0107,-0.013
Yb172,460.41,461.23,39.24,39.13,2.74,0.0092,0.009,0.130,0.161,0.126,0.119,0.0664,0.106,0.106,0.0649,0.099,0.129,455.53,454.64,39.72,38.72,2.88,0.006,0.0314

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
