GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 3.b
Created: Fri Sep 29 18:41:13 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Zr90,409.69,412.62,39.12,36.67,147.24,0.0462,0.0287,0.172,0.160,0.184,0.317,0.322,0.104,0.101,0.125,0.168,0.178,429.80,438.51,38.31,37.58,163.14,0.049,<0.027
Nb93,461.89,460.48,38.95,38.84,12.78,<0.0076,<0.0075,<0.0049,<0.0044,0.0266,<0.0039,0.0818,<0.0046,0.0034,0.0040,<0.0040,<0.0042,463.88,466.23,39.05,38.76,13.06,<0.0070,<0.0083
Ba135,437.35,445.37,40.33,38.24,667.97,<0.136,0.031,<0.043,<0.055,0.126,0.085,1.355,0.082,<0.022,0.090,<0.050,<0.041,441.43,448.21,39.56,39.11,677.03,<0.087,0.0083
Ba137,447.07,441.86,40.13,38.47,678.03,<0.056,0.0092,<0.0179,0.030,0.112,0.040,1.477,0.0278,0.0268,<0.026,<0.026,0.0203,446.81,446.23,38.96,39.68,693.63,0.0198,<0.043
La139,436.52,433.69,36.36,35.63,23.00,<0.0081,0.0040,0.0175,0.233,0.0318,0.1012,0.1061,0.0152,0.0249,0.0799,0.0710,0.0307,432.92,432.74,36.03,35.99,23.80,<0.0043,<0.0076
Ce140,452.50,450.49,38.76,38.01,50.02,<0.0046,<0.0032,0.329,1.147,0.228,0.670,0.793,0.0915,0.248,0.660,3.03,2.937,458.26,453.90,38.62,38.21,51.69,<0.0048,0.00056
Gd157,433.93,440.89,37.73,36.84,5.97,0.0109,<0.034,<0.0126,0.030,<0.0213,<0.0183,<0.0162,0.0154,0.0275,0.0149,0.058,0.0125,436.39,439.97,37.39,37.23,6.01,<0.021,<0.0216
Yb172,454.53,453.27,39.64,38.73,2.88,<0.024,0.0226,0.114,0.114,0.098,0.072,0.087,0.120,0.124,0.108,0.128,0.109,457.54,457.50,39.32,39.11,3.29,<0.0262,<0.0135

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Li7,475.24,469.70,40.34,40.05,9.55,1.753,2.500,5.73,5.65,6.00,4.63,4.59,5.11,5.29,5.10,5.41,6.05,483.92,475.15,40.20,40.21,9.84,1.684,2.65
