GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run1.b
Created: Fri Sep 29 18:21:09 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Y89,461.19,463.97,38.53,38.03,29.26,0.0195,0.0500,0.0040,<0.0032,0.0021,0.00185,0.0042,0.00098,<0.0064,0.00238,<0.0065,0.0032,468.41,464.47,38.48,38.13,28.37,0.0369,0.0410
Zr90,434.03,441.10,37.63,38.21,159.45,0.0345,0.0485,0.152,0.125,0.132,0.159,0.098,<0.0162,0.0199,0.0966,0.0237,0.0986,453.54,447.68,38.13,37.63,155.30,0.043,0.0332
Nb93,450.08,450.12,39.07,38.71,12.59,0.0038,<0.0049,0.312,0.306,0.297,0.333,0.443,<0.0047,<0.0082,0.313,0.127,0.1088,464.09,461.01,38.77,39.05,12.36,<0.0071,0.0058
Ba135,424.10,428.07,38.98,39.68,655.15,<0.147,<0.098,<0.021,<0.0192,<0.027,0.328,<0.058,<0.043,0.031,0.0142,<0.068,<0.0309,436.46,436.41,39.29,39.29,655.11,<0.118,<0.070
Ba137,426.80,430.09,39.42,39.18,657.45,<0.060,<0.051,<0.0237,0.0161,<0.0155,0.391,<0.0168,0.030,0.0134,0.0081,0.032,<0.0216,423.94,425.15,38.93,39.71,640.02,<0.030,0.0140
La139,421.00,429.81,36.45,35.49,23.33,0.0023,<0.0042,<0.0044,0.00069,<0.00253,0.0081,<0.0047,<0.0049,<0.0061,<0.00194,0.0037,<0.00198,440.02,434.23,35.85,36.20,22.83,<0.0065,<0.0074
Ce140,430.48,434.22,38.02,38.88,49.73,<0.0035,<0.00,<0.00154,<0.00249,<0.00141,0.0315,<0.0030,<0.00221,0.00113,<0.0031,0.0046,0.00052,453.77,451.66,38.23,38.56,49.20,<0.0051,<0.0059
Gd157,459.02,447.96,37.12,37.53,5.80,<0.044,<0.0241,<0.0113,<0.0075,0.0079,<0.0129,<0.0115,<0.0119,0.025,0.0101,<0.0191,<0.0123,441.16,440.97,37.08,37.53,5.69,<0.043,<0.035
Yb172,472.72,468.69,39.43,38.90,3.31,0.0202,<0.0158,<0.0090,<0.0069,<0.0097,<0.0049,<0.0106,<0.0190,0.0100,<0.0077,<0.0123,<0.0097,469.36,467.39,39.68,38.71,3.09,0.0274,<0.0182

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
