GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 6.b
Created: Fri Sep 29 18:43:55 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Ti49,26.42,26.03,2.61,2.52,817.04,0.54,2.72,10.83,9.59,7.68,19.20,904.18,766.94,10.79,9.02,37.10,38.81,3.58,3.99,1357.16,0.81,4.70
V51,15.66,15.89,1.36,1.35,15.06,0.11,0.20,0.11,0.14,0.14,0.17,3.12,2.74,0.13,0.14,18.34,18.49,1.61,1.59,18.29,0.12,0.21
Cr53,16.58,16.61,1.64,1.58,0.73,4.56,8.67,2.39,7.71,7.57,2.57,5.07,2.68,7.51,8.42,21.91,23.05,2.18,2.16,1.01,5.51,10.50
Mn55,15.01,15.06,1.33,1.32,53.43,34.01,29.26,101.02,63.90,74.09,99.07,20.91,22.11,55.42,58.85,16.50,16.96,1.54,1.53,62.61,34.13,29.82
Co59,13.25,13.56,1.15,1.14,1.28,5.08,5.11,7.52,6.75,6.97,7.38,1.09,1.04,6.52,7.32,13.55,13.69,1.17,1.17,1.26,6.04,6.15
Ni60,24.83,24.29,2.11,2.02,0.69,128.30,134.47,44.40,69.12,69.28,35.00,3.49,3.22,68.69,81.68,32.24,34.18,3.13,3.03,0.98,180.08,191.50
Ni62,17.35,17.23,1.88,1.89,0.89,144.36,150.78,51.58,77.71,79.63,41.56,4.24,4.07,80.21,95.15,20.90,21.95,2.23,2.28,1.14,230.69,246.98
Cu63,20.89,20.65,1.81,1.72,0.89,0.055,0.19,0.041,0.14,0.68,0.074,0.096,0.077,0.11,0.24,28.60,30.04,2.61,2.62,1.36,0.068,0.26
Zn66,20.16,19.59,1.75,1.71,7.80,2.00,2.40,5.41,4.16,4.71,5.51,0.85,0.81,3.67,4.24,25.58,26.67,2.39,2.33,10.55,2.36,2.79
Zn67,28.07,27.44,2.54,2.71,13.60,3.28,4.03,8.98,7.22,8.90,10.24,1.58,1.59,7.56,9.06,41.70,43.31,4.17,4.01,22.38,5.99,7.30
Ga69,15.93,15.64,1.34,1.33,2.57,0.0067,0.011,0.011,0.011,0.010,0.025,0.20,0.18,0.011,0.0099,18.85,19.36,1.69,1.67,3.18,0.0073,0.011
Sr88,16.24,16.23,2.53,2.55,10.57,0.0054,0.0019,0.0094,0.0089,0.0096,0.041,9.86,10.74,0.0052,0.0042,17.47,17.51,2.78,2.76,11.92,0.0055,0.0033
Y89,15.58,15.70,1.32,1.35,0.99,0.0053,0.0047,0.0073,0.0042,0.0054,0.016,0.11,0.11,0.014,0.0045,17.96,18.79,1.59,1.58,1.26,0.0060,0.0082
Zr90,13.79,13.94,1.24,1.24,5.06,0.013,0.0090,0.016,0.027,0.014,0.12,1.73,2.06,0.52,0.064,14.32,14.59,1.30,1.29,5.35,0.014,0.011
Nb93,14.78,14.87,1.29,1.27,0.43,0.0036,0.0037,0.060,0.053,0.022,0.29,0.040,0.031,0.0045,0.0016,16.15,16.50,1.42,1.42,0.48,0.0019,0.0032
Ba135,15.39,15.20,1.55,1.50,23.50,0.029,0.033,0.067,0.048,0.030,0.24,0.055,0.047,0.041,0.0093,17.02,17.73,1.76,1.80,28.65,0.026,0.031
Ba137,13.94,13.86,1.33,1.32,21.16,0.017,0.016,0.055,0.041,0.021,0.17,0.032,0.032,0.0099,0.0054,13.53,13.73,1.36,1.35,21.22,0.021,<0.00
La139,13.52,13.67,1.16,1.15,0.76,<0.00,0.0013,0.0066,0.0057,0.0050,0.019,0.30,0.23,0.0022,0.0053,14.11,14.31,1.21,1.21,0.81,0.0037,0.0040
Ce140,14.22,14.29,1.22,1.22,1.63,0.0020,0.0029,0.015,0.020,0.011,0.027,1.22,0.90,0.020,0.0082,14.69,15.01,1.29,1.28,1.71,0.0019,<0.00
Gd157,13.94,14.21,1.27,1.28,0.25,0.0068,0.0067,0.0075,0.0065,0.0059,0.014,0.096,0.083,0.018,0.010,15.39,15.80,1.41,1.40,0.26,0.0054,0.0076
Yb172,13.97,14.27,1.25,1.25,0.12,0.0065,0.0070,0.0062,0.0047,0.0053,0.011,0.016,0.015,0.013,0.0048,14.13,14.47,1.27,1.27,0.12,0.012,0.0070

GLITTER!: Minimum detection limits (99% confidence).
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,0.129,0.136,0.213,0.191,0.146,0.139,0.125,0.0613,0.0628,0.0663,0.139,0.0831,0.0648,0.141,0.0926,0.139,0.140,0.215,0.198,0.150,0.142,0.136
B11,0.152,0.163,0.261,0.245,0.184,0.188,0.162,0.0817,0.0831,0.0829,0.181,0.102,0.0868,0.181,0.122,0.164,0.174,0.270,0.254,0.207,0.185,0.183
Na23,0.384,0.426,0.764,0.567,0.466,0.429,0.379,0.185,0.197,0.202,0.416,0.249,0.195,0.427,0.283,0.411,0.444,0.669,0.647,0.474,0.448,0.419
Mg24,0.389,0.176,0.280,0.243,0.205,0.250,0.325,0.0839,0.174,0.237,0.379,0.294,0.141,0.345,0.293,0.335,0.191,0.286,0.265,0.213,0.260,0.280
Mg25,0.641,0.462,0.647,0.607,0.531,0.765,1.11,0.203,0.518,0.564,1.76,0.520,0.370,0.788,0.642,0.823,0.459,0.723,0.656,0.567,0.504,1.04
Mg26,1.69,1.35,2.05,1.90,1.55,1.46,1.39,0.584,0.674,0.719,1.74,0.855,0.730,1.44,0.903,1.85,1.31,2.01,1.90,1.56,1.32,1.86
Al27,0.125,0.160,0.233,0.215,0.176,0.389,0.143,0.0698,0.0648,0.0586,0.136,0.0825,0.0869,0.233,0.102,0.130,0.184,0.261,0.240,0.193,0.230,0.155
Si29,48.60,51.63,78.94,69.31,57.37,52.92,46.40,23.94,23.78,23.92,50.04,30.30,23.60,50.03,33.16,47.45,48.86,74.66,69.61,54.40,50.29,47.44
Si30,351.69,371.11,571.46,505.35,406.94,376.32,337.27,177.87,175.25,178.98,372.51,222.55,173.16,371.40,247.23,351.53,361.58,552.47,515.38,402.80,366.10,352.80
P31,2.59,2.92,4.59,4.02,3.27,3.10,2.69,1.38,1.35,1.37,2.88,1.74,1.41,3.10,1.96,2.81,3.14,4.93,4.47,3.47,3.26,3.03
Ca43,44.33,41.57,73.34,59.38,45.45,49.59,33.72,22.52,22.31,20.84,44.61,23.66,20.77,46.16,26.75,40.27,43.74,64.65,70.36,50.62,46.79,41.27
Ca44,17.98,18.41,28.72,25.28,20.27,18.84,17.09,8.90,8.84,8.99,18.55,11.23,8.71,18.34,12.50,17.70,17.96,27.81,25.54,19.90,18.56,17.95
Sc45,0.0979,0.0989,0.161,0.135,0.101,0.101,0.0892,0.0479,0.0465,0.0492,0.103,0.0631,0.0483,0.108,0.0679,0.107,0.109,0.161,0.161,0.119,0.114,0.107
Ti47,0.341,0.326,0.330,0.476,0.413,0.510,0.232,0.156,0.147,0.196,0.284,0.163,0.371,0.371,0.216,0.316,0.300,0.593,0.348,0.276,0.435,0.245
Ti49,0.488,0.491,0.460,0.540,0.397,0.441,0.346,0.264,0.281,0.213,0.568,0.344,0.320,0.465,0.273,0.591,0.431,0.661,0.513,0.441,0.358,0.306
V51,0.0256,0.0350,0.0453,0.0469,0.0328,0.0280,0.0298,0.0133,0.0155,0.0160,0.0362,0.0201,0.0137,0.0292,0.0214,0.0348,0.0283,0.0497,0.0386,0.0325,0.0319,0.0296
Cr53,0.482,0.558,0.744,0.655,0.556,0.582,0.449,0.247,0.215,0.243,0.509,0.328,0.243,0.518,0.343,0.511,0.507,0.784,0.743,0.597,0.509,0.480
Mn55,0.176,0.190,0.287,0.256,0.213,0.197,0.173,0.0899,0.0906,0.0946,0.197,0.115,0.0897,0.191,0.127,0.187,0.198,0.306,0.279,0.215,0.204,0.190
Co59,0.00876,0.0163,0.0413,0.0198,0.0119,0.0181,0.0127,0.00804,0.00644,0.0111,0.0148,0.00745,0.00699,0.0198,0.0137,0.0192,0.0178,0.0245,0.0140,0.0169,0.0145,0.0127
Ni60,0.0757,0.0881,0.100,0.112,0.107,0.0573,0.101,0.0146,0.0468,0.0642,0.0744,0.0466,0.0452,0.0756,0.0692,0.0945,0.0857,0.131,0.0793,0.0625,0.0856,0.0817
Ni62,0.398,0.323,0.355,0.387,0.252,0.420,0.629,0.251,0.137,<0.00000,0.377,0.174,0.160,0.458,0.306,0.377,0.514,<0.00000,0.349,0.479,0.314,0.549
Cu63,0.0296,0.0490,0.0739,0.0559,0.0401,0.0362,0.0343,0.0114,0.0228,0.0165,0.0291,0.0269,0.0144,0.0283,0.0252,0.0450,0.0418,0.0658,0.0447,0.0413,0.0312,0.0314
Zn66,0.110,0.0884,0.137,0.135,0.152,0.115,0.0864,0.0416,0.0513,0.0494,0.0966,0.0514,0.0587,0.108,0.0810,0.0777,0.114,0.138,0.113,0.0845,0.0862,0.119
Zn67,0.357,0.312,<0.00000,0.404,<0.00000,0.467,0.139,0.0473,<0.00000,0.0948,0.378,0.204,<0.00000,0.330,0.206,0.253,0.364,0.177,0.438,0.292,<0.00000,0.231
Ga69,0.0162,0.0187,0.0249,0.0221,0.00530,0.0102,0.00956,0.00505,<0.00000,0.00476,0.0111,0.0118,0.00619,0.00877,0.00826,0.0155,0.0141,0.0315,0.0226,0.0150,0.0117,0.00999
Sr88,0.00907,0.0106,0.0165,0.00847,0.0117,0.0152,0.00384,<0.00000,<0.00000,<0.00000,<0.00000,0.00264,0.00724,0.00452,0.00426,0.00438,0.0133,0.0193,0.00637,0.00711,0.0168,0.00628
Y89,0.0133,0.0143,0.0196,0.0147,0.00739,<0.00000,<0.00000,<0.00000,0.00230,0.00235,<0.00000,0.00292,0.00231,0.00500,0.00667,0.00486,0.0148,0.0262,0.00708,<0.00000,0.0116,0.00495
Zr90,0.0132,0.0142,0.0270,0.0195,0.0190,0.0211,0.0153,<0.00000,<0.00000,<0.00000,<0.00000,0.0149,0.0108,0.0104,0.00980,0.0101,0.0306,0.0443,0.0146,0.0163,0.0107,0.0144
Nb93,0.00751,0.0134,0.0108,0.0111,0.0117,0.00950,0.0107,<0.00000,<0.00000,<0.00000,0.00718,<0.00000,<0.00000,<0.00000,0.00399,0.00711,0.0125,0.0192,<0.00000,0.00473,<0.00000,0.00725
Ba135,0.0676,0.0724,<0.00000,<0.00000,0.0789,0.0757,0.0635,<0.00000,<0.00000,0.0249,<0.00000,<0.00000,0.0343,0.0908,<0.00000,<0.00000,<0.00000,0.111,<0.00000,0.0818,0.0756,0.0883
Ba137,<0.00000,0.0523,0.0811,0.0414,<0.00000,0.0544,0.0372,<0.00000,<0.00000,0.0145,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0414,0.0591,0.0905,<0.00000,<0.00000,0.0612,<0.00000
La139,0.00909,0.00615,0.0117,0.00599,0.00476,<0.00000,<0.00000,<0.00000,<0.00000,0.00212,<0.00000,0.00263,<0.00000,<0.00000,0.00598,0.00869,0.00881,0.0309,0.00893,0.00996,0.0113,0.0108
Ce140,<0.00000,<0.00000,0.0188,0.00480,0.00538,0.00516,0.00684,<0.00000,<0.00000,<0.00000,<0.00000,0.00295,0.00330,0.00356,<0.00000,0.00344,0.0148,0.0141,0.00497,0.00392,0.00511,<0.00000
Gd157,0.0388,0.0294,0.0457,0.0406,<0.00000,0.0219,0.0184,0.0126,<0.00000,<0.00000,0.0214,0.0180,<0.00000,0.0437,0.0146,<0.00000,0.0430,0.0660,<0.00000,<0.00000,<0.00000,0.0216
Yb172,0.0121,<0.00000,0.0285,0.0179,<0.00000,<0.00000,0.0115,0.00552,0.00882,0.0127,0.0132,<0.00000,<0.00000,0.0330,<0.00000,0.0184,0.0229,0.0287,0.0424,<0.00000,0.0277,<0.00000

GLITTER!: Limit of Quantification.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,0.398,0.418,0.655,0.586,0.449,0.428,0.385,0.189,0.193,0.204,0.427,0.256,0.199,0.435,0.285,0.427,0.431,0.661,0.609,0.461,0.438,0.417
B11,0.468,0.501,0.803,0.753,0.567,0.580,0.498,0.251,0.256,0.255,0.557,0.314,0.267,0.557,0.375,0.504,0.536,0.831,0.781,0.635,0.570,0.564
Na23,1.18,1.31,2.35,1.75,1.43,1.32,1.16,0.570,0.606,0.621,1.28,0.765,0.600,1.31,0.870,1.27,1.37,2.06,1.99,1.46,1.38,1.29
Mg24,1.20,0.541,0.863,0.749,0.632,0.769,1.000,0.258,0.537,0.730,1.17,0.904,0.434,1.06,0.900,1.03,0.586,0.880,0.815,0.654,0.800,0.863
Mg25,1.97,1.42,1.99,1.87,1.63,2.35,3.42,0.625,1.59,1.74,5.40,1.60,1.14,2.42,1.97,2.53,1.41,2.22,2.02,1.74,1.55,3.19
Mg26,5.21,4.16,6.30,5.85,4.76,4.49,4.28,1.80,2.07,2.21,5.34,2.63,2.25,4.44,2.78,5.70,4.04,6.19,5.83,4.79,4.06,5.73
Al27,0.386,0.492,0.715,0.662,0.541,1.20,0.440,0.215,0.199,0.180,0.418,0.254,0.267,0.715,0.314,0.400,0.565,0.802,0.739,0.594,0.709,0.478
Si29,149.54,158.85,242.88,213.25,176.52,162.85,142.78,73.65,73.18,73.59,153.97,93.25,72.60,153.94,102.04,145.99,150.33,229.72,214.19,167.37,154.75,145.96
Si30,1082.12,1141.86,1758.33,1554.91,1252.12,1157.90,1037.76,547.31,539.22,550.70,1146.18,684.77,532.81,1142.76,760.71,1081.64,1112.57,1699.90,1585.77,1239.39,1126.46,1085.53
P31,7.97,8.99,14.12,12.38,10.07,9.53,8.26,4.23,4.17,4.22,8.87,5.36,4.35,9.54,6.02,8.66,9.66,15.17,13.75,10.69,10.03,9.32
Ca43,136.40,127.90,225.66,182.72,139.83,152.57,103.75,69.31,68.66,64.11,137.27,72.79,63.90,142.02,82.31,123.90,134.58,198.94,216.49,155.76,143.97,127.00
Ca44,55.33,56.66,88.37,77.80,62.38,57.96,52.58,27.39,27.19,27.67,57.07,34.55,26.81,56.44,38.48,54.46,55.25,85.57,78.58,61.24,57.12,55.24
Sc45,0.301,0.304,0.494,0.414,0.312,0.312,0.275,0.147,0.143,0.151,0.318,0.194,0.149,0.332,0.209,0.330,0.335,0.497,0.496,0.365,0.351,0.330
Ti47,1.05,1.00,1.01,1.46,1.27,1.57,0.715,0.479,0.453,0.602,0.873,0.500,1.14,1.14,0.666,0.971,0.925,1.82,1.07,0.848,1.34,0.754
Ti49,1.50,1.51,1.41,1.66,1.22,1.36,1.07,0.812,0.865,0.654,1.75,1.06,0.986,1.43,0.841,1.82,1.33,2.03,1.58,1.36,1.10,0.941
V51,0.0789,0.108,0.139,0.144,0.101,0.0862,0.0916,0.0408,0.0478,0.0494,0.112,0.0618,0.0421,0.0898,0.0658,0.107,0.0869,0.153,0.119,0.100,0.0980,0.0911
Cr53,1.48,1.72,2.29,2.02,1.71,1.79,1.38,0.761,0.662,0.746,1.57,1.01,0.746,1.60,1.06,1.57,1.56,2.41,2.29,1.84,1.57,1.48
Mn55,0.541,0.583,0.884,0.787,0.655,0.606,0.533,0.277,0.279,0.291,0.606,0.353,0.276,0.587,0.390,0.575,0.610,0.940,0.858,0.662,0.628,0.585
Co59,0.0269,0.0500,0.127,0.0610,0.0367,0.0557,0.0392,0.0247,0.0198,0.0341,0.0455,0.0229,0.0215,0.0609,0.0423,0.0591,0.0548,0.0753,0.0432,0.0521,0.0447,0.0390
Ni60,0.233,0.271,0.309,0.343,0.329,0.176,0.310,0.0450,0.144,0.198,0.229,0.143,0.139,0.233,0.213,0.291,0.264,0.404,0.244,0.192,0.263,0.251
Ni62,1.22,0.993,1.09,1.19,0.775,1.29,1.94,0.773,0.421,<0.00000,1.16,0.536,0.491,1.41,0.941,1.16,1.58,<0.00000,1.07,1.47,0.966,1.69
Cu63,0.0910,0.151,0.227,0.172,0.123,0.111,0.106,0.0351,0.0702,0.0507,0.0894,0.0826,0.0444,0.0871,0.0775,0.139,0.129,0.203,0.138,0.127,0.0961,0.0965
Zn66,0.338,0.272,0.423,0.416,0.467,0.354,0.266,0.128,0.158,0.152,0.297,0.158,0.181,0.331,0.249,0.239,0.351,0.423,0.347,0.260,0.265,0.366
Zn67,1.10,0.961,<0.00000,1.24,<0.00000,1.44,0.427,0.146,<0.00000,0.292,1.16,0.627,<0.00000,1.01,0.633,0.779,1.12,0.544,1.35,0.900,<0.00000,0.712
Ga69,0.0500,0.0575,0.0766,0.0680,0.0163,0.0313,0.0294,0.0155,<0.00000,0.0147,0.0341,0.0363,0.0190,0.0270,0.0254,0.0478,0.0434,0.0970,0.0697,0.0460,0.0360,0.0307
Sr88,0.0279,0.0328,0.0509,0.0261,0.0359,0.0467,0.0118,<0.00000,<0.00000,<0.00000,<0.00000,0.00812,0.0223,0.0139,0.0131,0.0135,0.0410,0.0593,0.0196,0.0219,0.0516,0.0193
Y89,0.0410,0.0440,0.0603,0.0452,0.0227,<0.00000,<0.00000,<0.00000,0.00709,0.00724,<0.00000,0.00897,0.00712,0.0154,0.0205,0.0149,0.0455,0.0806,0.0218,<0.00000,0.0356,0.0152
Zr90,0.0407,0.0436,0.0830,0.0601,0.0585,0.0648,0.0471,<0.00000,<0.00000,<0.00000,<0.00000,0.0458,0.0331,0.0320,0.0301,0.0310,0.0943,0.136,0.0451,0.0503,0.0329,0.0444
Nb93,0.0231,0.0411,0.0334,0.0342,0.0360,0.0292,0.0330,<0.00000,<0.00000,<0.00000,0.0221,<0.00000,<0.00000,<0.00000,0.0123,0.0219,0.0385,0.0591,<0.00000,0.0146,<0.00000,0.0223
Ba135,0.208,0.223,<0.00000,<0.00000,0.243,0.233,0.195,<0.00000,<0.00000,0.0765,<0.00000,<0.00000,0.106,0.279,<0.00000,<0.00000,<0.00000,0.342,<0.00000,0.252,0.233,0.272
Ba137,<0.00000,0.161,0.250,0.127,<0.00000,0.167,0.114,<0.00000,<0.00000,0.0446,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.127,0.182,0.278,<0.00000,<0.00000,0.188,<0.00000
La139,0.0280,0.0189,0.0360,0.0184,0.0146,<0.00000,<0.00000,<0.00000,<0.00000,0.00654,<0.00000,0.00808,<0.00000,<0.00000,0.0184,0.0267,0.0271,0.0952,0.0275,0.0306,0.0347,0.0331
Ce140,<0.00000,<0.00000,0.0577,0.0148,0.0166,0.0159,0.0210,<0.00000,<0.00000,<0.00000,<0.00000,0.00907,0.0101,0.0110,<0.00000,0.0106,0.0454,0.0434,0.0153,0.0121,0.0157,<0.00000
Gd157,0.119,0.0905,0.141,0.125,<0.00000,0.0675,0.0567,0.0387,<0.00000,<0.00000,0.0658,0.0554,<0.00000,0.134,0.0448,<0.00000,0.132,0.203,<0.00000,<0.00000,<0.00000,0.0664
Yb172,0.0373,<0.00000,0.0878,0.0551,<0.00000,<0.00000,0.0352,0.0170,0.0271,0.0392,0.0407,<0.00000,<0.00000,0.102,<0.00000,0.0568,0.0705,0.0882,0.130,<0.00000,0.0851,<0.00000

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,193.14,198.05,16.77,16.72,3.99,0.751,1.025,2.117,2.124,2.239,1.955,2.959,2.287,1.808,1.051,196.29,198.64,16.93,16.59,3.96,0.753,1.096
B11,128.02,128.21,18.43,17.70,8.17,7.64,7.11,5.27,4.87,4.41,6.61,4.97,4.17,6.49,5.22,137.73,139.16,18.24,17.92,6.81,5.76,5.75
Na23,13.73,14.10,14.13,13.92,3.27,0.00544,0.01387,0.01230,0.01278,0.01251,0.01361,0.3210,0.2815,0.00966,0.01187,13.80,14.01,14.24,13.85,3.20,0.00561,0.01395
Mg24,0.00345,0.00343,0.00048,0.00047,0.1696,2.492,2.466,2.088,2.134,2.098,2.048,0.753,0.777,2.286,2.281,0.00342,0.00344,0.00048,0.00048,0.1671,2.53,2.52
Mg25,0.00360,0.00362,0.00048,0.00047,0.1735,2.699,2.651,2.287,2.315,2.220,2.221,0.810,0.831,2.409,2.396,0.00362,0.00368,0.00049,0.00046,0.172,2.68,2.72
Mg26,0.00348,0.00350,0.00049,0.00046,0.1709,2.629,2.561,2.195,2.274,2.158,2.166,0.802,0.811,2.39,2.32,0.00344,0.00357,0.00048,0.00048,0.1692,2.64,2.66
Al27,0.780,0.779,0.836,0.830,5.94,0.00517,0.01037,0.00558,0.00734,0.00553,0.01690,0.905,0.669,0.00730,0.00638,0.769,0.774,0.835,0.831,5.96,0.00537,0.01049
Si29,2.010,1.999,2.121,2.091,1.653,1.208,1.208,1.171,1.149,1.152,1.157,1.465,1.472,1.177,1.169,2.00,2.02,2.14,2.08,1.617,1.208,1.208
Si30,1.954,1.936,2.126,2.086,1.628,1.274,1.250,1.116,1.114,1.091,1.228,1.386,1.404,1.228,1.181,1.924,1.95,2.15,2.07,1.598,1.261,1.268
P31,0.162,0.163,0.0201,0.0204,0.574,0.00782,0.01191,0.0320,0.0366,0.0361,0.0281,0.00893,0.00943,0.0172,0.0297,0.172,0.171,0.0197,0.0207,0.598,0.00685,0.0123
Ca43,6.07,6.07,6.30,6.30,3.78,0.0270,0.0373,0.1396,0.0812,0.0836,0.1952,11.76,11.17,0.1052,0.0859,6.07,6.07,6.30,6.30,3.78,0.0280,0.0383
Ca44,6.09,6.05,6.28,6.31,3.75,0.0534,0.0608,0.1578,0.1009,0.1059,0.2214,11.96,11.19,0.1285,0.1047,6.02,6.16,6.32,6.28,3.77,0.0511,0.0606
Sc45,49.14,49.07,4.66,4.58,3.64,0.613,0.497,0.558,0.519,0.486,0.596,7.38,7.49,0.576,0.534,49.19,50.42,4.63,4.61,3.66,0.575,0.469
Ti47,0.691,0.696,0.0683,0.0663,21.82,0.00939,0.0557,0.2368,0.1938,0.1633,0.360,17.16,14.14,0.1948,0.1505,0.733,0.741,0.0672,0.0675,23.19,0.01062,0.0615
Ti49,0.751,0.745,0.0686,0.0663,23.25,0.00953,0.0605,0.245,0.211,0.162,0.393,17.96,14.63,0.195,0.156,0.756,0.761,0.0646,0.0699,23.82,0.0099,0.0612
V51,5.34,5.43,0.458,0.455,5.11,0.0380,0.0727,0.0387,0.0512,0.0501,0.0561,1.199,1.052,0.0438,0.0485,5.53,5.48,0.464,0.450,5.11,0.0397,0.0740
Cr53,0.1035,0.1041,0.00931,0.00901,0.00376,0.0347,0.0666,0.01780,0.0589,0.0572,0.01806,0.0376,0.01956,0.0545,0.0606,0.1064,0.1085,0.00936,0.00900,0.00389,0.0363,0.0688
Mn55,0.1512,0.1520,0.01323,0.01309,0.536,0.383,0.3297,1.138,0.720,0.834,1.115,0.2351,0.2486,0.623,0.661,0.1491,0.1509,0.01334,0.01301,0.529,0.381,0.333
Co59,0.549,0.562,0.0466,0.0463,0.0522,0.2033,0.2036,0.2986,0.2665,0.2729,0.2860,0.0417,0.0393,0.2450,0.2717,0.551,0.556,0.0466,0.0464,0.0498,0.2055,0.2058
Ni60,0.0288,0.0284,0.00240,0.00230,0.00075,0.1951,0.2021,0.0657,0.1006,0.0988,0.0488,0.00472,0.00425,0.0889,0.1028,0.0274,0.0280,0.00244,0.00228,0.00070,0.191,0.197
Ni62,0.0277,0.0276,0.00231,0.00240,0.00094,0.1938,0.1991,0.0666,0.0982,0.0979,0.0493,0.00474,0.00443,0.0868,0.0996,0.0278,0.0285,0.00234,0.00236,0.00104,0.195,0.201
Cu63,2.69,2.67,0.232,0.219,0.1116,0.00586,0.0267,0.00429,0.01902,0.0969,0.00707,0.01191,0.00932,0.01221,0.0291,2.72,2.76,0.229,0.222,0.1106,0.00577,0.0259
Zn66,1.016,0.993,0.0854,0.0837,0.390,0.1275,0.1528,0.349,0.2671,0.299,0.345,0.0511,0.0484,0.2222,0.2545,1.014,1.026,0.0871,0.0826,0.369,0.1283,0.1499
Zn67,0.968,0.954,0.0815,0.0877,0.463,0.1103,0.1339,0.298,0.233,0.277,0.305,0.0441,0.0431,0.200,0.232,0.990,0.986,0.0881,0.0815,0.450,0.120,0.141
Ga69,29.21,28.76,2.443,2.411,4.68,0.00232,0.00691,0.01010,0.01227,0.00856,0.0242,0.419,0.365,0.00638,0.00583,29.18,29.29,2.47,2.39,4.45,0.00246,0.00672
Sr88,42.42,42.45,6.55,6.62,27.50,-0.00046,0.00016,0.01080,0.01119,0.01037,0.0669,23.65,25.45,0.00224,0.00145,42.90,42.60,6.65,6.54,28.03,-0.00117,0.00055
Y89,200.58,202.57,16.84,17.19,12.57,0.0151,0.0115,0.0336,0.0137,0.0176,0.0743,1.246,1.173,0.0673,0.0060,204.05,209.62,17.21,16.84,13.18,0.0080,0.0278
Zr90,78.23,79.12,6.82,6.86,28.50,0.0123,0.0045,0.0324,0.0819,0.0217,0.446,8.82,10.39,2.470,0.214,78.87,79.99,6.88,6.81,28.71,0.0168,0.0088
Nb93,1210.13,1219.45,104.37,103.09,34.39,0.0004,-0.0169,4.51,4.06,1.265,23.78,2.90,2.205,0.066,-0.0006,1228.54,1241.33,104.70,102.93,34.29,0.0137,0.0092
Ba135,128.90,127.72,11.70,11.37,196.86,0.0002,0.0153,0.181,0.116,0.0310,0.909,0.149,0.118,0.012,0.0027,125.15,127.98,11.44,11.61,195.06,-0.0044,-0.0060
Ba137,131.19,130.51,11.54,11.51,198.88,-0.0071,0.0029,0.198,0.139,0.0278,0.828,0.0927,0.1055,0.0050,0.0016,125.40,126.90,11.58,11.47,194.14,-0.0050,0.00
La139,1164.96,1178.34,98.59,97.60,64.17,0.00,0.0062,0.191,0.172,0.100,0.710,24.14,18.36,0.0161,0.072,1177.06,1187.67,98.58,97.70,64.58,-0.017,-0.003
Ce140,473.06,475.78,40.06,40.17,53.59,0.0006,0.0020,0.308,0.499,0.193,0.513,38.15,27.91,0.369,0.0964,471.71,479.02,40.43,39.85,53.26,-0.0004,0.00
Gd157,1405.79,1435.14,121.03,122.67,20.03,-0.022,-0.007,0.034,0.063,0.038,0.068,6.38,5.49,0.019,0.061,1444.89,1467.28,122.87,120.98,18.55,0.025,-0.009
Yb172,1834.33,1873.43,157.53,158.58,11.67,0.078,0.050,0.079,0.028,-0.002,0.107,0.632,0.681,0.022,0.038,1836.59,1877.52,157.94,158.14,11.56,0.071,0.084

GLITTER!: Mean Raw CPS background NOT subtracted.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,    874548,    872620,     51640,     57607,    20063,      7137,      8625,     22860,     22417,     23319,     12191,     24769,     24153,     11469,     10407,    831147,    830013,     50108,     52189,    19078,      6954,      8510
B11,    161473,    156229,     15065,     16207,     9621,      9414,      9162,     13165,     11948,     10575,      7807,      9520,     10061,      7344,      8665,    144323,    142758,     12676,     13175,     6922,      6049,      6284
