GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run3.b
Created: Fri Sep 29 18:23:58 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Y89,470.06,459.18,38.26,38.34,28.89,0.0279,0.0486,0.0103,0.0068,<0.0054,0.0132,0.0059,<0.0044,<0.0042,<0.0041,0.0045,0.00260,462.55,461.01,38.54,38.05,28.82,0.0334,0.0562
Zr90,442.73,435.83,37.91,37.87,156.28,0.061,0.0394,0.139,0.092,0.441,0.460,0.0872,0.231,0.224,0.149,0.162,0.181,438.13,437.36,38.07,37.72,156.74,0.065,0.040
Nb93,463.65,458.72,38.71,39.17,12.58,<0.0071,<0.0057,0.0161,0.0091,0.394,0.367,0.0182,0.1200,0.0889,0.0612,0.0934,0.0781,459.96,469.00,38.89,38.89,12.86,0.0159,0.0040
Ba135,446.10,450.95,39.07,39.64,689.72,<0.055,<0.107,<0.033,0.029,<0.00,0.0076,0.0038,<0.034,<0.053,0.025,0.0112,<0.039,451.63,461.75,39.10,39.50,698.75,<0.060,<0.080
Ba137,452.01,450.68,38.54,40.36,689.84,<0.044,<0.043,0.0023,<0.024,<0.030,0.0086,<0.0135,<0.0136,0.0048,<0.029,0.0105,<0.0127,441.96,451.54,39.77,38.77,675.05,<0.120,0.0152
La139,434.71,430.67,35.71,36.41,23.28,<0.0080,0.0036,<0.0028,<0.0044,<0.0028,0.00158,<0.00200,<0.00201,0.00035,<0.0021,<0.00193,<0.00,434.00,433.74,35.88,36.10,23.30,<0.0049,0.0015
Ce140,452.93,448.10,38.03,38.89,50.92,<0.0062,0.00057,<0.0038,<0.0034,<0.00222,<0.0026,<0.00221,0.00101,<0.00172,<0.0033,0.0090,0.00321,448.33,454.31,38.82,37.94,50.90,0.0036,<0.0063
Gd157,450.82,444.65,36.94,37.82,5.65,<0.045,<0.0219,0.0099,<0.0214,0.0063,<0.0094,<0.0138,0.0063,0.0069,<0.0104,<0.0211,<0.0130,450.20,447.65,37.00,37.60,5.73,<0.048,<0.040
Yb172,469.37,458.42,39.05,39.42,3.03,<0.0196,0.0175,<0.0134,0.0025,<0.0086,0.0048,<0.0122,<0.0122,<0.00,<0.0092,0.00095,0.0100,471.38,465.33,38.92,39.49,2.90,<0.031,0.0279

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Li7,468.93,467.22,39.68,41.00,9.87,1.764,2.57,2.347,2.698,2.160,2.183,2.573,2.723,2.819,2.294,2.569,2.599,467.04,467.33,39.69,40.73,9.90,1.626,2.44
B11,162.10,163.77,33.66,35.30,20.49,24.08,23.96,21.31,18.05,17.56,16.54,16.66,16.06,15.67,15.72,14.60,14.85,188.77,191.93,33.63,35.01,18.92,21.04,20.82
